ID,Title,Author(s),Source,Journal,Language(s),Publication year,Fulltext URL 
 "S1678-86212017000200005-scl","Editorial","Kowaltowski, Doris Catharine Cornelie Knatz, Hirota, Ercília Hitomi, Souza, Léa Cristina Lucas de, Leite, Mônica Batista","Ambiente Construído; 17(2); 5-6","Ambiente Construído","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212017000200005&lang=pt" 
"S1678-86212017000200119-scl","Atributos ambientais desejáveis a uma unidade de alojamento conjunto Método Canguru a partir de uma experiência de projeto participativo","Ely, Vera Helena Moro Bins, Cavalcanti, Patrícia Biasi, Silveira, Juliana Tasca Tissot da, Klein, Marina Freitas, Soares Junior, Amarildo","Ambiente Construído; 17(2); 119-134","Ambiente Construído","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212017000200119&lang=pt" 
"S1678-86212017000200201-scl","Mechanical properties: wood lumber versus plastic lumber and thermoplastic composites","Dias, Bernardo Zandomenico, Alvarez, Cristina Engel de","Ambiente Construído; 17(2); 201-219","Ambiente Construído","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212017000200201&lang=pt" 
"S1678-86212017000200233-scl","Viabilidade do emprego de cinza de casca de arroz natural em concreto estrutural (parte II): durabilidade","Isaia, Geraldo Cechella, Zerbino, Raúl Luis, Gastaldini, Antonio Luiz Guerra, Sensale, Gemma Rodrigues","Ambiente Construído; 17(2); 233-252","Ambiente Construído","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212017000200233&lang=pt" 
"S1678-86212017000200253-scl","Análise da interface entre agregados reciclados de concreto e argamassas de concretos com cinza de casca de arroz e fíler basáltico por nanoindentação","Wilbert, Daniel Gustavo Brusius, Kazmierczak, Claudio de Souza, Kulakowski, Marlova Piva","Ambiente Construído; 17(2); 253-268","Ambiente Construído","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212017000200253&lang=pt" 
"S1678-86212017000200157-scl","Componentes BIM de sistemas prediais hidráulicos e sanitários baseados em critérios de desempenho","Costa, Carolina Helena de Almeida, Ilha, Marina Sangoi de Oliveira","Ambiente Construído; 17(2); 157-174","Ambiente Construído","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212017000200157&lang=pt" 
"S1678-86212017000200007-scl","Mapeamento e análise das áreas de preservação permanente e dos corredores de integração ecológica de Araraquara, SP","Menzori, Ivan Damasco, Falcoski, Luiz Antonio Nigro","Ambiente Construído; 17(2); 7-20","Ambiente Construído","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212017000200007&lang=pt" 
"S1678-86212017000200073-scl","Ruas e a ocupação vertical recente: labirintos murados","Mauá, Lígia Beatriz Carreri, Guadanhim, Sidnei Junior, Kanashiro, Milena","Ambiente Construído; 17(2); 73-96","Ambiente Construído","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212017000200073&lang=pt" 
"S1678-86212017000200269-scl","Modificação química superficial de fibras de bucha vegetal visando à compatibilização e aplicação como reforço em matriz cimentícia","Souza, José Diego Gasques Tolentino de, Motta, Leila Aparecida de Castro, Pasquini, Daniel, Vieira, Júlia Graciele, Pires, Cristiane","Ambiente Construído; 17(2); 269-283","Ambiente Construído","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212017000200269&lang=pt" 
"S1678-86212017000200039-scl","Investigação de perdas devido ao trabalho inacabado e o seu impacto no tempo de ciclo dos processos construtivos","Santos, Paulo Ricardo Ramos, Santos, Débora de Gois","Ambiente Construído; 17(2); 39-52","Ambiente Construído","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212017000200039&lang=pt" 
"S1678-86212017000200053-scl","Avaliação de pisos táteis como elemento de wayfinding em escola de ensino especial para crianças com deficiência visual","Abate, Tania Pietzschke, Kowaltowski, Doris Catharine Cornelie Knatz","Ambiente Construído; 17(2); 53-71","Ambiente Construído","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212017000200053&lang=pt" 
"S1678-86212017000200097-scl","O espaço para crianças produzido pelo Programa Minha Casa, Minha Vida: estudo de caso na região metropolitana de Belém, PA","Müller, Shirley Coelho, Lima, José Júlio Ferreira","Ambiente Construído; 17(2); 97-117","Ambiente Construído","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212017000200097&lang=pt" 
"S1678-86212017000200135-scl","Estudo comparativo da qualidade da água da chuva coletada em telhado com telhas de concreto e em telhado verde para usos não potáveis","Teixeira, Celimar Azambuja, Budel, Marcel Aramis, Carvalho, Karina Querne de, Bezerra, Stella Maris da Cruz, Ghisi, Enedir","Ambiente Construído; 17(2); 135-155","Ambiente Construído","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212017000200135&lang=pt" 
"S1678-86212017000200021-scl","Um modelo orientativo para a gestão municipal dos RCCs","Fernandes, Maria da Paz Medeiros, Silva Filho, Luiz Carlos Pinto da","Ambiente Construído; 17(2); 21-38","Ambiente Construído","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212017000200021&lang=pt" 
"S1678-86212017000200175-scl","Edificações em alvenaria resistente na região metropolitana do Recife","Oliveira, Romilde Almeida, Silva, Fernando Artur Nogueira, Pires Sobrinho, Carlos Welligton de Azevedo, Azevedo, Antônio Augusto Costa de","Ambiente Construído; 17(2); 175-199","Ambiente Construído","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212017000200175&lang=pt" 
