"S0104-71832017000100283-scl","Gerontologia LGBT: velhice, gênero, sexualidade e a constituição dos “idosos LGBT”","Henning, Carlos Eduardo","Horizontes Antropológicos; 23(47); 283-323","Horizontes Antropológicos","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-71832017000100283&lang=pt" 
"S1517-106X2017000100125-scl","La piel em espera: el porvenir del cuerpo de Severo Sarduy","Guerrero, Javier","Alea : Estudos Neolatinos; 19(1); 125-138","Alea : Estudos Neolatinos","Espanhol","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-106X2017000100125&lang=pt" 
"S1517-106X2017000100091-scl","Severo Sarduy, el neobarroco y las políticas de la literatura","Iriarte, Ignacio","Alea : Estudos Neolatinos; 19(1); 91-105","Alea : Estudos Neolatinos","Espanhol","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-106X2017000100091&lang=pt" 
"S1517-106X2017000100039-scl","Sarduy na geena. As Patatautologías","Antelo, Raúl","Alea : Estudos Neolatinos; 19(1); 39-55","Alea : Estudos Neolatinos","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-106X2017000100039&lang=pt" 
"S1517-106X2017000100181-scl","MARQUES, Reinaldo. Arquivos literários: teorias, histórias, desafios. Belo Horizonte: Editora UFMG, 2015.","Coelho, Haydée Ribeiro","Alea : Estudos Neolatinos; 19(1); 181-184","Alea : Estudos Neolatinos","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-106X2017000100181&lang=pt" 
"S1517-106X2017000100161-scl","Apresentação","González, Elena Palmero","Alea : Estudos Neolatinos; 19(1); 161-163","Alea : Estudos Neolatinos","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-106X2017000100161&lang=pt" 
"S1517-106X2017000100007-scl","Severo Sarduy: um lugar entre nós","Díaz, Valentín, González, Elena Palmero","Alea : Estudos Neolatinos; 19(1); 7-10","Alea : Estudos Neolatinos","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-106X2017000100007&lang=pt" 
"S1517-106X2017000100185-scl","CROCE, Marcela (Dir.). Historia comparada de las literaturas argentina y brasileña. Tomo I: De la colonia a la organización nacional (1808-1845). Villa María: Eduvin, 2016.","Coutinho, Eduardo","Alea : Estudos Neolatinos; 19(1); 185-187","Alea : Estudos Neolatinos","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-106X2017000100185&lang=pt" 
"S1517-106X2017000100013-scl","Cartas de Severo","González Echevarría, Roberto","Alea : Estudos Neolatinos; 19(1); 13-38","Alea : Estudos Neolatinos","Espanhol, Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-106X2017000100013&lang=pt" 
"S1517-106X2017000100106-scl","O travestimento do corpo e da escritura em Severo Sarduy","Carvalho, Maria Cristina Chaves","Alea : Estudos Neolatinos; 19(1); 106-124","Alea : Estudos Neolatinos","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-106X2017000100106&lang=pt" 
"S1517-106X2017000100168-scl","Una cronología","Sarduy, Severo","Alea : Estudos Neolatinos; 19(1); 168-177","Alea : Estudos Neolatinos","Português, Espanhol","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-106X2017000100168&lang=pt" 
"S1517-106X2017000100165-scl","Carta a Jorge Schwartz","Sarduy, Severo","Alea : Estudos Neolatinos; 19(1); 165-167","Alea : Estudos Neolatinos","Francês, Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-106X2017000100165&lang=pt" 
"S1517-106X2017000100076-scl","Dificuldade de narrar: a prosa ficcional de Severo Sarduy","Andrade, Antonio","Alea : Estudos Neolatinos; 19(1); 76-90","Alea : Estudos Neolatinos","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-106X2017000100076&lang=pt" 
"S1517-106X2017000100056-scl","Sarduy, prisioneiro de Saint-Germain-des-Prés","Cozarinsky, Edgardo","Alea : Estudos Neolatinos; 19(1); 56-63","Alea : Estudos Neolatinos","Espanhol, Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-106X2017000100056&lang=pt" 
"S1517-106X2017000100139-scl","Severo Sarduy: teoría y práctica de un teatro de la estética","Guerrero, Gustavo","Alea : Estudos Neolatinos; 19(1); 139-158","Alea : Estudos Neolatinos","Espanhol","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-106X2017000100139&lang=pt" 
"S1517-106X2017000100064-scl","Tres Tristes Tigres o el ensayo sobre la cubanidade en Ortiz, Sarduy y Piñera","Isola, Laura","Alea : Estudos Neolatinos; 19(1); 64-75","Alea : Estudos Neolatinos","Espanhol","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-106X2017000100064&lang=pt" 
"S2175-33692017000100124-scl","Governança multinível para o desenvolvimento regional: um estudo de caso do Consórcio Intermunicipal da Fronteira","Henrichs, Joanni Aparecida, Meza, Maria Lúcia Figueiredo Gomes de","urbe. Revista Brasileira de Gestão Urbana; 9(1); 124-138","urbe. Revista Brasileira de Gestão Urbana","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-33692017000100124&lang=pt" 
"S2175-33692017000100019-scl","Mensuração da satisfação dos usuários do sistema municipal de estacionamento rotativo pago","Cruz, Franciane Cougo da, Cruz, Anderson Cougo da, Ceretta, Paulo Sergio","urbe. Revista Brasileira de Gestão Urbana; 9(1); 19-34","urbe. Revista Brasileira de Gestão Urbana","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-33692017000100019&lang=pt" 
"S2175-33692017000100110-scl","Planejamento urbano participativo por meio da utilização de novas tecnologias: uma avaliação por especialistas","Bugs, Geisa, Reis, Antônio Tarcísio da Luz","urbe. Revista Brasileira de Gestão Urbana; 9(1); 110-123","urbe. Revista Brasileira de Gestão Urbana","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-33692017000100110&lang=pt" 
