"S1678-58782011000100005-scl","The use of cylindrical grinding to produce a martensitic structure on the surface of 4340 Steel","Lima, André de, Gâmbaro, Luiz Sérgio, Vieira Junior, Milton, Baptista, Elesandro Antonio","Journal of the Brazilian Society of Mechanical Sciences and Engineering; 33(1); 34-40","Journal of the Brazilian Society of Mechanical Sciences and Engineering","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-58782011000100005&lang=pt" 
"S1678-58782011000100006-scl","Electromagnetic field simulation and crack analysis of electromagnetic forming of Magnesium alloy tube","Wang, Z. F., Piao, F. X., Wang, Z. Y., Cui, J. Z., Ma, M. X.","Journal of the Brazilian Society of Mechanical Sciences and Engineering; 33(1); 41-44","Journal of the Brazilian Society of Mechanical Sciences and Engineering","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-58782011000100006&lang=pt" 
"S1678-58782011000100012-scl","A water flow pattern analysis of Guajará Bay: Amazon Estuary - Brazil","Barros, Maria de Lourdes C., Sena, Manoel José dos Santos, Mesquita, André Luiz Amarante, Blanco, Claudio José C., Secretan, Yves","Journal of the Brazilian Society of Mechanical Sciences and Engineering; 33(1); 79-85","Journal of the Brazilian Society of Mechanical Sciences and Engineering","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-58782011000100012&lang=pt" 
"S1678-58782011000100011-scl","Heuristic for flow shop sequencing with separated and sequence independent setup times","Moccellin, João Vitor, Nagano, Marcelo Seido","Journal of the Brazilian Society of Mechanical Sciences and Engineering; 33(1); 74-78","Journal of the Brazilian Society of Mechanical Sciences and Engineering","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-58782011000100011&lang=pt" 
"S0100-83582011010200001-scl","Manejo de Conyza bonariensis resistente ao herbicida glyphosate","Vargas, Leandro","Planta Daninha; 29(1); -","Planta Daninha","Inglês, Português, Espanhol","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-83582011010200001&lang=pt" 
"S0085-56262011000100001-scl","Will the Convention on Biological Diversity put an end to biological control?","van Lenteren, Joop C., Cock, Matthew J. W., Brodeur, Jacques, Barratt, Barbara I. P., Bigler, Franz, Bolckmans, Karel, Haas, Fabian, Mason, Peter G., Parra, José Roberto P.","Revista Brasileira de Entomologia; 55(1); 1-5","Revista Brasileira de Entomologia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262011000100001&lang=pt" 
"S0085-56262011000100026-scl","Rediscovering the new world","Carvalho, Claudio J. B. de","Revista Brasileira de Entomologia; 55(1); 145-145","Revista Brasileira de Entomologia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262011000100026&lang=pt" 
"S0085-56262011000100012-scl","Epigean ant communities in Atlantic Forest remnants of São Paulo: a comparative study using the guild concept","Macedo, Luciano Pacelli Medeiros, Berti Filho, Evoneo, Delabie, Jacques Hubert Charles","Revista Brasileira de Entomologia; 55(1); 75-78","Revista Brasileira de Entomologia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262011000100012&lang=pt" 
"S0085-56262011000100011-scl","Small-scale area effect on species richness and nesting occupancy of cavity-nesting bees and wasps","Loyola, Rafael D., Martins, Rogério P.","Revista Brasileira de Entomologia; 55(1); 69-74","Revista Brasileira de Entomologia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262011000100011&lang=pt" 
"S0085-56262011000100015-scl","Effects of sex, host-plant deprivation and presence of conspecific immatures on the cannibalistic behavior of wild Ascia monuste orseis (Godart) (Lepidoptera, Pieridae)","Santana, Alessandra F. K., Zago, Rosana C., Zucoloto, Fernando S.","Revista Brasileira de Entomologia; 55(1); 95-101","Revista Brasileira de Entomologia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262011000100015&lang=pt" 
"S0085-56262011000100014-scl","Diversity of Odonata (Insecta) in lotic systems from Serra da Bodoquena, Mato Grosso do Sul State, Brazil","Dalzochio, Marina Schmidt, Costa, Janira Martins, Uchôa, Manoel Araécio","Revista Brasileira de Entomologia; 55(1); 88-94","Revista Brasileira de Entomologia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262011000100014&lang=pt" 
"S0085-56262011000100016-scl","Survey of ear flies (Diptera, Ulidiidae) in maize (Zea mays L.) and a new record of Euxesta mazorca Steyskal in Brazil","Cruz, Ivan, Silva, Rafael Braga da, Figueiredo, Maria de Lourdes Corrêa, Penteado-Dias, Angélica Maria, Sarto, Mário César Laboissiérè Del, Nuessly, Gregg Stephen","Revista Brasileira de Entomologia; 55(1); 102-108","Revista Brasileira de Entomologia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262011000100016&lang=pt" 
"S0085-56262011000100022-scl","Wing diagnostic characters for Culex quinquefasciatus and Culex nigripalpus (Diptera, Culicidae)","Vidal, Paloma Oliveira, Peruzin, Maria Cristina, Suesdek, Lincoln","Revista Brasileira de Entomologia; 55(1); 134-137","Revista Brasileira de Entomologia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262011000100022&lang=pt" 
"S0085-56262011000100023-scl","A new synonymy in Alitocoris Sailer (Hemiptera, Pentatomidae, Discocephalinae)","Garbelotto, Thereza de Almeida, Campos, Luiz Alexandre, Grazia, Jocélia","Revista Brasileira de Entomologia; 55(1); 138-140","Revista Brasileira de Entomologia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262011000100023&lang=pt" 
"S0085-56262011000100024-scl","Notas sobre o bicho-da-seda no folclore Chinês","Papavero, Nelson, Pujol-Luz, José Roberto","Revista Brasileira de Entomologia; 55(1); 141-142","Revista Brasileira de Entomologia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262011000100024&lang=pt" 
"S0085-56262011000100025-scl","The taxonomic placement and provenance of Hypopyra inconspicua Herrich-Schäffer (Lepidoptera, Thyrididae)","Becker, Vitor O.","Revista Brasileira de Entomologia; 55(1); 143-144","Revista Brasileira de Entomologia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262011000100025&lang=pt" 
"S0085-56262011000100006-scl","A new species of Cernotina (Trichoptera, Polycentropodidae) from the Atlantic Forest, Rio de Janeiro State, southeastern Brazil","Dumas, Leandro Lourenço, Nessimian, Jorge Luiz","Revista Brasileira de Entomologia; 55(1); 31-34","Revista Brasileira de Entomologia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262011000100006&lang=pt" 
"S0085-56262011000100003-scl","A new name for the Neotropical genus Aniarella Enderlein (Diptera, Sciaridae)","Özdikmen, Hüseyin, Başar, Kadir","Revista Brasileira de Entomologia; 55(1); 15-16","Revista Brasileira de Entomologia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262011000100003&lang=pt" 
"S0085-56262011000100005-scl","A new species of Aristobrotica Bechynéand a checklist of the genus (Coleoptera, Chrysomelidae, Galerucinae)","Moura, Luciano de A.","Revista Brasileira de Entomologia; 55(1); 27-30","Revista Brasileira de Entomologia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262011000100005&lang=pt" 
"S0085-56262011000100008-scl","A new genus and species of gall midge (Diptera, Cecidomyiidae) associated with Microgramma vacciniifolia (Langsd. &amp; Fisch.) Copel. (Polypodiaceae) from Brazil","Maia, Valéria Cid, Santos, Marcelo Guerra","Revista Brasileira de Entomologia; 55(1); 40-44","Revista Brasileira de Entomologia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262011000100008&lang=pt" 
"S0085-56262011000100019-scl","Interaction between Telenomus remus and Trichogramma pretiosum in the management of Spodoptera spp.","Goulart, Maria Mirmes Paiva, Bueno, Adeney de Freitas, Bueno, Regiane Cristina Oliveira de Freitas, Vieira, Simone Silva","Revista Brasileira de Entomologia; 55(1); 121-124","Revista Brasileira de Entomologia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262011000100019&lang=pt" 
"S0085-56262011000100020-scl","Susceptibility of Alphitobius diaperinus (Panzer) (Coleoptera, Tenebrionidae) to cypermethrin, dichlorvos and triflumuron in southern Brazil","Chernaki-Leffer, Andreia Mauruto, Sosa-Gómez, Daniel Ricardo, Almeida, Lúcia M., Lopes, Ivani de Oliveira Negrão","Revista Brasileira de Entomologia; 55(1); 125-128","Revista Brasileira de Entomologia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262011000100020&lang=pt" 
"S0103-507X2011000100001-scl","Amidos para ressuscitação volêmica na UTI: ao vencedor, as batatas!","Zampieri, Fernando Godinho, Azevedo, Luciano César Pontes","Revista Brasileira de Terapia Intensiva; 23(1); 1-3","Revista Brasileira de Terapia Intensiva","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2011000100001&lang=pt" 
"S0103-507X2011000100007-scl","Painel molecular para detecção de microrganismos associados à sepse","Ferreira, Leslie Ecker, Dalposso, Karilene, Hackbarth, Bruna Barbosa, Gonçalves, Anderson R., Westphal, Glauco Adrieno, França, Paulo Henrique Condeixa de, Pinho, Mauro de Souza Leite","Revista Brasileira de Terapia Intensiva; 23(1); 36-40","Revista Brasileira de Terapia Intensiva","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2011000100007&lang=pt" 
"S0103-507X2011000100005-scl","II Fórum do &quot;Grupo de Estudos do Fim da Vida do Cone Sul&quot;: definições, recomendações e ações integradas para cuidados paliativos na unidade de terapia intensiva de adultos e pediátrica","Moritz, Rachel Duarte, Deicas, Alberto, Capalbo, Mônica, Forte, Daniel Neves, Kretzer, Lara Patrícia, Lago, Patrícia, Pusch, Raquel, Othero, Jairo, Piva, Jefferson, Silva, Newton Brandão da, Azeredo, Nara, Ropelato, Raphaella","Revista Brasileira de Terapia Intensiva; 23(1); 24-29","Revista Brasileira de Terapia Intensiva","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2011000100005&lang=pt" 
"S0103-507X2011000100019-scl","Resposta dos autores","Silva Junior, João Manoel, Oliveira, Amanda Maria Ribas Rosa, Silveira, Bruno Ricciardi, Ferreira, Ulisses Pinto, Albretht, Rodrigo Natal, Gonzaga, Tiago Bertacini, Rezende, Ederlon","Revista Brasileira de Terapia Intensiva; 23(1); 113-113","Revista Brasileira de Terapia Intensiva","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2011000100019&lang=pt" 
"S0103-507X2011000100002-scl","Sedação da criança submetida à ventilação pulmonar mecânica: estamos avançando","Fonseca, Marcelo Cunio Machado, Carvalho, Werther Brunow de","Revista Brasileira de Terapia Intensiva; 23(1); 4-5","Revista Brasileira de Terapia Intensiva","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2011000100002&lang=pt" 
"S0103-507X2011000100009-scl","Efetividade da sondagem pós-pilórica usando guia magnético","Viana, Renata Andrea Pietro Pereira, Rezende, Ederlon, Batista, Maria Aparecida Oliveira, Silva, Carla Marta da, Ribeiro Neto, Miguel Costa, Setoyama, Tatiane Akemi, Silva Junior, João Manoel, Oliveira, Amanda Maria Ribas Rosa de","Revista Brasileira de Terapia Intensiva; 23(1); 49-55","Revista Brasileira de Terapia Intensiva","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2011000100009&lang=pt" 
