"S0120-24482011000100002-col","Aliviar siempre","Matijasevic, Eugenio","Acta Medica Colombiana; 36(1); 4-9","Acta Medica Colombiana","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-24482011000100002&lang=pt" 
"S0123-885X2011000100018-col","Poéticas de lo criollo: La transformación del concepto &quot;criollo&quot; en las letras hispanoamericanas (siglo XVI al XIX)","Buitrago Escobar, Flor Ángela","Revista de Estudios Sociales; (38); 190-193","Revista de Estudios Sociales","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-885X2011000100018&lang=pt" 
"S0123-885X2011000100019-col","Diccionario político y social del mundo iberoamericano","Mejía, Sergio","Revista de Estudios Sociales; (38); 194-196","Revista de Estudios Sociales","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-885X2011000100019&lang=pt" 
"S0123-885X2011000100016-col","Derechos y deberes del hombre en sociedad","Nieto, Juan José","Revista de Estudios Sociales; (38); 179-183","Revista de Estudios Sociales","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-885X2011000100016&lang=pt" 
"S0123-885X2011000100017-col","El presente de la patria y de la nación en la reflexión sobre la república","Alzate, Carolina, Mejía, Sergio","Revista de Estudios Sociales; (38); 185-188","Revista de Estudios Sociales","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-885X2011000100017&lang=pt" 
"S0123-885X2011000100014-col","Aptitud de la mujer para ejercer todas las profesiones: Memoria presentada en el Congreso Pedagógico Hispano-Lusitano-Americano reunido en Madrid en 1892","Acosta de Samper, Soledad","Revista de Estudios Sociales; (38); 169-175","Revista de Estudios Sociales","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-885X2011000100014&lang=pt" 
"S0123-885X2011000100015-col","Sobre la idea de tiranicidio en los Derechos y deberes del hombre en sociedad, catecismo republicano de Juan José Nieto (Cartagena, 1834)","Mejía, Sergio","Revista de Estudios Sociales; (38); 176-178","Revista de Estudios Sociales","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-885X2011000100015&lang=pt" 
"S0123-885X2011000100012-col","Entre o fazer e o falar dos homens: representações e práticas sociais de saúde","Silva Mendonça, Vítor, Smith Menandro, Maria Cristina, Araújo Trindade, Zeidi","Revista de Estudios Sociales; (38); 155-164","Revista de Estudios Sociales","Português","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-885X2011000100012&lang=pt" 
"S0123-885X2011000100013-col","Aptitud de la mujer para ejercer todas las profesiones","Alzate, Carolina","Revista de Estudios Sociales; (38); 166-168","Revista de Estudios Sociales","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-885X2011000100013&lang=pt" 
"S0123-885X2011000100010-col","Análisis de redes sociales en el mundo rural: guía inicial","Lugo-Morin, Diosey Ramón","Revista de Estudios Sociales; (38); 129-142","Revista de Estudios Sociales","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-885X2011000100010&lang=pt" 
"S0123-885X2011000100011-col","Problemas del entorno y de la comunidad como fuentes de aprendizaje de la estadística","Rojas, Yury Marcela","Revista de Estudios Sociales; (38); 143-154","Revista de Estudios Sociales","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-885X2011000100011&lang=pt" 
"S2070-81572011000100002-bol","LA CONSTITUCIÓN VIGENTE Y SUS LEYES DE DESARROLLO ¿GUARDAN COMPATIBILIDAD CON LA IDEA ESTADO DE DERECHO?","DURÁN RIBERA, Willman R.","Iuris Tantum Revista Boliviana de Derecho; (11); 6-23","Iuris Tantum Revista Boliviana de Derecho","Espanhol","2011","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2070-81572011000100002&lang=pt" 
"S2070-81572011000100008-bol","¿ES POSIBLE LA TUTELA DE INTERESES COLECTIVOS Y DIFUSOS EN EL ARBITRAJE DE CONSUMO? EL ARBITRAJE DE CONSUMO COLECTIVO EN EL REAL DECRETO 231/2008, DE 15 DE FEBRERO, REGULADOR DEL SISTEMA ARBITRAL DE CONSUMO","MARCOS FRANCISCO, Diana","Iuris Tantum Revista Boliviana de Derecho; (11); 176-203","Iuris Tantum Revista Boliviana de Derecho","Espanhol","2011","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2070-81572011000100008&lang=pt" 
"S2070-81572011000100010-bol","LA VALIDEZ DEL ACUERDO ARBITRAL EN MATERIA DE INVERSIONES EXTRANJERAS E HIDROCARBUROS EN BOLIVIA","CUOMO, Nahid","Iuris Tantum Revista Boliviana de Derecho; (11); 222-239","Iuris Tantum Revista Boliviana de Derecho","Espanhol","2011","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2070-81572011000100010&lang=pt" 
"S2070-81572011000100009-bol","ARBITRAJE OBLIGATORIO Y DE DERECHO EN LA CONTRATACIÓN PÚBLICA","CASTILLO FREYRE, Mario, SABROSO MINAYA, Rita","Iuris Tantum Revista Boliviana de Derecho; (11); 204-221","Iuris Tantum Revista Boliviana de Derecho","Espanhol","2011","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2070-81572011000100009&lang=pt" 
"S2070-81572011000100012-bol","COMENTARIOS AL ART. 16 DE LA LEY CONTRA EL RACISMO Y TODA FORMA DE DISCRIMINACIÓN","Parada Vaca, Orlando","Iuris Tantum Revista Boliviana de Derecho; (11); 259-266","Iuris Tantum Revista Boliviana de Derecho","Espanhol","2011","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2070-81572011000100012&lang=pt" 
"S2070-81572011000100001-bol","LIBERTAD DE EXPRESIÓN Y LEY CONTRA EL RACISMO","","Iuris Tantum Revista Boliviana de Derecho; (11); 3-4","Iuris Tantum Revista Boliviana de Derecho","Espanhol","2011","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2070-81572011000100001&lang=pt" 
"S2070-81572011000100013-bol","EL JUEZ PRECONSTITUIDO POR LEY Y EL TRIBUNAL CONSTITUCIONAL","Andaluz Vegacenteno, Horacio","Iuris Tantum Revista Boliviana de Derecho; (11); 259-266","Iuris Tantum Revista Boliviana de Derecho","Espanhol","2011","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2070-81572011000100013&lang=pt" 
"S0871-018X2011000100001-prt","Editorial","","Revista de Ciências Agrárias; 34(1); 5-6","Revista de Ciências Agrárias","Português","2011","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0871-018X2011000100001&lang=pt" 
"S0871-018X2011000100002-prt","Doses reduzidas de herbicidas no controlo do Juncus Bufonius L. e infestantes dicotiledóneas em trigo de sementeira directa","Barros, José Calado, Basch, Gottlieb, Freixial, Ricardo, Carvalho, Mário de","Revista de Ciências Agrárias; 34(1); 7-13","Revista de Ciências Agrárias","Português","2011","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0871-018X2011000100002&lang=pt" 
"S0871-018X2011000100003-prt","Monitorização e controlo do ambiente numa sala de cabritos com ventilação forçada","Pederneira, Ana Maria, Pascoal, Rita Aurea, Meneses, Jorge Ferro","Revista de Ciências Agrárias; 34(1); 14-23","Revista de Ciências Agrárias","Português","2011","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0871-018X2011000100003&lang=pt" 
"S0871-018X2011000100004-prt","O aumento da rentabilidade do milho no Minho: eficiência do uso da água e redução dos custos associados à rega e à fertilização","Agostinho, Jorge Manuel Ferreira da Silva","Revista de Ciências Agrárias; 34(1); 24-41","Revista de Ciências Agrárias","Português","2011","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0871-018X2011000100004&lang=pt" 
"S0871-018X2011000100005-prt","Impact of the 2003 CAP reform and the health-check in competitiveness of Alqueva irrigation project","Santos, Maria José Palma Lampreia dos, Fragoso, Rui Manuel de Sousa, Henriques, Pedro Damião de Sousa, Carvalho, Maria Leonor da Silva","Revista de Ciências Agrárias; 34(1); 42-56","Revista de Ciências Agrárias","Inglês","2011","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0871-018X2011000100005&lang=pt" 
"S0871-018X2011000100006-prt","Produção de três espécies de cogumelos Pleurotus e avaliação da qualidade em atmosfera modificada","Ramos, Cristina, Sapata, Margarida, Ferreira, Armando, Andrada, Luís, Candeias, Manuel","Revista de Ciências Agrárias; 34(1); 57-64","Revista de Ciências Agrárias","Português","2011","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0871-018X2011000100006&lang=pt" 
"S0871-018X2011000100007-prt","Extractability of aluminium and forms in solution of soils derived from granite in Portugal","Auxtero, Edgardo, Madeira, Manuel","Revista de Ciências Agrárias; 34(1); 65-79","Revista de Ciências Agrárias","Inglês","2011","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0871-018X2011000100007&lang=pt" 
"S0871-018X2011000100008-prt","Organic C distribution and N mineralization in soil of oak woodlands with improved pastures","Gómez-Rey, Maria Xesús, Garcês, Ana, Madeira, Manuel","Revista de Ciências Agrárias; 34(1); 80-92","Revista de Ciências Agrárias","Inglês","2011","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0871-018X2011000100008&lang=pt" 
"S0871-018X2011000100009-prt","Os rótulos e as fichas de dados de segurança de pesticidas tóxicos para abelhas","Amaro, Pedro","Revista de Ciências Agrárias; 34(1); 93-109","Revista de Ciências Agrárias","Português","2011","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0871-018X2011000100009&lang=pt" 
"S0871-018X2011000100010-prt","Contribuição para o conhecimento de Garcia de Orta","Liberato, Maria Cândida","Revista de Ciências Agrárias; 34(1); 110-119","Revista de Ciências Agrárias","Português","2011","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0871-018X2011000100010&lang=pt" 
"S0871-018X2011000100011-prt","Influência de resíduo de serragem de mármore na condutividade hidráulica do solo e na qualidade da água","Bertossi, Ana Paula Almeida, Cardoso, Marcos de Souza Neves, Prado, Ana Candida de Almeida, Polidoro, José Carlos, Garcia, Giovanni de Oliveira, Neves, Mirna Aparecida","Revista de Ciências Agrárias; 34(1); 123-134","Revista de Ciências Agrárias","Português","2011","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0871-018X2011000100011&lang=pt" 
"S0871-018X2011000100012-prt","Absorção de fósforo e crescimento do Sorgo em função da aplicação de silício e fósforo em Latossolo Vermelho distroférrico","Cessa, Raphael Maia Aveiro, Novelino, José Oscar, Vitorino, Antonio Carlos Tadeu, Mauad, Munir","Revista de Ciências Agrárias; 34(1); 135-142","Revista de Ciências Agrárias","Português","2011","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0871-018X2011000100012&lang=pt" 
"S0871-018X2011000100013-prt","Caracterização do processo de rigor mortis em músculos de cordeiros da raça Santa Inês e F1 Santa Inês x Dorper","Costa, Rafael dos Santos, Henry, Fábio da Costa, Quirino, Celia Raquel, Henriques, Luciana Salles Vasconcelos, Carvalho, Eulógio Carlos Queiroz de, Almeida, Selma Bergara","Revista de Ciências Agrárias; 34(1); 143-153","Revista de Ciências Agrárias","Português","2011","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0871-018X2011000100013&lang=pt" 
"S0871-018X2011000100014-prt","Seleção de genótipos de Brachiaria Ruziziensis quanto à tolerância ao alumínio em solução nutritiva: I: Resposta a diferentes concentrações de alumínio e valores de ph em solução nutritiva","Matins, Carlos Eugênio, Miguel, Paulo Sérgio Balbino, Rocha, Wadson Sebastião Duarte da, Sobrinho, Fausto Souza, Gomes, Fernando Teixeira, Oliveira, André Vicente de","Revista de Ciências Agrárias; 34(1); 154-162","Revista de Ciências Agrárias","Português","2011","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0871-018X2011000100014&lang=pt" 
