"S0718-22952016000100002-chl","La manifestación de lo general en la comedia según Aristóteles","Cifuentes Acuña, Luis","Revista chilena de literatura; (92); 33-51","Revista chilena de literatura","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22952016000100002&lang=pt" 
"S0718-22952016000100009-chl","La lírica santiaguera en la etapa republicana (1902-1923)","Ramírez Castellanos, Ronald Antonio","Revista chilena de literatura; (92); 201-220","Revista chilena de literatura","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22952016000100009&lang=pt" 
"S0718-22952016000100012-chl","Imágenes en el abismo: Antín, Cortázar e Intimidad de los parques","Zangrandi, Marcos","Revista chilena de literatura; (92); 251-257","Revista chilena de literatura","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22952016000100012&lang=pt" 
"S1679-78252016000400590-scl","An Accurate Study on Capacitive Microphone with Circular Diaphragm Using a Higher Order Elasticity Theory","Dowlati, Shakiba, Rezazadeh, Ghader, Afrang, Saeid, Sheykhlou, Mehrdad, Pasandi, Aysan Madan","Latin American Journal of Solids and Structures; 13(4); 590-609","Latin American Journal of Solids and Structures","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-78252016000400590&lang=pt" 
"S1679-78252016000400750-scl","Thermo-Elastic Analysis of Clamped-Clamped Thick FGM Cylinders by Using Third-Order Shear Deformation Theory","Gharooni, H., Ghannad, M., Nejad, M.Z.","Latin American Journal of Solids and Structures; 13(4); 750-774","Latin American Journal of Solids and Structures","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-78252016000400750&lang=pt" 
"S1679-78252016000400632-scl","Size-Dependent Bending, Buckling and Free Vibration Analyses of Microscale Functionally Graded Mindlin Plates Based on the Strain Gradient Elasticity Theory","Ansari, R., Hasrati, E., Faghih Shojaei, M., Gholami, R., Mohammadi, V., Shahabodini, A.","Latin American Journal of Solids and Structures; 13(4); 632-664","Latin American Journal of Solids and Structures","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-78252016000400632&lang=pt" 
"S1679-78252016000400731-scl","Bolted Shear Connectors Performance in Self-Compacting Concrete Integrated with Cold-Formed Steel Section","Lawan, Mustapha Muhammad, Tahir, Mahmood Md., Mirza, Jahangir","Latin American Journal of Solids and Structures; 13(4); 731-749","Latin American Journal of Solids and Structures","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-78252016000400731&lang=pt" 
"S1679-78252016000400715-scl","Modeling of Variable Lamé&#039;s Modulii for a FGM Generalized Thermoelastic Half Space","Sherief, Hany H., El-Latief, A. M. Abd","Latin American Journal of Solids and Structures; 13(4); 715-730","Latin American Journal of Solids and Structures","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-78252016000400715&lang=pt" 
"S1679-78252016000400796-scl","Aerothermoelastic Analysis of Functionally Graded Plates Using Generalized Differential Quadrature Method","Shahverdi, H., Khalafi, V., Noori, S.","Latin American Journal of Solids and Structures; 13(4); 796-818","Latin American Journal of Solids and Structures","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-78252016000400796&lang=pt" 
"S1679-78252016000400610-scl","Pressure-Based and Potential-Based Differential Quadrature Procedures for Free Vibration of Circular Plates in Contact with Fluid","Eftekhari, S. A.","Latin American Journal of Solids and Structures; 13(4); 610-631","Latin American Journal of Solids and Structures","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-78252016000400610&lang=pt" 
"S1679-78252016000400690-scl","Finite Element Modelling for Static and Free Vibration Response of Functionally Graded Beam","Khan, Ateeb Ahmad, Naushad Alam, M., Rahman, Najeeb ur, Wajid, Mustafa","Latin American Journal of Solids and Structures; 13(4); 690-714","Latin American Journal of Solids and Structures","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-78252016000400690&lang=pt" 
"S1516-31802016000200121-scl","Interaction of lipoprotein lipase polymorphisms with body mass index and birth weight to modulate lipid profiles in children and adolescents: the CASPIAN-III Study","Askari, Gholamreza, Heidari-Beni, Motahar, Mansourian, Marjan, Esmaeil-Motlagh, Mohammad, Kelishadi, Roya","Sao Paulo Medical Journal; 134(2); 121-129","Sao Paulo Medical Journal","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31802016000200121&lang=pt" 
"S1677-55382016000200188-scl","Overactive bladder – 18 years – part I","Truzzi, Jose Carlos, Gomes, Cristiano Mendes, Bezerra, Carlos A., Plata, Ivan Mauricio, Campos, Jose, Garrido, Gustavo Luis, Almeida, Fernando G., Averbeck, Marcio Augusto, Fornari, Alexandre, Salazar, Anibal, Dell&#039;Oro, Arturo, Cintra, Caio, Sacomani, Carlos Alberto Ricetto, Tapia, Juan Pablo, Brambila, Eduardo, Longo, Emilio Miguel, Rocha, Flavio Trigo, Coutinho, Francisco, Favre, Gabriel, Garcia, José Antonio, Castaño, Juan, Reyes, Miguel, Leyton, Rodrigo Eugenio, Ferreira, Ruiter Silva, Duran, Sergio, López, Vanda, Reges, Ricardo","International braz j urol; 42(2); 188-198","International braz j urol","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382016000200188&lang=pt" 
"S1984-64872016000100369-scl","La formación de masculinidades hegemónicas en la clase dominante: el caso de la sexualidad en los colegios privados de elite en Chile","Madrid, Sebastián","Sexualidad, Salud y Sociedad (Rio de Janeiro); (22); 369-398","Sexualidad, Salud y Sociedad (Rio de Janeiro)","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-64872016000100369&lang=pt" 
