"S0104-14282011000300002-scl","Efeito da degradação ambiental nas propriedades de cisalhamento de compósitos PPS/fibra de carbono","Costa, Anahi P., Botelho, Edson C., Pardini, Luiz C.","Polímeros; 21(3); 161-167","Polímeros","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282011000300002&lang=pt" 
"S0104-14282011000300015-scl","Logística reversa nas indústrias de plásticos de Teresina-PI: um estudo de viabilidade","Silva, Elaine A. da, Moita Neto, José M.","Polímeros; 21(3); 246-251","Polímeros","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282011000300015&lang=pt" 
"S0104-14282011000300010-scl","Efeito do tratamento das fibras nas propriedades do biocompósito de amido termoplástico/policaprolactona/sisal","Campos, Adriana de, Teodoro, Kelcilene B. R., Marconcini, José M., Mattoso, Luiz H.C., Martins-Franchetti, Sandra M.","Polímeros; 21(3); 217-222","Polímeros","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282011000300010&lang=pt" 
"S0104-14282011000300011-scl","Propriedades mecânicas e comportamento a emissões de voláteis de compósitos de polipropileno/fibras curtas de sílica","Pizzitola, Ivani C. dos P., Machado, Mariana M., Wiebeck, Hélio","Polímeros; 21(3); 223-228","Polímeros","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282011000300011&lang=pt" 
"S0104-14282011000300006-scl","Caracterização reológica da goma xantana: influência de íons metálicos univalente e trivalente e temperatura em experimentos dinâmicos","Luporini, Samuel, Bretas, Rosário E. S.","Polímeros; 21(3); 188-194","Polímeros","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282011000300006&lang=pt" 
"S0104-14282011000300005-scl","Redução da massa molecular e funcionalização do poli(3-hidroxibutirato-co-3-hidroxivalerato) (PHBHV) via hidrólise ácida e transesterificação com glicóis","Montoro, Sérgio R., Tebaldi, Marli L., Alves, Gizelda M., Barboza, Jayne C. de S.","Polímeros; 21(3); 182-187","Polímeros","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282011000300005&lang=pt" 
"S1984-63982011000300002-scl","Linguística Aplicada: uma identidade construida nos CBLA","Archanjo, Renata","Revista Brasileira de Linguística Aplicada; 11(3); 609-632","Revista Brasileira de Linguística Aplicada","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-63982011000300002&lang=pt" 
"S0100-40422011000800005-scl","Um exemplo de aplicação da Microscopia Raman na autenticação de obras de arte","Faria, Dalva Lúcia Araújo de, Puglieri, Thiago Sevilhano","Química Nova; 34(8); 1323-1327","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000800005&lang=pt" 
"S0100-40422011000800002-scl","Influência das características físico-químicas dos solos no ciclo hidrobiogeoquímico do mercúrio na região do Rio Aracá - AM","Oliveira, Luciana Camargo de, Botero, Wander Gustavo, Santos, Ademir dos, Cordovil, Mirela Cristina de Oliveira, Rocha, Julio Cesar, Silva, Heliandro Cordovil da","Química Nova; 34(8); 1303-1308","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000800002&lang=pt" 
"S0100-40422011000800003-scl","Filmes de amidos de mandioca modificados para recobrimento e conservação de uvas","Vicentino, Suellen Laís, Floriano, Patrícia Aparecida, Dragunski, Douglas Cardoso, Caetano, Josiane","Química Nova; 34(8); 1309-1314","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000800003&lang=pt" 
"S0100-40422011000800004-scl","Descoloração e degradação do azo corante Vermelho GRLX-220 por ozonização","Santos, Patrícia Kelly dos, Fernandes, Karla Carvalho, Faria, Luiz Antonio de, Freitas, Admildo Costa de, Silva, Leonardo Morais da","Química Nova; 34(8); 1315-1322","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000800004&lang=pt" 
"S0100-40422011000800006-scl","Avaliação geoquímica de óleos brasileiros com ênfase nos hidrocarbonetos aromáticos","Heckmann, Jean Romei, Landau, Luiz, Gonçalves, Félix Thadeu Teixeira, Pereira, Ricardo, Azevedo, Débora de Almeida","Química Nova; 34(8); 1328-1333","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000800006&lang=pt" 
"S0100-40422011000800007-scl","Methanol steam reforming over Cu/CeO2 catalysts: influence of zinc addition","Tonelli, Franco, Gorriz, Osvaldo, Arrúa, Luis, Abello, Maria Cristina","Química Nova; 34(8); 1334-1338","Química Nova","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000800007&lang=pt" 
"S0100-40422011000800008-scl","Síntese da perovsquita do tipo LaNiO3 através do método dos precursores quelantes usando EDTA: otimização do teor de agente quelante","Santos, Jose Carlos dos, Pedrosa, Anne Michelle Garrido, Mesquita, Maria Eliane, Souza, Marcelo José Barros de","Química Nova; 34(8); 1339-1342","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000800008&lang=pt" 
"S0100-40422011000800009-scl","Materiais SiO2-TiO2 para a degradação fotocatalítica de diuron","Bernardes, Arthur Alaím, Bulhosa, Maria Carolina S., Gonçalves, Fábio Ferreira, D&#039;Oca, Marcelo G. Montes, Wolke, Silvana I., Santos, João Henrique Z. dos","Química Nova; 34(8); 1343-1348","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000800009&lang=pt" 
"S0100-40422011000800011-scl","Enantioselective biotransformation of propranolol to the active metabolite 4-hydroxypropranolol by endophytic fungi","Borges, Keyller Bastos, Bonato, Pierina Sueli, Pupo, Mônica Tallarico","Química Nova; 34(8); 1354-1357","Química Nova","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000800011&lang=pt" 
"S0100-40422011000800012-scl","Análise de pinturas rupestres do Abrigo do Janelão (Minas Gerais) por microscopia raman","de Faria, Dalva Lúcia A., Lopes, Francisco N., Souza, Luiz Antônio Cruz, Branco, Helena David de Oliveira Castello","Química Nova; 34(8); 1358-1364","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000800012&lang=pt" 
