"S1870-46542011000100014-mex","La compétence externe du Conseil de Sécurité ou les forces nouvelles du droit international","Raach, Fatma","Anuario mexicano de derecho internacional; 11(); 407-431","Anuario mexicano de derecho internacional","Francês","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-46542011000100014&lang=pt" 
"S1870-46542011000100005-mex","¿Hacia un nuevo modelo de Estado de derecho? El Estado de derecho internacional en la visión de Luigi Ferrajoli","Ruiz Valerio, José Fabián","Anuario mexicano de derecho internacional; 11(); 119-146","Anuario mexicano de derecho internacional","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-46542011000100005&lang=pt" 
"S1870-46542011000100013-mex","Private International Law in Latin America: from Hard to Soft Law","González Martín, Nuria","Anuario mexicano de derecho internacional; 11(); 393-405","Anuario mexicano de derecho internacional","Inglês","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-46542011000100013&lang=pt" 
"S1870-46542011000100009-mex","El principio de jurisdicción universal en el ordenamiento jurídico español: pasado, presente y futuro","Márquez Carrasco, Carmen, Martín Martínez, Magdalena","Anuario mexicano de derecho internacional; 11(); 251-303","Anuario mexicano de derecho internacional","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-46542011000100009&lang=pt" 
"S1870-46542011000100008-mex","La denegación del derecho de acceso a la justicia a los inmigrantes irregulares en la Unión Europea","Ortiz Ahlf, Loretta","Anuario mexicano de derecho internacional; 11(); 227-249","Anuario mexicano de derecho internacional","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-46542011000100008&lang=pt" 
"S1870-46542011000100019-mex","Corte Interamericana de Derechos Humanos: Caso Radilla Pacheco vs. México. Sentencia del 23 de noviembre de 2009 (excepciones preliminares, fondo, reparaciones y costas)","Gómez-Robledo Verduzco, Alonso","Anuario mexicano de derecho internacional; 11(); 561-591","Anuario mexicano de derecho internacional","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-46542011000100019&lang=pt" 
"S1870-46542011000100006-mex","Interpretation of Article 39 of the UN Charter (Threat to the Peace) by the Security Council: Is the Security Council a Legislator for the Entire International Community?","de la Serna Galván, Mónica Lourdes","Anuario mexicano de derecho internacional; 11(); 147-185","Anuario mexicano de derecho internacional","Inglês","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-46542011000100006&lang=pt" 
"S1870-46542011000100018-mex","El caso &quot;campo algodonero&quot; ante la Corte Interamericana de Derechos Humanos","Vázquez Camacho, Santiago José","Anuario mexicano de derecho internacional; 11(); 515-559","Anuario mexicano de derecho internacional","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-46542011000100018&lang=pt" 
"S1870-46542011000100010-mex","El derecho fundamental al juez independiente en la jurisprudencia de la Corte Interamericana de Derechos Humanos","Delgado Ávila, Daniel","Anuario mexicano de derecho internacional; 11(); 305-329","Anuario mexicano de derecho internacional","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-46542011000100010&lang=pt" 
"S1870-46542011000100020-mex","El control de convencionalidad: un nuevo debate en México a partir de la sentencia del Caso Radilla Pacheco","Castilla, Karlos","Anuario mexicano de derecho internacional; 11(); 593-624","Anuario mexicano de derecho internacional","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-46542011000100020&lang=pt" 
"S1870-46542011000100021-mex","","Añaños M., M. Cecilia","Anuario mexicano de derecho internacional; 11(); 627-629","Anuario mexicano de derecho internacional","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-46542011000100021&lang=pt" 
"S1870-46542011000100022-mex","El cambio climático en el derecho internacional y comunitario","Marqués Rueda, Efrén Gustavo","Anuario mexicano de derecho internacional; 11(); 631-635","Anuario mexicano de derecho internacional","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-46542011000100022&lang=pt" 
"S1870-46542011000100023-mex","","Téllez Carvajal, Evelyn","Anuario mexicano de derecho internacional; 11(); 637-640","Anuario mexicano de derecho internacional","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-46542011000100023&lang=pt" 
"S1870-46542011000100024-mex","América del Norte en el siglo XXI","Serna de la Garza, José Ma.","Anuario mexicano de derecho internacional; 11(); 641-647","Anuario mexicano de derecho internacional","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-46542011000100024&lang=pt" 
"S1870-46542011000100025-mex","","Portilla Gómez, Juan Manuel","Anuario mexicano de derecho internacional; 11(); 649-652","Anuario mexicano de derecho internacional","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-46542011000100025&lang=pt" 
"S1870-46542011000100012-mex","A lógica de exclusão moderna no Pacto de Imigração e Asilo da União Européia: nada de novo","Magalhães, José Luiz Quadros de, Reis, Carolina dos","Anuario mexicano de derecho internacional; 11(); 369-392","Anuario mexicano de derecho internacional","Português","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-46542011000100012&lang=pt" 
"S1870-46542011000100015-mex","La incorporación del crimen de agresión en el Estatuto de la Corte Penal Internacional","Vallarta Marrón, José Luis","Anuario mexicano de derecho internacional; 11(); 435-461","Anuario mexicano de derecho internacional","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-46542011000100015&lang=pt" 
"S1870-46542011000100017-mex","Crisis económica y financiera en la Unión Europea: Reflexiones en torno a algunos instrumentos estratégicos para la recuperación","Pérez Carrillo, Elena F.","Anuario mexicano de derecho internacional; 11(); 487-511","Anuario mexicano de derecho internacional","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-46542011000100017&lang=pt" 
"S1870-46542011000100003-mex","Fallo de la Corte Internacional de Justicia en materia ambiental, evidenciado en el asunto de plantas de celulosa sobre el río Uruguay","Anglés Hernández, Marisol","Anuario mexicano de derecho internacional; 11(); 77-98","Anuario mexicano de derecho internacional","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-46542011000100003&lang=pt" 
"S1870-46542011000100016-mex","Las cláusulas de derechos humanos en los tratados de libre comercio de la Unión Europea","Niedrist, Gerhard","Anuario mexicano de derecho internacional; 11(); 463-485","Anuario mexicano de derecho internacional","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-46542011000100016&lang=pt" 
"S1870-46542011000100007-mex","The Responsibility to Protect as a General Principle of International Law","Kunadt, Nadja","Anuario mexicano de derecho internacional; 11(); 187-226","Anuario mexicano de derecho internacional","Inglês","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-46542011000100007&lang=pt" 
