"S0185-16592010000200015-mex","Alfonso Fabila: el apóstol indigenista, redivivo","Topete Lara, Hilario","Cuicuilco; 17(49); 285-291","Cuicuilco","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-16592010000200015&lang=pt" 
"S1850-373X2010000200001-arg","Movilidad, redes de intercambio y circulación de bienes en el sudoeste del Neuquén (Norpatagonia, Argentina): Los moluscos marinos del lago Traful","Silveira, Mario, López, Lisandro, Pastorino, Guido","Intersecciones en antropología; 11(2); 227-236","Intersecciones en antropología","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-373X2010000200001&lang=pt" 
"S1850-373X2010000200002-arg","Decoración experimental de cerámica aplicada al estudio de las técnicas incisas del área del Paraná","Ottalagano, Flavia V.","Intersecciones en antropología; 11(2); 237-247","Intersecciones en antropología","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-373X2010000200002&lang=pt" 
"S1850-373X2010000200003-arg","Estado actual de las investigaciones arqueológicas en el sitio Santa Inés IV (Sistema de Tandilia, región Pampeana)","Carrascosa Estenoz, Leire, Pedrotta, Victoria","Intersecciones en antropología; 11(2); 249-260","Intersecciones en antropología","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-373X2010000200003&lang=pt" 
"S1850-373X2010000200004-arg","Prospecciones arqueológicas en Andalgalá (Catamarca): resultados y perspectivas","Gordillo, Inés, Vaquer, José M., Basile, Mara","Intersecciones en antropología; 11(2); 261-275","Intersecciones en antropología","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-373X2010000200004&lang=pt" 
"S1850-373X2010000200005-arg","Geometrías delicadas: Diseños grabados en cáscaras de huevo de Rheidae recuperados en la costa norte del Golfo San Matías, Río Negro","Fiore, Dánae, Borella, Florencia","Intersecciones en antropología; 11(2); 277-293","Intersecciones en antropología","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-373X2010000200005&lang=pt" 
"S1850-373X2010000200006-arg","Calingasta x-file: reflexiones para una antropología de lo extraordinario","Escolar, Diego","Intersecciones en antropología; 11(2); 295-308","Intersecciones en antropología","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-373X2010000200006&lang=pt" 
"S1850-373X2010000200007-arg","El ajuar como indicador de la presencia Inka en el Cementerio Aguada Orilla Norte (Provincia de Catamarca)","Moralejo, Reinaldo A., Lynch, Julieta, Couso, María G., Raffino, Rodolfo A.","Intersecciones en antropología; 11(2); 309-313","Intersecciones en antropología","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-373X2010000200007&lang=pt" 
"S1850-373X2010000200008-arg","Caracterización de un entierro humano en la Quebrada de Los Corrales (El Infiernillo, Tucumán)","Oliszewski, Nurit, Gramajo Bühler, C. Matías, Mauri, Eduardo P., Miguez, Gabriel E., Muntaner, Ana C., Pantorrilla Rivas, Martín M.","Intersecciones en antropología; 11(2); 315-319","Intersecciones en antropología","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-373X2010000200008&lang=pt" 
"S1850-373X2010000200009-arg","La dinámica social de los grupos cazadores recolectores del Centro Sur pampeano durante el Holoceno tardío: Estructura demográfica, estilo de vida y relaciones biológicas de cazadores recolectores en un ambiente de desierto. Sitio Chenque I (Parque Nacional Lihué Calel, provincia de la Pampa, Argentina)","Bernal, Valeria","Intersecciones en antropología; 11(2); 321-322","Intersecciones en antropología","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-373X2010000200009&lang=pt" 
"S1850-373X2010000200010-arg","Estructura de edad y sexo en guanaco: Estudios actualísticos y arqueológicos en Pampa y Patagonia","Borrero, Luis Alberto","Intersecciones en antropología; 11(2); 323-324","Intersecciones en antropología","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-373X2010000200010&lang=pt" 
"S1850-373X2010000200011-arg","Consumo y representación en el sur de valles Calchaquíes (Noroeste argentino): Los Conjuntos cerámicos de las aldeas del primer milenio A.D.","Podestá, María Mercedes","Intersecciones en antropología; 11(2); 324-326","Intersecciones en antropología","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-373X2010000200011&lang=pt" 
"S1850-373X2010000200012-arg","","Shott, Michael","Intersecciones en antropología; 11(2); 326-332","Intersecciones en antropología","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-373X2010000200012&lang=pt" 
"S1850-373X2010000200013-arg","Los expedientes secretos: la escritura alfabética mapuche en español del siglo XIX: Cartas mapuche: Siglo XIX","Vezub, Julio Esteban","Intersecciones en antropología; 11(2); 332-335","Intersecciones en antropología","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-373X2010000200013&lang=pt" 
"S0120-07392010000200001-col","NOTA EDITORIAL","Solano Gutiérrez, Clara","Colombia Forestal; 13(2); 187-188","Colombia Forestal","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-07392010000200001&lang=pt" 
"S0120-07392010000200002-col","ANÁLISIS DEL PAISAJE Y DE SU RELACIÓN CON LA REGENERACIÓN DEL ROBLE (Quercus humboldtii Bonpl.) EN EL MUNICIPIO DE POPAYÁN, DEPARTAMENTO DEL CAUCA","Cabezas Gaviria, Alexander, Ospina Montealegre, Román","Colombia Forestal; 13(2); 189-200","Colombia Forestal","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-07392010000200002&lang=pt" 
"S1989-38092010000300004-esp","Análisis bayesiano de variables relacionadas con el desarrollo del síndrome de Burnout en profesionales sanitarios","Cañadas, Guillermo A., Lozano, Luis M., Fuente, Emilia I. de la, Vargas, Cristina, Saldaña, Lorena","Escritos de Psicología (Internet); 3(4); 33-39","Escritos de Psicología (Internet)","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1989-38092010000300004&lang=pt" 
"S1989-38092010000300001-esp","La innovación educativa desde la metodología: Mejora de las actitudes y competencias científicas de los alumnos","García, José Fernando, Gracia, Enrique, Fuentes, María C., Lila, Marisol, Pascual, Joan","Escritos de Psicología (Internet); 3(4); 1-10","Escritos de Psicología (Internet)","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1989-38092010000300001&lang=pt" 
"S1989-38092010000300002-esp","Impacto diferencial de la religión en el prejuicio entre muestras cristianas y musulmanas","Núñez Alarcón, Máximo, Moral Toranzo, Félix, Moreno Jiménez, Mª del Pilar","Escritos de Psicología (Internet); 3(4); 11-20","Escritos de Psicología (Internet)","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1989-38092010000300002&lang=pt" 
"S1989-38092010000300003-esp","Estimación de la prevalencia puntual de alteraciones neuropsicológicas asociadas al trastorno depresivo mayor","Gudayol-Ferre, Esteve, Guàrdia-Olmos, Joan, Herrera-Guzmán, Ixchel, Peró-Cebollero, Maribel, Herrera-Abarca, Jorge, Herrera-Guzmán, Daniel, Martínez-Medina, Patricia","Escritos de Psicología (Internet); 3(4); 21-32","Escritos de Psicología (Internet)","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1989-38092010000300003&lang=pt" 
