"S1405-74252010000400009-mex","Medición de pobreza a partir de la percepción de los individuos: Colombia y el Valle del Cauca","Aguado-Quintero, Luis Fernando, Osorio-Mejía, Ana María, Ahumada-Castro, Jaime Rodrigo, Riascos-Correa, Gloria Isabel","Papeles de población; 16(66); 259-285","Papeles de población","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-74252010000400009&lang=pt" 
"S0303-76572010000200001-scl","Saúde do Trabalhador no início do século XXI","Seligmann-Silva, Edith, Bernardo, Márcia Hespanhol, Maeno, Maria, Kato, Mina","Revista Brasileira de Saúde Ocupacional; 35(122); 185-186","Revista Brasileira de Saúde Ocupacional","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0303-76572010000200001&lang=pt" 
"S0303-76572010000200004-scl","Aspectos do regime de embarque, turnos e gestão do trabalho em plataformas offshore da Bacia de Campos (RJ) e sua relação com a saúde e a segurança dos trabalhadores","Alvarez, Denise, Figueiredo, Marcelo, Rotenberg, Lucia","Revista Brasileira de Saúde Ocupacional; 35(122); 201-216","Revista Brasileira de Saúde Ocupacional","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0303-76572010000200004&lang=pt" 
"S0303-76572010000200007-scl","Contribuição da Psicodinâmica do Trabalho para o debate: &quot;o mundo contemporâneo do trabalho e a saúde mental do trabalhador&quot;","Bouyer, Gilbert Cardoso","Revista Brasileira de Saúde Ocupacional; 35(122); 249-259","Revista Brasileira de Saúde Ocupacional","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0303-76572010000200007&lang=pt" 
"S0303-76572010000200008-scl","Dependência química e trabalho: uso funcional e disfuncional de drogas nos contextos laborais","Lima, Maria Elizabeth Antunes","Revista Brasileira de Saúde Ocupacional; 35(122); 260-268","Revista Brasileira de Saúde Ocupacional","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0303-76572010000200008&lang=pt" 
"S0303-76572010000200010-scl","Sofrimento mental em vendedores na Grande São Paulo: a destituição do ser pela organização do trabalho","Pintor, Eliana A. S.","Revista Brasileira de Saúde Ocupacional; 35(122); 277-288","Revista Brasileira de Saúde Ocupacional","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0303-76572010000200010&lang=pt" 
"S0303-76572010000200012-scl","Saúde mental no trabalho: da teoria à prática","Jackson Filho, José Marçal","Revista Brasileira de Saúde Ocupacional; 35(122); 303-304","Revista Brasileira de Saúde Ocupacional","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0303-76572010000200012&lang=pt" 
"S0798-97922010000200008-ven","La Revista de Pedagogía cuarenta años después: Circunstancias de su fundación","Salcedo Galvis, Hernando","Revista de Pedagogía; 31(89); 406-414","Revista de Pedagogía","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-97922010000200008&lang=pt" 
"S0798-97922010000200001-ven","Son ya cuarenta años: 1970-2010","Blanco, Carlos E","Revista de Pedagogía; 31(89); 219-222","Revista de Pedagogía","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-97922010000200001&lang=pt" 
"S0798-97922010000200003-ven","La equidad y la calidad en los procesos de admisión a la Educación Superior: Universidad Simón Bolívar y Universidad Central de Venezuela","Blanco Pérez, Fernando, Flórez Paredes, Elizabeth, Giménez Mercado, Claudia","Revista de Pedagogía; 31(89); 251-276","Revista de Pedagogía","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-97922010000200003&lang=pt" 
"S0798-97922010000200002-ven","Actitudes hacia las matemáticas en estudiantes de ingeniería en universidades autónomas venezolanas","Álvarez, Yadira, Ruiz Soler, Marcos","Revista de Pedagogía; 31(89); 225-249","Revista de Pedagogía","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-97922010000200002&lang=pt" 
