"S0104-83332010000200003-scl","Jeitos de corpo: cor/raça, gênero, sexualidade e sociabilidade juvenil no centro de São Paulo","Simões, Júlio Assis, França, Isadora Lins, Macedo, Marcio","Cadernos Pagu; (35); 37-78","Cadernos Pagu","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-83332010000200003&lang=pt" 
"S0104-83332010000200004-scl","Identidades, trânsitos e diversidade sexual em contextos de sociabilidade juvenil no Rio de Janeiro (Brasil)","Monteiro, Simone, Vargas, Eliane, Cecchetto, Fátima, Mendonça, Felippe","Cadernos Pagu; (35); 79-109","Cadernos Pagu","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-83332010000200004&lang=pt" 
"S0104-83332010000200005-scl","&quot;Raça&quot;, ressentimento e racismo: transformações na África do Sul","Blaser, Thomas, Bagnol, Brigitte, Matebeni, Zethu, Simon, Anne, Manuel, Sandra","Cadernos Pagu; (35); 111-137","Cadernos Pagu","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-83332010000200005&lang=pt" 
"S0104-83332010000200006-scl","Retóricas ambivalentes: ressentimentos e negociações em contextos de sociabilidade juvenil na Cidade do Cabo (África do Sul)","Moutinho, Laura, Lopes, Pedro, Zamboni, Marcio, Ribas, Mario, Salo, Elaine","Cadernos Pagu; (35); 139-176","Cadernos Pagu","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-83332010000200006&lang=pt" 
"S0104-83332010000200007-scl","&quot;As mulheres são más&quot;: pessoa, gênero e doença no sul de Moçambique","Passador, Luiz Henrique","Cadernos Pagu; (35); 177-210","Cadernos Pagu","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-83332010000200007&lang=pt" 
"S0104-83332010000200009-scl","Prazer sem camisinha: novos posicionamentos em redes de interação online","Silva, Luís Augusto Vasconcelos da","Cadernos Pagu; (35); 241-277","Cadernos Pagu","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-83332010000200009&lang=pt" 
"S0103-84782010001200019-scl","Padrões de comportamento ingestivo de cordeiras recebendo ou não suplemento em pastagem de milheto","Confortin, Anna Carolina Cerato, Bremm, Carolina, Rocha, Marta Gomes da, Silva, José Henrique Souza da, Elejalde, Denise Adelaide Gomes, Camargo, Daniele Gindri, Rosa, Aline Tatiane Nunes da","Ciência Rural; 40(12); 2555-2561","Ciência Rural","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782010001200019&lang=pt" 
"S0103-84782010001200013-scl","Grau de desmineralização em osso trabecular e cortical por meio de tomografia computadorizada quantitativa em cães submetidos à terapia com prednisona","Costa, Lorena Adão Vescovi Séllos, Oliveira, Daniel Capucho de, Gianotti, Juliana Giorgio, Cardoso, Mauro Lahm, Costa, Fabiano Séllos","Ciência Rural; 40(12); 2515-2520","Ciência Rural","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782010001200013&lang=pt" 
"S0103-84782010001200020-scl","O extrato de maracujá sobre a morfometria de hepatócitos da tilápia do Nilo","Oliveira, Ricardo Henrique Franco de, Silva, Elyara Maria Pereira-da, Bueno, Rachel Santos, Barone, Adriana Aparecida Cuel","Ciência Rural; 40(12); 2562-2567","Ciência Rural","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782010001200020&lang=pt" 
"S0103-84782010001200008-scl","Atributos físicos e químicos do solo de Áreas sob Pastejo na Micro Região do Brejo Paraibano","Santos, Jussara Telma dos, Andrade, Albericio Pereira de, Silva, Ivandro de França da, Silva, Divan Soares da, Santos, Edson Mauro, Silva, Ana Paula Gomes da","Ciência Rural; 40(12); 2486-2492","Ciência Rural","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782010001200008&lang=pt" 
"S0103-84782010001200018-scl","Recria de bezerras de corte em pastagem de azevém sob frequências de suplementação","Rosa, Aline Tatiane Nunes da, Rocha, Marta Gomes da, Potter, Luciana, Roso, Dalton, Costa, Vagner Guasso da, Ribeiro, Laila Arruda, Sichonany, Maria José de Oliveira","Ciência Rural; 40(12); 2549-2554","Ciência Rural","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782010001200018&lang=pt" 
"S0103-84782010001200002-scl","Número de repetições para avaliação de caracteres de produção, fenologia e morfologia de cultivares de feijão","Cargnelutti Filho, Alberto, Ribeiro, Nerinéia Dalfollo","Ciência Rural; 40(12); 2446-2453","Ciência Rural","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782010001200002&lang=pt" 
"S0103-84782010001200009-scl","Delimitação de sítios ambientais homogêneos no Estado do Espírito Santo, com base no relevo, solo e clima","Rody, Yhasmin Paiva, Almeida, André Quintão de, Ribeiro, Aristides, Sediyama, Gilberto Chohaku, Pezzopane, José Eduardo Macedo","Ciência Rural; 40(12); 2493-2498","Ciência Rural","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782010001200009&lang=pt" 
"S0102-311X2010001200016-scl","Validação de indicadores do consumo de alimentos e bebidas obtidos por inquérito telefônico em Belém, Pará, Brasil","Neves, Alice Cristina Medeiros das, Gonzaga, Lidyane Andrea Amaral, Martens, Irland Barroncas Gonzaga, Moura, Erly Catarina","Cadernos de Saúde Pública; 26(12); 2379-2388","Cadernos de Saúde Pública","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2010001200016&lang=pt" 
"S0102-311X2010001200017-scl","Fatores associados à não-adesão ao tratamento com anti-hipertensivos em pessoas atendidas em unidades de saúde da família","Santa-Helena, Ernani Tiaraju de, Nemes, Maria Ines Battistella, Eluf Neto, José","Cadernos de Saúde Pública; 26(12); 2389-2398","Cadernos de Saúde Pública","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2010001200017&lang=pt" 
"S0102-311X2010001200018-scl","Cervical cancer mortality trends in Brazil, 1981-2006","Silva, Gulnar Azevedo e, Girianelli, Vania Reis, Gamarra, Carmen Justina, Bustamante-Teixeira, Maria Teresa","Cadernos de Saúde Pública; 26(12); 2399-2407","Cadernos de Saúde Pública","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2010001200018&lang=pt" 
