"S0101-20612010000300006-scl","Secagem de bananas prata e d&#039;água por convecção forçada","Borges, Soraia Vilela, Mancini, Maurício Cordeiro, Corrêa, Jefferson Luiz Gomes, Leite, Julia","Food Science and Technology (Campinas); 30(3); 605-612","Food Science and Technology (Campinas)","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000300006&lang=pt" 
"S0101-20612010000300008-scl","Investigação da qualidade de farinhas enriquecidas utilizando Análise por Componentes Principais (PCA)","Soeiro, Bruno Thiago, Boen, Thaís Rezende, Pereira-Filho, Edenir Rodrigues, Lima-Pallone, Juliana Azevedo","Food Science and Technology (Campinas); 30(3); 618-624","Food Science and Technology (Campinas)","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000300008&lang=pt" 
"S0101-20612010000300009-scl","Qualidade de produto minimamente processado à base de abóbora, cenoura, chuchu e mandioquinha-salsa","Alves, Juliana Alvarenga, Vilas Boas, Eduardo Valério de Barros, Vilas Boas, Brígida Monteiro, Souza, Éllen Cristina de","Food Science and Technology (Campinas); 30(3); 625-634","Food Science and Technology (Campinas)","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000300009&lang=pt" 
"S0101-20612010000300010-scl","Avaliação da metodologia microbiológica para determinação de 5-metiltetrahidrofolato em suco de caju (Anacardium occidentale L.)","Sancho, Soraya de Oliveira, Maia, Geraldo Arraes, Figueiredo, Raimundo Wilane de, Rodrigues, Sueli, Rabelo, Maria Cristiane","Food Science and Technology (Campinas); 30(3); 635-640","Food Science and Technology (Campinas)","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000300010&lang=pt" 
"S0101-20612010000300012-scl","Conhecimento e atitudes sobre alimentos irradiados de nutricionistas que atuam na docência","Silva, Kelly Daiane, Braga, Vilma de Oliveira, Quintaes, Késia Diego, Haj-Isa, Niurka Maritza Almeyda, Nascimento, Eloísa Santos","Food Science and Technology (Campinas); 30(3); 645-651","Food Science and Technology (Campinas)","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000300012&lang=pt" 
"S0101-20612010000300014-scl","Avaliação bioquímico-nutricional de uma linhagem de soja livre do inibidor de tripsina Kunitz e de lectinas","Brune, Maria Fernanda Spegiorin Salla, Pinto, Marcos de Oliveira, Peluzio, Maria do Carmo Gouveia, Moreira, Maurílio Alves, Barros, Everaldo Gonçalves de","Food Science and Technology (Campinas); 30(3); 657-663","Food Science and Technology (Campinas)","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000300014&lang=pt" 
"S0101-20612010000300015-scl","Processamento e estudo da estabilidade de pasta de pequi (Caryocar brasiliense)","Arévalo-Pinedo, Aroldo, Maciel, Vinicius Borges Vieira, Carvalho, Kallyana Moraes, Coelho, Ana Flavia Santos, Giraldo-Zuñiga, Abraham Damian, Arévalo, Zilda Doratiotto de Salles, Alvim, Tarso da Costa","Food Science and Technology (Campinas); 30(3); 664-668","Food Science and Technology (Campinas)","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000300015&lang=pt" 
"S0101-20612010000300017-scl","Reflexos da utilização de farelo de coco sobre o valor nutricional do filé de tilápia-do-nilo (Oreochromis niloticus Linnaeus, 1857)","Omena, Cristhiane Maria Bazílio de, Menezes, Maria Emília da Silva, Carvalho, Cenira Monteiro de, Silva, Jaqueline Maria da, Oliveira, Maria Beatriz Farias de, Miranda, Edma Carvalho de, Pinheiro, Denise Maria, Alencar, Severino Matias de, Sant&#039;Ana, Antônio Euzébio Goulart","Food Science and Technology (Campinas); 30(3); 674-679","Food Science and Technology (Campinas)","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000300017&lang=pt" 
"S0101-20612010000300018-scl","Avaliação da atividade antifúngica de extratos fenólicos de cebola, farelo de arroz e microalga Chlorella phyrenoidosa","Souza, Michele Moraes de, Oliveira, Melissa dos Santos, Rocha, Meritaine da, Furlong, Eliana Badiale","Food Science and Technology (Campinas); 30(3); 680-685","Food Science and Technology (Campinas)","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000300018&lang=pt" 
"S0101-20612010000300019-scl","Efeito da concentração de fibra e parâmetros operacionais de extrusão sobre as propriedades de pasta de misturas de fécula de mandioca e polpa cítrica","Souza, Luciana Bronzi de, Leonel, Magali","Food Science and Technology (Campinas); 30(3); 686-692","Food Science and Technology (Campinas)","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000300019&lang=pt" 
"S0101-20612010000300020-scl","Desenvolvimento de misturas instantâneas de mandioca e caseína: efeito do teor de proteína e parâmetros de extrusão sobre a viscosidade","Lustosa, Beatriz Helena Borges, Leonel, Magali","Food Science and Technology (Campinas); 30(3); 693-699","Food Science and Technology (Campinas)","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000300020&lang=pt" 
