"S0104-12902010000300012-scl","A visita domiciliária na Estratégia de Saúde da Família: conhecendo as percepções das famílias","Cruz, Mariene Mirian, Bourget, Monique Marie Marthe","Saúde e Sociedade; 19(3); 605-613","Saúde e Sociedade","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902010000300012&lang=pt" 
"S0104-12902010000300014-scl","Diferenças na adesão ao tratamento da tuberculose em relação ao sexo no distrito de saúde da Freguesia do Ó/Brasilândia - São Paulo","Queiroz, Raquel, Nogueira, Péricles Alves","Saúde e Sociedade; 19(3); 627-637","Saúde e Sociedade","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902010000300014&lang=pt" 
"S0104-12902010000300015-scl","Gestão em rede do SUS e a nova política de produção de medicamentos","Trevisan, Leonardo, Junqueira, Luciano A. Prates","Saúde e Sociedade; 19(3); 638-652","Saúde e Sociedade","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902010000300015&lang=pt" 
"S0104-12902010000300016-scl","Estoque domiciliar de medicamentos na comunidade ibiaense acompanhada pelo Programa Saúde da Família, em Ibiá-MG, Brasil","Ribeiro, Maria Ângela, Heineck, Isabela","Saúde e Sociedade; 19(3); 653-663","Saúde e Sociedade","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902010000300016&lang=pt" 
"S0104-12902010000300017-scl","A construção dos prontuários como expressão da prática dos profissionais de saúde","Mesquita, Ana Maria Otoni, Deslandes, Suely Ferreira","Saúde e Sociedade; 19(3); 664-673","Saúde e Sociedade","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902010000300017&lang=pt" 
"S0104-12902010000300018-scl","Hábitos relacionados ao descarte pós-consumo de aparelhos e baterias de telefones celulares em uma comunidade acadêmica","Giaretta, Juliana Barbosa Zuquer, Tanigushi, Daniel Gouveia, Sergent, Marcela Tashiro, Vasconcellos, Maria da Penha, Günther, Wanda Maria Risso","Saúde e Sociedade; 19(3); 674-684","Saúde e Sociedade","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902010000300018&lang=pt" 
"S0104-12902010000300020-scl","Tradução e adaptação brasileira do Parental-Caregiver Perceptions Questionnaire (P-CPQ)","Barbosa, Taís de Souza, Steiner-Oliveira, Carolina, Gavião, Maria Beatriz Duarte","Saúde e Sociedade; 19(3); 698-708","Saúde e Sociedade","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902010000300020&lang=pt" 
"S0104-12902010000300021-scl","A Estratégia Saúde da Família para a equidade de acesso dirigida à população em situação de rua em grandes centros urbanos","Carneiro Junior, Nivaldo, Jesus, Christiane Herold de, Crevelim, Maria Angélica","Saúde e Sociedade; 19(3); 709-716","Saúde e Sociedade","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902010000300021&lang=pt" 
"S0104-12902010000300022-scl","Atenção Farmacêutica em Goiânia: inserção do farmacêutico na Estratégia Saúde da Família","Provin, Mércia Pandolfo, Campos, Andréa de Paula, Nielson, Sylvia Escher de Oliveira, Amaral, Rita Goreti","Saúde e Sociedade; 19(3); 717-724","Saúde e Sociedade","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902010000300022&lang=pt" 
"S0104-07072010000300002-scl","Percepção de mulheres em situação de violência sobre o suporte e apoio recebido em seu contexto social","Santi, Liliane Nascimento de, Nakano, Ana Márcia Spanó, Lettiere, Angelina","Texto &amp; Contexto - Enfermagem; 19(3); 417-424","Texto &amp; Contexto - Enfermagem","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072010000300002&lang=pt" 
"S0104-07072010000300003-scl","Criança em idade escolar hospitalizada: significado da condição crônica","Nóbrega, Rosenmylde Duarte da, Collet, Neusa, Gomes, Isabelle Pimentel, Holanda, Eliane Rolim de, Araújo, Yana Balduíno de","Texto &amp; Contexto - Enfermagem; 19(3); 425-433","Texto &amp; Contexto - Enfermagem","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072010000300003&lang=pt" 
"S0104-07072010000300004-scl","Qualidade de vida dos enfermeiros das equipes de saúde da família: a relação das variáveis sociodemográficas","Fernandes, Janielle Silva, Miranzi, Sybelle de Souza Castro, Iwamoto, Helena Hemiko, Tavares, Darlene Mara dos Santos, Santos, Claudia Benedita dos","Texto &amp; Contexto - Enfermagem; 19(3); 434-442","Texto &amp; Contexto - Enfermagem","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072010000300004&lang=pt" 
"S0104-07072010000300005-scl","Vivências cotidianas de adolescentes com diabetes mellitus tipo 1","Fragoso, Luciana Vládia Carvalhêdo, Araújo, Márcio Flávio Moura de, Lima, Ana Karine Girão, Freitas, Roberto Wagner Júnior Freire de, Damasceno, Marta Maria Coelho","Texto &amp; Contexto - Enfermagem; 19(3); 443-451","Texto &amp; Contexto - Enfermagem","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072010000300005&lang=pt" 
"S0104-07072010000300007-scl","Análise do conceito de promoção da saúde","Lopes, Maria do Socorro Vieira, Saraiva, Klívia Regina de Oliveira, Fernandes, Ana Fátima Carvalho, Ximenes, Lorena Barbosa","Texto &amp; Contexto - Enfermagem; 19(3); 461-468","Texto &amp; Contexto - Enfermagem","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072010000300007&lang=pt" 
"S0104-07072010000300008-scl","O hospital infantil como marco no atendimento ao recém-nascido de risco em Santa Catarina (1987-2009)","Costa, Roberta, Padilha, Maria Itayra","Texto &amp; Contexto - Enfermagem; 19(3); 469-478","Texto &amp; Contexto - Enfermagem","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072010000300008&lang=pt" 
"S0104-07072010000300009-scl","Uso de tabaco entre estudantes do ensino técnico de enfermagem","Serradilha, Antonia de Fátima Zanchetta, Ruiz-Moreno, Lidia, Seiffert, Otília Maria Lúcia Barbosa","Texto &amp; Contexto - Enfermagem; 19(3); 479-487","Texto &amp; Contexto - Enfermagem","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072010000300009&lang=pt" 
"S0104-07072010000300010-scl","Enfermeiros de unidades de hemodinâmica do Rio Grande do Sul: perfil e satisfação profissional","Linch, Graciele Fernanda da Costa, Guido, Laura de Azevedo, Fantin, Simone de Souza","Texto &amp; Contexto - Enfermagem; 19(3); 488-495","Texto &amp; Contexto - Enfermagem","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072010000300010&lang=pt" 
"S0104-07072010000300011-scl","Significados do feminino no discurso de alcoolistas e a interface com a saúde mental","Lima, Helder de Pádua, Braga, Violante Augusta Batista, Carvalho, Luciana Vieira de, Morais, Ana Caroline de Oliveira","Texto &amp; Contexto - Enfermagem; 19(3); 496-503","Texto &amp; Contexto - Enfermagem","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072010000300011&lang=pt" 
"S0104-07072010000300012-scl","Cuidadores e estratégias no cuidado ao doente na internação domiciliar","Brondani, Cecília Maria, Beuter, Margrid, Alvim, Neide Aparecida Titonelli, Szareski, Charline, Rocha, Lucimara Sonaglio","Texto &amp; Contexto - Enfermagem; 19(3); 504-510","Texto &amp; Contexto - Enfermagem","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072010000300012&lang=pt" 
"S0104-07072010000300013-scl","Significados que os profissionais de enfermagem atribuem ao cuidado de crianças institucionalizadas com aids","Freitas, Hilda Maria Barbosa de, Backes, Dirce Stein, Pereira, Adriana Dall&#039; Asta, Ferreira, Carla Lizandra de Lima, Marchiori, Mara Regina Caino, Souza, Martha H. Teixeira de, Erdmann, Alacoque Lorenzini","Texto &amp; Contexto - Enfermagem; 19(3); 511-517","Texto &amp; Contexto - Enfermagem","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072010000300013&lang=pt" 
"S0104-07072010000300014-scl","Mulher no período pós-reprodutivo e hiv/aids: percepção e ações segundo o modelo de crenças em saúde","Praça, Neide de Souza, Souza, Joyce de Oliveira, Rodrigues, Daniela Angelo de Lima","Texto &amp; Contexto - Enfermagem; 19(3); 518-525","Texto &amp; Contexto - Enfermagem","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072010000300014&lang=pt" 
"S0104-07072010000300015-scl","Implantação da reforma psiquiátrica no município de volta redonda: implicações para a enfermagem","Moraes, Ana Emília Cardoso, Almeida Filho, Antonio José de, Santos, Tânia Cristina Franco, Peres, Maria Angélica de Almeida, Souza, Maria Cristina Frères de, Oliveira, Alexandre Barbosa de","Texto &amp; Contexto - Enfermagem; 19(3); 526-535","Texto &amp; Contexto - Enfermagem","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072010000300015&lang=pt" 
"S0104-07072010000300016-scl","Adesão e reações de usuários ao tratamento da malária: implicações para a educação em saúde","Reiners, Annelita Almeida Oliveira, Azevedo, Rosemeiry Capriata de Souza, Ricci, Hebert Almeida, Souza, Taísa Guimarães de","Texto &amp; Contexto - Enfermagem; 19(3); 536-544","Texto &amp; Contexto - Enfermagem","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072010000300016&lang=pt" 
"S0104-07072010000300017-scl","O comportamento de prostitutas em tempos de aids e outras doenças sexualmente transmissíveis: como estão se prevenindo?","Moura, Ana Débora Assis, Oliveira, Rodisheily Maria Silva de, Lima, Guldemar Gomes de, Farias, Leiliane Martins, Feitoza, Aline Rodrigues","Texto &amp; Contexto - Enfermagem; 19(3); 545-553","Texto &amp; Contexto - Enfermagem","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072010000300017&lang=pt" 
"S0104-07072010000300018-scl","Práticas educativas em saúde e a constituição de sujeitos ativos","Renovato, Rogério Dias, Bagnato, Maria Helena Salgado","Texto &amp; Contexto - Enfermagem; 19(3); 554-562","Texto &amp; Contexto - Enfermagem","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072010000300018&lang=pt" 
