"S0036-46652010000300006-scl","Unusual morphologies of Cryptococcus spp. in tissue specimens: report of 10 cases","Gazzoni, Alexandra Flávia, Oliveira, Flávio de Mattos, Salles, Emily Ferreira, Mayayo, Emilio, Guarro, Josep, Capilla, Javier, Severo, Luiz Carlos","Revista do Instituto de Medicina Tropical de São Paulo; 52(3); 145-149","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652010000300006&lang=pt" 
"S1561-31942010000200001-cub","EDITORIAL","Ramírez Acosta, Taimara","Revista de Ciencias Médicas de Pinar del Río; 14(2); 78-79","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942010000200001&lang=pt" 
"S0103-97332010000200014-scl","Structural studies of liquid alkaline-earth metals: A molecular dynamics approach","Baria, J. K., Janib, A. R.","Brazilian Journal of Physics; 40(2); 204-209","Brazilian Journal of Physics","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332010000200014&lang=pt" 
"S0103-97332010000200001-scl","Construction and experimental study of a 2.5kJ, simply configured, mather type plasma focus device","Shirani, B., Abbasi, F.","Brazilian Journal of Physics; 40(2); 125-130","Brazilian Journal of Physics","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332010000200001&lang=pt" 
"S0103-97332010000200002-scl","Controlling nonholonomic Chaplygin systems","Antunes, Antonio Carlos Baptista, Sigaud, Cássio, Moraes, Pedro Claudio Guaranho de","Brazilian Journal of Physics; 40(2); 131-140","Brazilian Journal of Physics","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332010000200002&lang=pt" 
"S0103-97332010000200003-scl","Power and efficiency performances of a micro thermal Brownian heat engine with and without external forces","Ding, Zemin, Chen, Lingen, Sun, Fengrui","Brazilian Journal of Physics; 40(2); 141-149","Brazilian Journal of Physics","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332010000200003&lang=pt" 
"S0103-97332010000200004-scl","Domain wall, stiff matter and ultra-relativistic particles from a generalized double-component dark energy model","Rami, El-Nabulsi Ahmad","Brazilian Journal of Physics; 40(2); 150-154","Brazilian Journal of Physics","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332010000200004&lang=pt" 
"S0103-97332010000200005-scl","10-dimensional cosmology with Gauss-Bonnet gravity in generalized scalar-tensor theories from superstring theories","Rami, El-Nabulsi Ahmad","Brazilian Journal of Physics; 40(2); 155-159","Brazilian Journal of Physics","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332010000200005&lang=pt" 
"S0103-97332010000200011-scl","Vacuum energies and multipole interactions","Barone, F.A., Flores-Hidalgo, G.","Brazilian Journal of Physics; 40(2); 188-194","Brazilian Journal of Physics","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332010000200011&lang=pt" 
"S0103-97332010000200010-scl","Dynamic radiation force of acoustic waves on absorbing spheres","Silva, Glauber T.","Brazilian Journal of Physics; 40(2); 184-187","Brazilian Journal of Physics","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332010000200010&lang=pt" 
"S0103-97332010000200009-scl","Contribution of adiabatic phases to noncyclic evolution","Thomaz, M.T., Aguiar Pinto, A.C., Moutinho, M.","Brazilian Journal of Physics; 40(2); 180-183","Brazilian Journal of Physics","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332010000200009&lang=pt" 
