"S0717-554X2016000100004-chl","La sociología sin método: la raíz hegeliana del pensamiento de Luhmann","Casanova, Mauricio","Cinta de moebio; (55); 47-65","Cinta de moebio","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-554X2016000100004&lang=pt" 
"S0100-83582016000100191-scl","Physiological and Genetic Bases of the Circadian Clock in Plants and Their Relationship with Herbicides Efficacy","DALAZEN, G., MEROTTO JR., A.","Planta Daninha; 34(1); 191-198","Planta Daninha","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-83582016000100191&lang=pt" 
"S1982-21702016000100054-scl","MODELAGEM DO ERRO DEVIDO À ILUMINAÇÃO AMBIENTE NAS MEDIÇÕES OBTIDAS COM CÂMERA DE DISTÂNCIA","Silva, Felipe Martins Marques da, Centeno, Jorge Antonio Silva","Boletim de Ciências Geodésicas; 22(1); 54-72","Boletim de Ciências Geodésicas","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-21702016000100054&lang=pt" 
"S0004-28032016000100031-scl","REDUCED HAND GRIP STRENGTH IN OVERWEIGHT AND OBESE CHRONIC HEPATITIS C PATIENTS","BRUCH, Juliana Paula, ÁLVARES-DA-SILVA, Mário Reis, ALVES, Bruna Cherubini, DALL&#039;ALBA, Valesca","Arquivos de Gastroenterologia; 53(1); 31-35","Arquivos de Gastroenterologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032016000100031&lang=pt" 
"S1982-21702016000100157-scl","AVALIAÇÃO DA ACURÁCIA POSICIONAL PLANIMÉTRICA EM MODELOS DIGITAIS DE SUPERFÍCIE COM O USO DE FEIÇÕES LINEARES","Santos, Afonso de Paula dos, Medeiros, Nilcilene das Graças, Santos, Gérson Rodrigues dos, Rodrigues, Dalto Domingos","Boletim de Ciências Geodésicas; 22(1); 157-174","Boletim de Ciências Geodésicas","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-21702016000100157&lang=pt" 
"S1982-21702016000100035-scl","DEFORMATION MONITORING OF LARGE STRUCTURES BY GROUND-BASED SAR INTERFEROMETRY","Qiu, Zhiwei, Yue, Jianping, Wang, Xueqin, Yue, Shun","Boletim de Ciências Geodésicas; 22(1); 35-53","Boletim de Ciências Geodésicas","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-21702016000100035&lang=pt" 
"S0004-28032016000100020-scl","DEPRESSIVE EPISODE INCIDENCE IN PATIENTS WITH CHRONIC HEPATITIS C TREATED WITH PEGYLATED INTERFERON AND RIBAVIRIN","VABO, Izabella Liguori Corsino, FERREIRA, Lincoln Eduardo Villela Vieira de Castro, PACE, Fábio Heleno Lima","Arquivos de Gastroenterologia; 53(1); 20-24","Arquivos de Gastroenterologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032016000100020&lang=pt" 
"S0100-83582016000100065-scl","Weed Phytosociological and Floristic Survey in Agricultural Areas of Southwestern Goiás Region","W.F., SANTOS, S.O., PROCÓPIO, A.G., SILVA, M.F., FERNANDES, A.L.L., BARROSO","Planta Daninha; 34(1); 65-80","Planta Daninha","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-83582016000100065&lang=pt" 
"S1982-21702016000100132-scl","UM MÉTODO ADAPTATIVO PARA REGISTRO DE DADOS RGB-D","Basso, Marcos Aurélio, Santos, Daniel Rodrigues dos, Oliveira Junior, Elizeu Martins de, Khoshelham, Kourosh","Boletim de Ciências Geodésicas; 22(1); 132-156","Boletim de Ciências Geodésicas","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-21702016000100132&lang=pt" 
"S0100-83582016000100117-scl","Effectiveness of Diquat, Copper Hydroxide, Copper Oxychloride and their Association in Control of Submerged Macrophytes Ceratophyllum demersum","GARLICH, N., CRUZ, C., SILVA, A.F., MALASPINA, I.C., FERREIRA, R.G., TEDESQUE, M.G., PITELLI, R.A., BIANCO, S.","Planta Daninha; 34(1); 117-123","Planta Daninha","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-83582016000100117&lang=pt" 
"S0100-83582016000100001-scl","Changes in Photosynthesis and Oxidative Stress in Wheat Plants Submmited to Herbicides Application","AGOSTINETTO, D., PERBONI, L.T., LANGARO, A.C., GOMES, J., FRAGA, D.S., FRANCO, J.J.","Planta Daninha; 34(1); 1-9","Planta Daninha","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-83582016000100001&lang=pt" 
