"S2007-11322010000100002-mex","La verdadera cosecha maderable en México","Caballero Deloya, Miguel","Revista mexicana de ciencias forestales; 1(1); 6-16","Revista mexicana de ciencias forestales","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11322010000100002&lang=pt" 
"S2007-11322010000100003-mex","Planificación de sistemas de áreas verdes y parques públicos","Flores-Xolocotzi, Ramiro, González-Guillén, Manuel de Jesús","Revista mexicana de ciencias forestales; 1(1); 17-24","Revista mexicana de ciencias forestales","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11322010000100003&lang=pt" 
"S2007-11322010000100001-mex","Editorial","Mallén Rivera, Carlos","Revista mexicana de ciencias forestales; 1(1); 3-4","Revista mexicana de ciencias forestales","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11322010000100001&lang=pt" 
"S2007-11322010000100006-mex","Crecimiento en volumen y estado nutricional de Eucalyptus globulus Labill y Pinus radiata D. Don en Asturias, España","Khouri, Elias Afif, Canga Líbano, Elena, Oliveira Prendes, José Alberto, Gorgoso Varela, José Javier, Cámara Obregón, María Asunción","Revista mexicana de ciencias forestales; 1(1); 47-54","Revista mexicana de ciencias forestales","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11322010000100006&lang=pt" 
"S2007-11322010000100007-mex","Factores de expansión de biomasa en comunidades forestales templadas del norte de Durango, México","Silva-Arredondo, Flor María, Návar-Cháidez, José de Jesús","Revista mexicana de ciencias forestales; 1(1); 55-62","Revista mexicana de ciencias forestales","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11322010000100007&lang=pt" 
"S2007-11322010000100004-mex","Precipitación y gasto reconstruido en la cuenca baja del río Nazas","Villanueva Díaz, José, Cerano Paredes, Julián, Estrada Ávalos, Juan, Morán Martínez, Roque, Constante García, Vicenta","Revista mexicana de ciencias forestales; 1(1); 25-37","Revista mexicana de ciencias forestales","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11322010000100004&lang=pt" 
"S2007-11322010000100005-mex","Impacto de tierra de diatomeas sobre Arceuthobium globosum Hawksworth &amp; Wiens subsp. grandicaule en Pinus pseudostrobus Lindl.","Coria Ávalos, Víctor Manuel, Vázquez Collazo, Ignacio, Muñoz Flores, Hipólito Jesús, Villa Castillo, Jaime","Revista mexicana de ciencias forestales; 1(1); 39-46","Revista mexicana de ciencias forestales","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11322010000100005&lang=pt" 
"S2007-11322010000100008-mex","Reconstrucción de incendios y su relación con el clima para la reserva Cerro el Mohinora, Chihuahua","Cerano Paredes, Julián, Villanueva Díaz, José, Fulé, Peter Z.","Revista mexicana de ciencias forestales; 1(1); 63-74","Revista mexicana de ciencias forestales","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11322010000100008&lang=pt" 
"S2007-11322010000100009-mex","Seasonal dynamics of total soluble proteins in adult trees of Quercus petraea (Matts.) Liebl. and Fagus sylvatica L.","Valenzuela Nuñez, Luis Manuel, Gérant, Dominique, Maillard, Pascale, Bréda, Nathalie","Revista mexicana de ciencias forestales; 1(1); 75-83","Revista mexicana de ciencias forestales","Inglês","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11322010000100009&lang=pt" 
"S2007-11322010000100011-mex","Modelos predictivos de la producción de hongos silvestres comestibles en bosques de coníferas, Tlaxcala, México","Velasco Bautista, Efraín, Zamora-Martínez, Marisela C., Pola, Cecilia Nieto de Pascual, Martínez-Valdez, Jesús Iroel, Montoya, Adriana","Revista mexicana de ciencias forestales; 1(1); 95-104","Revista mexicana de ciencias forestales","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11322010000100011&lang=pt" 
"S2007-11322010000100010-mex","Caracterización molecular y producción de aceites esenciales de diferentes genotipos de orégano (Lippia sp.)","Cazares Alonso, Norma Patricia, Villavicencio Gutiérrez, Eulalia Edith, Verde Star, Julia, Pecina Quintero, Víctor, Almeyda León, Isidro Humberto","Revista mexicana de ciencias forestales; 1(1); 85-94","Revista mexicana de ciencias forestales","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11322010000100010&lang=pt" 
