"S0717-95022016000100050-chl","Respuesta Tisular en Defectos Tratados con Matriz Ósea de Origen Bovino o Humano","Rodriguez, R, Olate, S, Pozzer, L, Cantín, M, Albergaria-Barbosa, J. R","International Journal of Morphology; 34(1); 351-355","International Journal of Morphology","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000100050&lang=pt" 
"S0717-95022016000100011-chl","Maternal Malnutrition Diet During Lactation Period Leads to Incomplete Catch-Up Growth in Femur of the Pups at Adulthood","Babinski, Monique S. D, Ramos, Cristiane F, Fernandes, Rodrigo M. P, Cardoso, Gilberto P, Babinski, Marcio A","International Journal of Morphology; 34(1); 71-77","International Journal of Morphology","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000100011&lang=pt" 
"S0717-95022016000100008-chl","Methodological Agreement between Body-Composition Methods in Young Soccer Players Stratified by Zinc Plasma Levels","de Oliveira-Junior, Astrogildo Vianna, Casimiro-Lopes, Gustavo, Donangelo, Carmem Marino, Koury, Josely Correa, Farinatti, Paulo de Tarso Veras, Massuça, Luís, Fragoso, Isabel","International Journal of Morphology; 34(1); 49-56","International Journal of Morphology","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000100008&lang=pt" 
"S0717-95022016000100041-chl","Alteraciones Motoras Esofágicas en Pacientes con Síndrome de Sjögren: Estudio de Casos y Controles","Manterola, Carlos, Otzen, Tamara","International Journal of Morphology; 34(1); 285-290","International Journal of Morphology","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000100041&lang=pt" 
"S0717-95022016000100012-chl","Instructions for Using the MInCir Scale to Assess Methodological Quality in Diagnostic Accuracy Studies","Manterola, Carlos, Cartes-Velasquez, Ricardo, Otzen, Tamara","International Journal of Morphology; 34(1); 78-84","International Journal of Morphology","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000100012&lang=pt" 
"S1413-81232016000300789-scl","Lideranças comunitárias e o cuidado com a saúde, o meio ambiente e o saneamento nas áreas de vulnerabilidade social","Juliano, Ester Feche Guimarães de Arruda, Malheiros, Tadeu Fabrício, Marques, Rui Cunha","Ciência &amp; Saúde Coletiva; 21(3); 789-796","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000300789&lang=pt" 
"S0001-60022016000100001-cri","Mortalidad y egresos hospitalarios por enfermedad renal crónica compatibles con enfermedad crónica de causas no tradicionales, Costa Rica","Rivera-Chavarría, Ana, Méndez-Chacón, Ericka","Acta Médica Costarricense; 58(1); 1-14","Acta Médica Costarricense","Espanhol","2016","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0001-60022016000100001&lang=pt" 
"S0001-60022016000100015-cri","Epidemiología de la candidemia en el Hospital México","Villalobos-Vindas, Juan Manuel, Castro-Cordero, José Antonio, Avilés-Montoya, Álvaro, Peláez-Gil, María Claudia, Somogyi-Pérez, Teresita, Sandoval-Carpio, Lilliana","Acta Médica Costarricense; 58(1); 15-21","Acta Médica Costarricense","Espanhol","2016","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0001-60022016000100015&lang=pt" 
"S0001-60022016000100027-cri","Análisis de causas de reingreso en pacientes histerectomizadas","Vargas-Lejarza, Sandra, Villagra-Blanco, Vivian","Acta Médica Costarricense; 58(1); 27-31","Acta Médica Costarricense","Espanhol","2016","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0001-60022016000100027&lang=pt" 
"S1413-81232016000300843-scl","Entre fluxos e projetos terapêuticos: revisitando as noções de linha do cuidado em saúde e itinerários terapêuticos","Silva, Neide Emy Kurokawa e, Sancho, Leyla Gomes, Figueiredo, Wagner dos Santos","Ciência &amp; Saúde Coletiva; 21(3); 843-852","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000300843&lang=pt" 
"S1413-81232016000300661-spa","The human right to water and sanitation: a new perspective for public policies","Brown, Colin, Neves-Silva, Priscila, Heller, Léo","Ciência &amp; Saúde Coletiva; 21(3); 661-670","Ciência &amp; Saúde Coletiva","Inglês","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000300661&lang=pt" 
