"S0187-73802016000100001-mex","Editorial. Un nuevo tipo de letra en la RFM","González Hernández, Víctor A.","Revista fitotecnia mexicana; 39(1); -3","Revista fitotecnia mexicana","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-73802016000100001&lang=pt" 
"S0187-73802016000100002-mex","Homenaje Póstumo: Dr. José D. Molina Galán (1932-2016)","Peña Lomelí, Aureliano, Lobato Ortiz, Ricardo","Revista fitotecnia mexicana; 39(1); 5-6","Revista fitotecnia mexicana","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-73802016000100002&lang=pt" 
"S0187-73802016000100014-mex","Guayalejo, variedad de Cártamo para la región de las huastecas","Valadez-Gutiérrez, Juan, Cervantes-Martínez, José E.","Revista fitotecnia mexicana; 39(1); 97-99","Revista fitotecnia mexicana","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-73802016000100014&lang=pt" 
"S0187-73802016000100003-mex","I Reunión Nacional de Zonas Áridas","Flores Ortiz, César M.","Revista fitotecnia mexicana; 39(1); 7-8","Revista fitotecnia mexicana","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-73802016000100003&lang=pt" 
"S0187-73802016000100015-mex","Azufrado bolita, nueva variedad de frijol para el estado de Jalisco, México","Lépiz-Ildefonso, Rogelio, López-Alcocer, José de J., González-Rivas, Carlos, Rodríguez-Guzmán, Eduardo","Revista fitotecnia mexicana; 39(1); 101-103","Revista fitotecnia mexicana","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-73802016000100015&lang=pt" 
"S0187-73802016000100007-mex","Fertilización nitrogenada en el crecimiento, contenido de compuestos fenólicos y actividad antioxidante de albahaca","Yépez-Hernández, Francisco-Javier, Ferrera-Cerrato, Ronald, Alarcón, Alejandro, Delgadillo-Martínez, Julián, Mendoza-López, Ma. Remedios, García-Barradas, Óscar","Revista fitotecnia mexicana; 39(1); 33-40","Revista fitotecnia mexicana","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-73802016000100007&lang=pt" 
"S0187-73802016000100013-mex","Distribución espacial, composición y estructura de un matorral en el noreste de México","Mora-Donjuán, Carlos A., Buendía-Rodríguez, Enrique, Rubio-Camacho, Ernesto A., Alanís-Rodríguez, Eduardo, Treviño-Garza, Eduardo J.","Revista fitotecnia mexicana; 39(1); 87-95","Revista fitotecnia mexicana","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-73802016000100013&lang=pt" 
"S1984-22012016000100007-scl","EL PAPEL DE LA DISTANCIA PSÍQUICA Y LA COMPLEJIDAD PARA EVALUARLA","Guzmán, Eliseo Emmanuel González, Vargas-Hernández, José G.","Mercator (Fortaleza); 15(1); 7-17","Mercator (Fortaleza)","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-22012016000100007&lang=pt" 
"S0718-560X2016000100022-chl","Immobilization of marine toxins on carboxylic acid modified surfaces","Bustos, Paulina, Gaete, Diana, Villalobos, Patricio, Conejeros, Pablo","Latin american journal of aquatic research; 44(1); 190-192","Latin american journal of aquatic research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2016000100022&lang=pt" 
"S0718-560X2016000100006-chl","Partial replacement of fishmeal with meat and bone meal and tuna byproducts meal in practical diets for juvenile spotted rose snapper Lutjanus guttatus","Hernández, Crisantema, González-Santos, Alan, Valverde-Romero, Martín, González-Rodríguez, Blanca, Domínguez-Jiménez, Patricia","Latin american journal of aquatic research; 44(1); 56-64","Latin american journal of aquatic research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2016000100006&lang=pt" 
"S0718-560X2016000100021-chl","Ocurrencia de una hembra preñada de tiburón mako Isurus oxyrinchus al noroeste de Cuba","Cabrera, Yureidy, Aguilar, Consuelo, González-Sansón, Gaspar, Márquez-Farías, Juan Fernando","Latin american journal of aquatic research; 44(1); 184-189","Latin american journal of aquatic research","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2016000100021&lang=pt" 
