"S0120-62302010000200013-col","Técnica robusta de marca de agua basada en normalización de imágenes","Hernández, Manuel Cedillo, Nakano Miyatake, Mariko, Pérez Meana, Héctor","Revista Facultad de Ingeniería Universidad de Antioquia; (52); 147-160","Revista Facultad de Ingeniería Universidad de Antioquia","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302010000200013&lang=pt" 
"S0120-62302010000200012-col","Comparación del método de líneas características y el método Petrov Galerkin en contracorriente para problemas de advección dominante","Galeano, Carlos Humberto, Garzón, Diego Alexander, Mantilla, Juan Miguel","Revista Facultad de Ingeniería Universidad de Antioquia; (52); 134-146","Revista Facultad de Ingeniería Universidad de Antioquia","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302010000200012&lang=pt" 
"S0120-62302010000200019-col","Improvement of the third harmonic based stator ground fault protection for high resistance grounded synchronous generators","Ruíz-Mondragón, Byron, Mora-Flórez, Juan, Pérez-Londoño, Sandra","Revista Facultad de Ingeniería Universidad de Antioquia; (52); 215-225","Revista Facultad de Ingeniería Universidad de Antioquia","Inglês","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302010000200019&lang=pt" 
"S0120-62302010000200018-col","Current control schemes for three-phase fourwire shunt active power filters: a comparative study","Petit Suárez, Johann, Amarís, Hortensia, Robles, Guillermo","Revista Facultad de Ingeniería Universidad de Antioquia; (52); 206-214","Revista Facultad de Ingeniería Universidad de Antioquia","Inglês","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302010000200018&lang=pt" 
"S0120-62302010000200002-col","Degree to which natural gas (NG) has replaced other energy sources in the Principality of Asturias (Spain)","Gutiérrez Trashorras, Antonio José, Xiberta Bernat, Jorge, Arana Hurtado, Robert","Revista Facultad de Ingeniería Universidad de Antioquia; (52); 19-28","Revista Facultad de Ingeniería Universidad de Antioquia","Inglês","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302010000200002&lang=pt" 
"S1516-14392010000100015-scl","Incorporation of europium III complex into nanoparticles and films obtained by the Sol-Gel methodology","Sousa, Faley Jean de, Lima, Gilberto Pansani Altino de, Ávila, Lílian Rodrigues, Ciuffi, Katia Jorge, Calefi, Paulo Sergio, Nassar, Eduardo José","Materials Research; 13(1); 71-75","Materials Research","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392010000100015&lang=pt" 
"S1516-14392010000100021-scl","Mechanical behavior of non veneered three unit fixed partial dentures of alumina-zirconia Under cyclic load in wet environment","Silva, Flavio Teixeira da, Andreiuolo, Rafael, Sabrosa, Carlos Eduardo","Materials Research; 13(1); 107-111","Materials Research","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392010000100021&lang=pt" 
"S1516-14392010000100017-scl","Post-irradiation vickers microhardness development of novel resin composites","Marghalani, Hanadi Yousif","Materials Research; 13(1); 81-87","Materials Research","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392010000100017&lang=pt" 
"S1516-14392010000100019-scl","Evaluation of blood compatibility of plasma deposited heparin-like films and SF6 plasma treated surfaces","Perrenoud, Ivanira Antunes, Rangel, Elidiane Cipriano, Mota, Rogério Pinto, Durrant, Steven Frederick, Cruz, Nilson Cristino da","Materials Research; 13(1); 95-98","Materials Research","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392010000100019&lang=pt" 
"S1516-14392010000100010-scl","Analysis of polymerization time on abrasive wear of dental resins","Bianchi, Eduardo Carlos, Ulhôa, Michele Paoline de Martins, Aguiar, Paulo Roberto, Freitas, César Antunes de, Gonçalves, Gilberto de Magalhães Bento","Materials Research; 13(1); 41-44","Materials Research","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392010000100010&lang=pt" 
"S1413-41522010000100004-scl","Influência dos constituintes do esgoto no colapso de um solo arenoso","Rodrigues, Roger Augusto, Molina Júnior, Vitor Eduardo, Lollo, José Augusto de","Engenharia Sanitaria e Ambiental; 15(1); 29-36","Engenharia Sanitaria e Ambiental","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522010000100004&lang=pt" 
"S0210-56912010000200009-esp","Bronconeumonitis por virus herpes simple en paciente con fallo respiratorio postoperatorio","García-Montesinos-De la Peña, M., Oteiza-López, L., Aldunate-Calvo, S., Gómez-Sánchez, M.J., Sáenz-Bañuelos, J.J., Tihista-Jiménez, J.A.","Medicina Intensiva; 34(2); 150-153","Medicina Intensiva","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-56912010000200009&lang=pt" 
"S0213-61632010000100006-esp","The impact a first episode of major depression has on marital dissatisfaction: Is remission associated with improvement in dissatisfaction?","Moyá, Jaime, Cano Prous, Adrián, Seva Fernández, Antonio, Alonso, Álvaro","The European Journal of Psychiatry; 24(1); 46-58","The European Journal of Psychiatry","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-61632010000100006&lang=pt" 
"S0210-56912010000200002-esp","Gripe A pandémica en una unidad de cuidados intensivos: experiencia en España y Latinoamérica (Grupo Español de Trabajo de Gripe A Grave/Sociedad Española de Medicina Intensiva, Crítica y Unidades Coronarias)","Rodríguez, A., Socías, L., Guerrero, J.E., Figueira, J.C., González, N., Maraví-Poma, E., Lorente, L., Martín, M., Albaya-Moreno, A., Algora-Weber, A., Vallés, J., León-Gil, C., Lisboa, T., Balasini, C., Villabón, M., Pérez-Padilla, R., Barahona, D., Rello, J.","Medicina Intensiva; 34(2); 87-94","Medicina Intensiva","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-56912010000200002&lang=pt" 
"S0210-56912010000200011-esp","Infrautilización del oseltamivir en España","Vergara Serrano, J.C.","Medicina Intensiva; 34(2); 155-155","Medicina Intensiva","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-56912010000200011&lang=pt" 
"S1519-38292010000100004-scl","Duração do aleitamento materno em menores de dois anos de idade em Itupeva, São Paulo, Brasil: há diferenças entre os grupos sociais?","Fujimori, Elizabeth, Minagawa, Áurea Tamami, Laurenti, Daniela, Montero, Rosali Maria Juliano Marcondes, Borges, Ana Luiza Vilela, Oliveira, Ida Maria Vianna de","Revista Brasileira de Saúde Materno Infantil; 10(1); 39-49","Revista Brasileira de Saúde Materno Infantil","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292010000100004&lang=pt" 
"S0001-37652010000100001-scl","Swelling and shrinking of porous materials: from colloid science to poromechanics","Murad, Marcio A.","Anais da Academia Brasileira de Ciências; 82(1); 1-2","Anais da Academia Brasileira de Ciências","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652010000100001&lang=pt" 
"S0001-37652010000100006-scl","Bridging molecular and continuous descriptions: the case of dynamics in clays","Dufrêche, Jean-François, Rotenberg, Benjamin, Marry, Virginie, Turq, Pierre","Anais da Academia Brasileira de Ciências; 82(1); 61-68","Anais da Academia Brasileira de Ciências","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652010000100006&lang=pt" 
"S0001-37652010000100008-scl","Dimeric and dipolar ground state orders in colloidal molecular crystals","Trizac, Emmanuel, El Shawish, Samir, Dobnikar, Jure","Anais da Academia Brasileira de Ciências; 82(1); 87-94","Anais da Academia Brasileira de Ciências","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652010000100008&lang=pt" 
"S0001-37652010000100011-scl","Multiphysical modelling of fluid transport through osteo-articular media","Lemaire, Thibault, Naili, Salah, Sansalone, Vittorio","Anais da Academia Brasileira de Ciências; 82(1); 127-144","Anais da Academia Brasileira de Ciências","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652010000100011&lang=pt" 
"S0001-37652010000100012-scl","Biaxial testing of canine annulus fibrosus tissue under changing salt concentrations","Huyghe, Jacques M.","Anais da Academia Brasileira de Ciências; 82(1); 145-151","Anais da Academia Brasileira de Ciências","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652010000100012&lang=pt" 
"S0001-37652010000100002-scl","Explicit and implicit modeling of nanobubbles in hydrophobic confinement","Dzubiella, Joachim","Anais da Academia Brasileira de Ciências; 82(1); 3-12","Anais da Academia Brasileira de Ciências","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652010000100002&lang=pt" 
"S0001-37652010000100003-scl","Estimating vertical and lateral pressures in periodically structured montmorillonite clay particles","Narsilio, Guillermo A., Smith, David W., Pivonka, Peter","Anais da Academia Brasileira de Ciências; 82(1); 13-24","Anais da Academia Brasileira de Ciências","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652010000100003&lang=pt" 
"S0001-37652010000100004-scl","Creep of a C-S-H gel: a micromechanical approach","Sanahuja, Julien, Dormieux, Luc","Anais da Academia Brasileira de Ciências; 82(1); 25-41","Anais da Academia Brasileira de Ciências","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652010000100004&lang=pt" 
"S0001-37652010000100005-scl","Towards the design of new and improved drilling fluid additives using molecular dynamics simulations","Anderson, Richard L., Greenwel, H. Christopher, Suter, James L., Jarvis, Rebecca M., Coveney, Peter V.","Anais da Academia Brasileira de Ciências; 82(1); 43-60","Anais da Academia Brasileira de Ciências","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652010000100005&lang=pt" 
"S0001-37652010000100007-scl","Steady electrodiffusion in hydrogel-colloid composites: macroscale properties from microscale electrokinetics","Hill, Reghan J.","Anais da Academia Brasileira de Ciências; 82(1); 69-86","Anais da Academia Brasileira de Ciências","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652010000100007&lang=pt" 
"S0001-37652010000100009-scl","Attraction between two similar particles in an electrolyte: effects of Stern layer absorption","Plouraboué, Franck, Chang, Hua-Chia","Anais da Academia Brasileira de Ciências; 82(1); 95-108","Anais da Academia Brasileira de Ciências","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652010000100009&lang=pt" 
"S0001-37652010000100015-scl","Incorporating electrokinetic effects in the porochemoelastic inclined wellbore formulation and solution","Nguyen, Vinh X., Abousleiman, Youname N.","Anais da Academia Brasileira de Ciências; 82(1); 195-222","Anais da Academia Brasileira de Ciências","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652010000100015&lang=pt" 
