"S0102-76382010000100001-scl","Tempo de renovação","Braile, Domingo M.","Brazilian Journal of Cardiovascular Surgery; 25(1); I-II","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382010000100001&lang=pt" 
"S0102-76382010000100011-scl","Comparison study of two different patient-controlled anesthesia regiments after cardiac surgery","Mota, Fabiane Almeida, Marcolan, João Fernando, Pereira, Mara Helena Corso, Milanez, Adriano Márcio de Melo, Dallan, Luis Alberto Oliveira, Diccini, Solange","Brazilian Journal of Cardiovascular Surgery; 25(1); 38-44","Brazilian Journal of Cardiovascular Surgery","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382010000100011&lang=pt" 
"S0102-76382010000100026-scl","Opção técnica para pinçamento coronariano temporário em cirurgia de revascularização do miocárdio sem circulação extracorpórea","Segalote, Rodrigo Coelho, Noronha, André Prado, Sá, Mauro Paes Leme de, Murad, Henrique","Brazilian Journal of Cardiovascular Surgery; 25(1); 124-125","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382010000100026&lang=pt" 
"S0102-76382010000100024-scl","Enxerto composto de artéria torácica interna esquerda e veia safena magna: estudo angiográfico após oito anos","Lobo Filho, José Glauco, Lobo Filho, Heraldo Guedis, Mesquita, Francisco José Cabral, Linhares Filho, Jaime Paula Pessoa","Brazilian Journal of Cardiovascular Surgery; 25(1); 118-121","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382010000100024&lang=pt" 
"S0102-76382010000100022-scl","Correção endovascular de persistência do conduto arterioso em paciente adulto","Pontes, José Carlos Dorsa Vieira, Silva, Guilherme Viotto Rodrigues da, Dias, Amaury Edgardo Mont&#039;Serrat Ávila Souza, Benfatti, Ricardo Adala","Brazilian Journal of Cardiovascular Surgery; 25(1); 112-114","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382010000100022&lang=pt" 
"S0102-76382010000100019-scl","Nova técnica: translocação aórtica e pulmonar com preservação da valva pulmonar","Furlanetto, Gláucio, Henriques, Sandra S, Pasquinelli, Flavia S, Furlanetto, Beatriz H. S","Brazilian Journal of Cardiovascular Surgery; 25(1); 99-102","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382010000100019&lang=pt" 
"S0102-76382010000100020-scl","Extubação precoce na sala de operação após cirurgia cardíaca infantil","Abuchaim, Decio Cavalet Soares, Bervanger, Silvana, Medeiros, Sergio Augusto, Abuchaim, Juliana Spengler, Burger, Martin, Faraco, Djalma Luis","Brazilian Journal of Cardiovascular Surgery; 25(1); 103-108","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382010000100020&lang=pt" 
"S0102-76382010000100021-scl","Videotoracoscopia para fechamento de fístula coronário-pulmonar: relato de caso","Fortunato Júnior, Jeronimo Antonio, Branco Filho, Alcides A, Granzotto, Paula C. N, Moreira, Letícia M. S, Martins, André Luiz M, Pereira, Marcelo L, Ferraz, João Gustavo G","Brazilian Journal of Cardiovascular Surgery; 25(1); 109-111","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382010000100021&lang=pt" 
"S0102-76382010000100025-scl","Operação de Glenn bidirecional sem circulação extracorpórea em portador de justaposição de apêndices atriais à esquerda","Croti, Ulisses Alexandre, Braile, Domingo Marcolino, Botelho Filho, Wilson, Pedrosa, Karla Luiza M","Brazilian Journal of Cardiovascular Surgery; 25(1); 122-123","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382010000100025&lang=pt" 
"S0102-76382010000100027-scl","Dr. Paulo Pêgo-Fernandes apresenta estudo inédito no Congresso da STS","","Brazilian Journal of Cardiovascular Surgery; 25(1); 126-126","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382010000100027&lang=pt" 
"S0102-76382010000100023-scl","Surgical repair of congenital diaphragmatic eventration in a septugerian lady","Srikrishna, M Reddy, Ravishankar, NR, Raghavan, Jaganathan, Natarajan, M Kumar","Brazilian Journal of Cardiovascular Surgery; 25(1); 115-117","Brazilian Journal of Cardiovascular Surgery","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382010000100023&lang=pt" 
"S1132-05592010000100010-esp","Sánchez, R. (2009). Psicología y dependencia. De la ley a la intervención psicosocial. Salamanca: Universidad Pontificia de Salamanca","Bausela, Esperanza","Psychosocial Intervention; 19(1); 101-102","Psychosocial Intervention","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1132-05592010000100010&lang=pt" 
"S1132-05592010000100004-esp","Consumo de TIC y Subjetividades Emergentes: ¿Problemas nuevos?","Gil-Juárez, Adriana, Vall-llovera, Montse, Feliu, Joel","Psychosocial Intervention; 19(1); 19-26","Psychosocial Intervention","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1132-05592010000100004&lang=pt" 
"S1132-05592010000100006-esp","El Perfil del Usuario de Internet en España","Sádaba, Charo","Psychosocial Intervention; 19(1); 41-55","Psychosocial Intervention","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1132-05592010000100006&lang=pt" 
"S1132-05592010000100003-esp","E-Generaciones: ¿Cuánto hay de Adultocéntrico en el Análisis de la Relación entre la Población Infantil y las Nuevas Tecnologías?","Rodríguez Pascual, Iván","Psychosocial Intervention; 19(1); 9-18","Psychosocial Intervention","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1132-05592010000100003&lang=pt" 
"S1132-05592010000100008-esp","Grupo de Mujeres en Situación de Maltrato: Evolución metodológica","Masip, Júlia, Pont, Concha, Salaberry, Alicia","Psychosocial Intervention; 19(1); 73-87","Psychosocial Intervention","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1132-05592010000100008&lang=pt" 
"S1132-05592010000100007-esp","Uso del Teléfono Móvil, Juventud y Familia: Un Panorama de la Realidad Brasileña","Verza, Fabiana, Wagner, Adriana","Psychosocial Intervention; 19(1); 57-71","Psychosocial Intervention","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1132-05592010000100007&lang=pt" 
"S1132-05592010000100009-esp","Un Estudio sobre la Fratría ante la Discapacidad Intelectual","Lizasoáin, Olga, Onieva, Carmen Esther","Psychosocial Intervention; 19(1); 89-99","Psychosocial Intervention","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1132-05592010000100009&lang=pt" 
"S1132-05592010000100005-esp","Cambios en las Relaciones y Satisfacciones Intergeneracionales Asociados al Uso de las TICs","Figuer Ramírez, Cristina, Malo Cerrato, Sara, Bertran Camats, Irma","Psychosocial Intervention; 19(1); 27-39","Psychosocial Intervention","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1132-05592010000100005&lang=pt" 
"S1132-05592010000100001-esp","Despedida","Casas, Ferran, López Cabanas, Miguel","Psychosocial Intervention; 19(1); 3-3","Psychosocial Intervention","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1132-05592010000100001&lang=pt" 
