"S0717-75262010000300013-chl","Vitaminas C y E para la prevención de las complicaciones de la hipertensión en el embarazo","Vergara R, Angie, Carvajal C., Jorge, Vera PG, Claudio","Revista chilena de obstetricia y ginecología; 75(3); 213-215","Revista chilena de obstetricia y ginecología","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262010000300013&lang=pt" 
"S0100-40422010000600015-scl","Occurrence of biflavones in leaves of Caesalpinia pyramidalis specimens","Bahia, Marcus V., David, Juceni P., David, Jorge M.","Química Nova; 33(6); 1297-1300","Química Nova","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422010000600015&lang=pt" 
"S0100-40422010000600017-scl","Comparação da labilidade de metais empregando voltametria, difusão em filmes finos por gradiente de concentração (DGT) e modelo computacional","Anjos, Vanessa E. dos, Abate, Gilberto, Grassi, Marco T.","Química Nova; 33(6); 1307-1312","Química Nova","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422010000600017&lang=pt" 
"S1679-87592010000500001-scl","Editorial","Mahiques, Michel Michaelovitch de","Brazilian Journal of Oceanography; 58(spe1); -","Brazilian Journal of Oceanography","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-87592010000500001&lang=pt" 
"S1679-87592010000500006-scl","Imaging continental shelf shallow stratigraphy by using different high-resolution seismic sources: an example from the Calabro-Tyrrhenian margin (Mediterranean Sea)","Martorelli, Eleonora, Chiocci, Francesco Latino, Orlando, Luciana","Brazilian Journal of Oceanography; 58(spe1); 55-66","Brazilian Journal of Oceanography","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-87592010000500006&lang=pt" 
"S1679-87592010000500005-scl","Characterization of the Brazilian continental shelf adjacent to Rio Grande do Norte state, NE Brazil","Vital, Helenice, Gomes, Moab Praxedes, Tabosa, Werner Farkatt, Frazão, Eugênio Pires, Santos, Claude Luiz Aguilar, Plácido Júnior, José Saraiva","Brazilian Journal of Oceanography; 58(spe1); 43-54","Brazilian Journal of Oceanography","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-87592010000500005&lang=pt" 
"S1679-87592010000500004-scl","Paleoproductivity changes during the Late Quaternary in the southeastern Brazilian upper continental margin of the Southwestern Atlantic","Nagai, Renata Hanae, Sousa, Silvia Helena de Mello e, Lourenço, Rafael André, Bícego, Márcia Caruso, Mahiques, Michel Michaelovitch de","Brazilian Journal of Oceanography; 58(spe1); 31-41","Brazilian Journal of Oceanography","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-87592010000500004&lang=pt" 
"S1679-87592010000500007-scl","Quaternary development of resilient reefs on the subsiding kimberley continental margin, Northwest Australia","Collins, Lindsay B., Testa, Viviane","Brazilian Journal of Oceanography; 58(spe1); 67-77","Brazilian Journal of Oceanography","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-87592010000500007&lang=pt" 
"S1679-87592010000500003-scl","Architecture and stratigraphic framework of shelf sedimentary systems off Rio de Janeiro state, Northern Santos Basin-Brazil","Maia, Renata Moreira da Costa, Reis, Antonio Tadeu dos, Alves, Eliane da Costa, Silva, Cleverson Guizan, Guerra, Josefa Varela, Gorini, Christian, Silva, Adalberto, Arantes-Oliveira, Rodrigo","Brazilian Journal of Oceanography; 58(spe1); 15-29","Brazilian Journal of Oceanography","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-87592010000500003&lang=pt" 
"S0120-00622010000100001-col","¿Contingencia o Necesidad? Schelling y Hegel Acerca del Estatus Modal del Espacio Lógico","GABRIEL, MARKUS","Ideas y Valores; 59(142); 5-23","Ideas y Valores","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00622010000100001&lang=pt" 
"S0120-00622010000100002-col","La Conciencia de lo Corporal: Una Visión Fenomenológicacognitiva","RODRÍGUEZ VERGARA, HUGO MAURICIO","Ideas y Valores; 59(142); 25-47","Ideas y Valores","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00622010000100002&lang=pt" 
"S0120-00622010000100003-col","Vattimo And The Possibilities Of Nihilistic Ontology","FEODOSIJEVIC HRYSCHKO, MYROSLAV","Ideas y Valores; 59(142); 49-65","Ideas y Valores","Inglês","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00622010000100003&lang=pt" 
"S0120-00622010000100004-col","Misión de la Universidad, Ethos y Política Universitaria","VARGAS BEJARANO, JULIO CÉSAR","Ideas y Valores; 59(142); 67-91","Ideas y Valores","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00622010000100004&lang=pt" 
