"S0103-73072009010300001-scl","A educação pelas imagens e suas geografias","","Pro-Posições; 20(3); -","Pro-Posições","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072009010300001&lang=pt" 
"S1692-88572009000200004-col","EL CONCEPTO DE ACCIÓN POLÍTICA EN EL PENSAMIENTO DE HANNAH ARENDT","Vargas Bejarano, Julio César","Eidos; (11); 82-107","Eidos","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-88572009000200004&lang=pt" 
"S1692-88572009000200005-col","LA JUSTICIA COMO PROBLEMA POLÍTICO. DEL CONSTRUCTIVISMO MORAL KANTIANO AL CONSTRUCTIVISMO POLÍTICO RAWLSIANO","Jaramillo Marín, Jefferson, Echeverry Enciso, Yesid","Eidos; (11); 108-142","Eidos","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-88572009000200005&lang=pt" 
"S1692-88572009000200006-col","COMPASIÓN Y SOLIDARIDAD POLÍTICA, SENTIMIENTOS MORALES PROPIOS PARA SUPERAR UNA ÉPOCA EN ESTADO DE INDIGENCIA: PERSPECTIVA VISTA DESDE MAX HORKHEIMER","Suárez González, Javier Roberto","Eidos; (11); 144-169","Eidos","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-88572009000200006&lang=pt" 
"S1692-88572009000200007-col","UBICACIÓN DE LA PRAXIS EN LAS CATEGORÍAS CONCEPTUALES DE ELLACURÍA","Serna, Pedro Pablo","Eidos; (11); 170-187","Eidos","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-88572009000200007&lang=pt" 
"S1692-88572009000200001-col","","","Eidos; (11); 6-7","Eidos","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-88572009000200001&lang=pt" 
"S1692-88572009000200002-col","LO ABSOLUTO DEL SABER ABSOLUTO","Díaz, Jorge Aurelio","Eidos; (11); 10-34","Eidos","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-88572009000200002&lang=pt" 
"S1692-88572009000200003-col","A PESSOA E OS VALORES PARA AS SOLIDARIEDADES: SIGNIFICADOS AXIOLÓGICOS","Borges de Meneses, Ramiro Délio, Simões, Maria Clara","Eidos; (11); 36-80","Eidos","Português","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-88572009000200003&lang=pt" 
"S1692-88572009000200008-col","ARTE Y TECNOLOGÍA: LOS RETOS ÉTICOS Y POLÍTICOS DEL ARTE TRANSGÉNICO","Roncallo Dow, Sergio","Eidos; (11); 188-213","Eidos","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-88572009000200008&lang=pt" 
"S1806-83242009000400004-scl","Oral hygiene and periodontal status among Terapanthi Svetambar Jain monks in India","Jain, Manish, Mathur, Anmol, Kumar, Santhosh, Duraiswamy, Prabu, Kulkarni, Suhas","Brazilian Oral Research; 23(4); 370-376","Brazilian Oral Research","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242009000400004&lang=pt" 
"S1806-83242009000400008-scl","Immunohistochemical study of androgen, estrogen and progesterone receptors in salivary gland tumors","Ito, Fabio Augusto, Ito, Kazuhiro, Coletta, Ricardo Della, Vargas, Pablo Agustín, Lopes, Márcio Ajudarte","Brazilian Oral Research; 23(4); 393-398","Brazilian Oral Research","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242009000400008&lang=pt" 
