"S1665-11462009000600009-mex","Síndrome de hiperinmunoglobulinemia E: Reporte de dos casos","Puebla-Miranda, Miriam, Martínez-Luna, Eduwiges, Vega-Memije, María Elisa","Boletín médico del Hospital Infantil de México; 66(6); 545-552","Boletín médico del Hospital Infantil de México","Espanhol","2009","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-11462009000600009&lang=pt" 
"S0718-68512009000200013-chl","La estructura del sistema jurídico boliviano y las relaciones entre las fuentes de su derecho según la &quot;constitución&quot; vigente","Andaluz, Horacio","Revista de derecho (Valparaíso); (33); 455-496","Revista de derecho (Valparaíso)","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-68512009000200013&lang=pt" 
"S0718-68512009000200002-chl","La pérdida del concepto romano de hipoteca mobiliaria en los derechos moderno y codificado y su recuperación a lo largo de los siglos XIX y XX con especial referencia al caso de Francia","Guzmán Brito, Alejandro","Revista de derecho (Valparaíso); (33); 103-148","Revista de derecho (Valparaíso)","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-68512009000200002&lang=pt" 
"S0718-68512009000200003-chl","Legislación y jurisprudencia sobre el cuidado personal del niño y la relación directa y regular con él","Quintana Villar, María Soledad","Revista de derecho (Valparaíso); (33); 149-172","Revista de derecho (Valparaíso)","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-68512009000200003&lang=pt" 
"S0718-68512009000200005-chl","Tutela laboral de derechos fundamentales y carga de la prueba","Ugarte Cataldo, José Luis","Revista de derecho (Valparaíso); (33); 215-228","Revista de derecho (Valparaíso)","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-68512009000200005&lang=pt" 
"S0718-68512009000200011-chl","La disciplina constitucional del principio de subsidiariedad en Italia y Chile","Loo Gutiérrez, Martín","Revista de derecho (Valparaíso); (33); 391-426","Revista de derecho (Valparaíso)","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-68512009000200011&lang=pt" 
"S0718-68512009000200014-chl","El derecho eclesiástico del estado de Chile al tiempo del bicentenario: logros y dificultades","Salinas Araneda, Carlos","Revista de derecho (Valparaíso); (33); 499-533","Revista de derecho (Valparaíso)","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-68512009000200014&lang=pt" 
"S0718-68512009000200015-chl","&quot;Interpretar&quot;: ¿aplicar o crear derecho? análisis desde la perspectiva del derecho privado","Mantilla Espinosa, Fabricio","Revista de derecho (Valparaíso); (33); 537-597","Revista de derecho (Valparaíso)","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-68512009000200015&lang=pt" 
"S0718-68512009000200017-chl","Más allá de la caridad: De los derechos negativos a los deberes positivos generales","Zúñiga Fajuri, Alejandra","Revista de derecho (Valparaíso); (33); 621-638","Revista de derecho (Valparaíso)","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-68512009000200017&lang=pt" 
"S0718-68512009000200018-chl","Emprendimiento en Roma antigua: de la política al derecho","Lazo, Patricio","Revista de derecho (Valparaíso); (33); 641-670","Revista de derecho (Valparaíso)","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-68512009000200018&lang=pt" 
"S0718-68512009000200019-chl","Two traditions of liberty?: Confronting Dworkin and Hayek&#039;s legal and political philosophy","García, José Francisco","Revista de derecho (Valparaíso); (33); 673-698","Revista de derecho (Valparaíso)","Inglês","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-68512009000200019&lang=pt" 
