"S0104-07072017000100308-scl","DEMAND AND TYPE OF CARE PROVIDED IN EMERGENCY SERVICES IN THE CITY OF FLORIANÓPOLIS, BRAZIL","Cassettari, Sonia da Silva Reis, Mello, Ana Lúcia Schaefer Ferreira de","Texto &amp; Contexto - Enfermagem; 26(1); -","Texto &amp; Contexto - Enfermagem","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072017000100308&lang=pt" 
"S1519-69842017005103108-scl","Seed removal of Dipteryx alata Vog. (Leguminosae: Faboidae) in the edge and interior of Cerrado","Ragusa-Netto, J.","Brazilian Journal of Biology; (ahead); -","Brazilian Journal of Biology","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842017005103108&lang=pt" 
"S2317-64312017000100305-scl","Desempenho da alimentação oral em recém-nascidos prematuros estimulados pela técnica treino de deglutição","Otto, Danielle Martins, Almeida, Sheila Tamanini de","Audiology - Communication Research; 22(); -","Audiology - Communication Research","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-64312017000100305&lang=pt" 
"S1981-38212017000100502-scl","Formal Comparisons of Legislative Institutions: Ideal Points from Brazilian Legislatures","McDonnell, Robert Myles","Brazilian Political Science Review; 11(1); -","Brazilian Political Science Review","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-38212017000100502&lang=pt" 
"S1809-68912017000100201-scl","COMPLEXO ENZIMÁTICO E FARELO DE ARROZ INTEGRAL SOBRE O DESEMPENHO PRODUTIVO E QUALIDADE DOS OVOS DE POEDEIRAS EM SEGUNDO CICLO DE PRODUÇÃO","Santos, Verônica Lisboa, Gentilini, Fabiane Pereira, Ladeira, Sílvia Regina Leal, Anciuti, Marcos Antonio, Rutz, Fernando","Ciência Animal Brasileira; 18(); -","Ciência Animal Brasileira","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912017000100201&lang=pt" 
"S1806-11172017000300410-scl","Relação de dispersão para os plásmon-poláritons de superfície em uma interface plana metal/dielétrico","Andrade-Neto, A. V., Ribeiro Neto, Aroldo, Jorio, Ado","Revista Brasileira de Ensino de Física; 39(3); -","Revista Brasileira de Ensino de Física","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172017000300410&lang=pt" 
"S0100-06832017000100509-scl","Nutrient Release, Plant Nutrition, and Potassium Leaching from Polymer-Coated Fertilizer","Bley, Henrique, Gianello, Clesio, Santos, Lenio da Silva, Selau, Lisiane Priscila Roldão","Revista Brasileira de Ciência do Solo; 41(); -","Revista Brasileira de Ciência do Solo","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832017000100509&lang=pt" 
"S2317-64312017000100304-scl","Força de mordida em crianças com mordida cruzada posterior","Vilela, Monize, Picinato-Pirola, Melissa Nara de Carvalho, Giglio, Lúcia Dantas, Anselmo-Lima, Wilma Terezinha, Valera, Fabiana Cardoso Pereira, Trawitzki, Luciana Vitaliano Voi, Grechi, Tais Helena","Audiology - Communication Research; 22(); -","Audiology - Communication Research","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-64312017000100304&lang=pt" 
"S1809-68912017000100302-scl","VIABILITY OF MAMMARY BOVINE LEUKOCYTES CHALLENGED WITH ANTI-MASTITIS DRUGS","Batista, Camila Freitas, Gomes, Renata Caminha, Blagitz, Maiara Garcia, Libera, Alice Maria Melville Paiva Della","Ciência Animal Brasileira; 18(); -","Ciência Animal Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912017000100302&lang=pt" 
"S1809-68912017000100300-scl","EFEITOS DA ADMINSTRAÇÃO DO MIDAZOLAM EM DOSES DIFERENTES EM JIBOIAS Boa constrictor LINNAEUS, 1758 (SQUAMATA: BOIDAE)","Simone, Simone Borges Salgueiro De, Hirano, Líria Queiroz Luz, Santos, André Luiz Quagliatto","Ciência Animal Brasileira; 18(); -","Ciência Animal Brasileira","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912017000100300&lang=pt" 
"S2317-64312017000100306-scl","Potencial Evocado Auditivo de Longa Latência – P3 em crianças com e sem queixas de dificuldade de aprendizagem","Souza, Juliana, Rocha, Vanessa Onzi, Berticelli, Amanda Zanatta, Didoné, Dayane Domeneghini, Sleifer, Pricila","Audiology - Communication Research; 22(); -","Audiology - Communication Research","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-64312017000100306&lang=pt" 
