"S0102-76382009000400025-scl","Dilatações gigantes das artérias coronárias em paciente assintomático","Carvalho, Enisa de Miranda de Freitas, Salerno, Tomas A, Coy, Kevin","Brazilian Journal of Cardiovascular Surgery; 24(3); 413-415","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382009000400025&lang=pt" 
"S0102-76382009000400022-scl","Revascularização da artéria coronária direita com enxerto venoso coronária-coronária","Freitas, Andrea Cristina Oliveira, Saporito, Wladmir Faustino, Donelli, Luis Antonio, Breda, João Roberto, Machado, Leandro Neves, Horiuti, Louise, Pires, Adilson Casemiro","Brazilian Journal of Cardiovascular Surgery; 24(3); 401-403","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382009000400022&lang=pt" 
"S0102-76382009000400024-scl","Transplante cardíaco em amiloidose primária","Baumgratz, José Francisco, Vila, José Henrique Andrade, Guilhen, Claudia Jesus, Fonseca, Luciana da, Leite, Weverton Ferreira, D&#039;Andretta, Carlos, Tângari Junior, Américo, Silva, José Pedro da","Brazilian Journal of Cardiovascular Surgery; 24(3); 409-412","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382009000400024&lang=pt" 
"S0101-98802009000300016-scl","Paniculite mesentérica (PM) e fibromatose mesentérica (FM): relato de casos","Balestrim Filho, Antônio, Mercês, Roberta Lages das, Pisi, Paulo Henrique, Braga, Thiago Antonio, Almeida, Ana Luiza Normanha R., Parra, Rogério Serafim, Feres, Omar, Rocha, José Joaquim Ribeiro da","Revista Brasileira de Coloproctologia; 29(3); 389-392","Revista Brasileira de Coloproctologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802009000300016&lang=pt" 
"S0101-98802009000300015-scl","Colectomia direita associada à gastroduodenopancreatectomia em bloco por tumor infiltrativo de cólon: relato de caso","Cesar, Maria Auxiliadora Prolungatti, Bassi, Deomir Germano, Paula, Pedro Roberto de, Alves, Priscila Teixeira, Albuquerque, Eduardo Fortes de","Revista Brasileira de Coloproctologia; 29(3); 386-388","Revista Brasileira de Coloproctologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802009000300015&lang=pt" 
"S0101-98802009000300014-scl","Infestação por miíase em prolapso retal: relato de caso e revisão de literatura","Kotze, Paulo Gustavo, Martins, Juliana Ferreira, Steckert, Juliana Stradiotto, Scolaro, Bruno Lorenzo, Rocha, Juliana Gonçalves, Miranda, Eron Fábio, Sartor, Maria Cristina","Revista Brasileira de Coloproctologia; 29(3); 382-385","Revista Brasileira de Coloproctologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802009000300014&lang=pt" 
"S0101-98802009000300003-scl","Sensibilidade e especificidade da citologia anal com escova no diagnóstico das lesões clínicas provocadas pelo papilomavírus humano, comparando uma com duas coletas","Nadal, Sidney Roberto, Calore, Edenilson Eduardo, Manzione, Carmen Ruth, Arruda, Cibelle Nunes de, Cha, Jonathan Doyun, Formiga, Fernanda Bellotti, Manzione, Thiago da Silveira","Revista Brasileira de Coloproctologia; 29(3); 297-302","Revista Brasileira de Coloproctologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802009000300003&lang=pt" 
"S0101-98802009000300004-scl","Avaliação da expressão tecidual do gene de reparo MLH1 e dos níveis de dano oxidativo ao DNA em doentes com câncer colorretal","Martinez, Carlos Augusto Real, Cordeiro, Adriana Teixeira, Priolli, Denise Gonçalves, Miranda, Daniel Duarte da Conceição, Bartchewsky Júnior, Waldemar, Margarido, Nelson Fontana, Ribeiro, Marcelo Lima","Revista Brasileira de Coloproctologia; 29(3); 303-313","Revista Brasileira de Coloproctologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802009000300004&lang=pt" 
"S0101-98802009000300008-scl","Colonoscopia: morbidade negligenciada","Formiga, Fernanda Bellotti, Rocha, Karina Gomes da, Magri, Karina Dagre, Carvalho, Matheus Porto, Credidio, Alessandra Vicentini, Cruz, Sylvia Heloisa Arantes, Candelária, Paulo de Azeredo Passos, Fang, Chia Bin, Capelhuchnik, Peretz, Klug, Wilmar Artur","Revista Brasileira de Coloproctologia; 29(3); 345-350","Revista Brasileira de Coloproctologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802009000300008&lang=pt" 
"S0101-98802009000300009-scl","Evolução do carcinoma colorretal, comparando doentes com idades acima e abaixo de 40 anos, quanto à diferenciação tumoral e ao estádio do tumor","Nadal, Luis Roberto Manzione, Adachi, Caroline Terumi, Nunes, Marcus Aurelius Araujo, Ishiy, Carlos Augusto André, Bobotis, Vasilius Charilaos, Andreotti, Ana Paula, Nadal, Sidney Roberto, Bin, Fang Chia, Capelhuchnik, Peretz, Klug, Wilmar Artur","Revista Brasileira de Coloproctologia; 29(3); 351-357","Revista Brasileira de Coloproctologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802009000300009&lang=pt" 
"S0101-98802009000300010-scl","Existe importância na utilização de exames de fisiologia ano retal no diagnóstico da sindrome do intestino irritável?","Cesar, Maria Auxiliadora Prolungatti, Oliveira, Camila Carneiro de","Revista Brasileira de Coloproctologia; 29(3); 358-362","Revista Brasileira de Coloproctologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802009000300010&lang=pt" 
"S0101-98802009000300011-scl","Atualização no tratamento da diverticulite aguda do cólon","Dias, André Roncon, Gondim, Ana Cecília Neiva, Nahas, Sérgio Carlos","Revista Brasileira de Coloproctologia; 29(3); 363-371","Revista Brasileira de Coloproctologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802009000300011&lang=pt" 
"S0101-98802009000300013-scl","Colite cística profunda: relato de caso","Felício, Felipe, Santos, José Mauro dos, Oliveira, João Carlos Costa de, Lyra Junior, Humberto Fenner, Froehner Junior, Ilario, Mello Jr, Sergio Campos","Revista Brasileira de Coloproctologia; 29(3); 377-381","Revista Brasileira de Coloproctologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802009000300013&lang=pt" 
"S0101-98802009000300018-scl","Seguimento dos doentes soropositivos e soronegativos para o HIV com carcinoma espinocelular do canal anal","Nadal, Sidney Roberto, Cruz, Sylvia Heloisa Arantes","Revista Brasileira de Coloproctologia; 29(3); 404-407","Revista Brasileira de Coloproctologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802009000300018&lang=pt" 
"S0101-98802009000300006-scl","Cisto pilonidal sacrococcígeo: resultados do tratamento cirúrgico com incisão e curetagem","Balsamo, Flávia, Borges, Alline Maciel Pinheiro, Formiga, Galdino José Sitonio","Revista Brasileira de Coloproctologia; 29(3); 325-328","Revista Brasileira de Coloproctologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802009000300006&lang=pt" 
"S1984-46702009000300025-scl","Nhandu tripepii is a senior synonym of Nhandu vulpinus (Araneae: Theraphosidae)","Nagahama, Roberto H., Fukushima, Caroline S., Bertani, Rogério","Zoologia (Curitiba); 26(3); 578-580","Zoologia (Curitiba)","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702009000300025&lang=pt" 
"S0101-98802009000300001-scl","Impacto do uso da solução reveladora de linfonodos no estadiamento do câncer colorretal","Araújo, Stanley de Almeida, Cabral, Mônica Maria Demas Álvares, Lacerda Filho, Antonio, Horta, Jacques Gabriel Álvares, Luz, Magda Maria Profeta da, Silva, Rodrigo Gomes da","Revista Brasileira de Coloproctologia; 29(3); 279-286","Revista Brasileira de Coloproctologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802009000300001&lang=pt" 
"S0006-87052009010300002-scl","Elevação da temperatura do ar no Estado de São Paulo: há sinais de aquecimento global?","Camargo, Marcelo Bento Paes de","Bragantia; 68(3); -","Bragantia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052009010300002&lang=pt" 
"S0006-87052009010300001-scl","Programas de previsão de safra de cana-de-açúcar utilizam sensoriamento remoto","Camargo, Marcelo Bento Paes de","Bragantia; 68(3); -","Bragantia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052009010300001&lang=pt" 
"S0102-33062009000300002-scl","Diatomáceas epilíticas da subordem Sellaphorineae do rio do Monjolinho, São Carlos, SP, Brasil","Souza, Maria das Graças Machado de, Senna, Pedro Américo Cabral","Acta Botanica Brasilica; 23(3); 618-629","Acta Botanica Brasilica","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062009000300002&lang=pt" 
"S0102-33062009000300003-scl","Musgos pleurocárpicos dos fragmentos de Mata Atlântica da Reserva Ecológica da Michelin, município de Igrapiúna, BA, Brasil: II - Hypnales (Bryophyta: Bryopsida)","Vilas Bôas-Bastos, Silvana B., Bastos, Cid José Passos","Acta Botanica Brasilica; 23(3); 630-643","Acta Botanica Brasilica","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062009000300003&lang=pt" 
"S0102-33062009000300004-scl","Mixobiota do Parque Nacional Serra de Itabaiana, SE, Brasil: Stemonitales","Tenório, Juciara Gouveia, Bezerra, Maria de Fátima de Andrade, Costa, Antônia Aurelice Aurélio, Cavalcanti, Laise de Holanda","Acta Botanica Brasilica; 23(3); 644-656","Acta Botanica Brasilica","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062009000300004&lang=pt" 
"S0102-33062009000300006-scl","Anatomia foliar como subsídio à taxonomia de espécies do Complexo Briza L. (Poaceae: Pooideae: Poeae)","Pelegrin, Carla Maria Garlet de, Longhi-Wagner, Hilda Maria, Oliveira, Paulo Luiz de","Acta Botanica Brasilica; 23(3); 666-680","Acta Botanica Brasilica","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062009000300006&lang=pt" 
