"S0100-72032009000800008-scl","Tratamento do trabalho de parto prematuro","Bittar, Roberto Eduardo, Zugaib, Marcelo","Revista Brasileira de Ginecologia e Obstetrícia; 31(8); 415-422","Revista Brasileira de Ginecologia e Obstetrícia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032009000800008&lang=pt" 
"S0100-72032009000800001-scl","Significado clínico das calcificações vasculares na mamografia: devemos valorizá-las?","Freitas-Júnior, Ruffo, Murta, Eddie Fernando Candido, Oliveira, Evelling Lorena Cerqueira","Revista Brasileira de Ginecologia e Obstetrícia; 31(8); 377-379","Revista Brasileira de Ginecologia e Obstetrícia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032009000800001&lang=pt" 
"S0066-782X2009000800002-scl","Sociedade Nacional Européia de revistas cardiovasculares fundamento, lógica e declaração da missão do &quot;clube dos editores&quot; (força-tarefa da Sociedade Européia de Cardiologia)","Alfonso, Fernando, Ambrosio, Giuseppe, Pinto, Fausto J., van der Wall, Ernst E.","Arquivos Brasileiros de Cardiologia; 93(2); 76-82","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2009000800002&lang=pt" 
"S0066-782X2009000800004-scl","Prevalência de síndrome metabólica em idosos de uma comunidade: comparação entre três métodos diagnósticos","Rigo, Julio Cesar, Vieira, José Luiz, Dalacorte, Roberta Rigo, Reichert, César Luis","Arquivos Brasileiros de Cardiologia; 93(2); 85-91","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2009000800004&lang=pt" 
"S0066-782X2009000800005-scl","Avaliação ecocardiográfica de pacientes submetidos à cirurgia mitral com papilopexia cruzada","Santana Filho, Geraldo Paulino, Gomes, Otoni Moreira, Oliveira, Gilson José de, Rodrigues, Débora, Nogueira, Ana Cláudia, Sales, Rômulo, Pinheiro, Delzirene Botelho, Machado, Antonio Calzada, Oliveira, Nivaldo Gomes","Arquivos Brasileiros de Cardiologia; 93(2); 92-96","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2009000800005&lang=pt" 
"S0066-782X2009000800006-scl","Maior letalidade e morbidade por infarto agudo do miocárdio em hospital público, em Feira de Santana - Bahia","Ferreira, Graça Maria Tavares de Melo, Correia, Luis Cláudio, Reis, Helena, Ferreira Filho, Carlos Brandão, Freitas, Francisco, Ferreira, Guilherme Melo, Júnior, Ivan, Oliveira, Nelson, Guimarães, Armênio Costa","Arquivos Brasileiros de Cardiologia; 93(2); 97-104","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2009000800006&lang=pt" 
"S0066-782X2009000800007-scl","Escore TIMI no infarto agudo do miocárdio conforme níveis de estratificação de prognóstico","Pereira, Jaqueline Locks, Sakae, Thiago Mamôru, Machado, Michele Cardoso, Castro, Charles Martins de","Arquivos Brasileiros de Cardiologia; 93(2); 105-112","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2009000800007&lang=pt" 
"S0066-782X2009000800008-scl","Perfil lipídico, fatores de risco cardiovascular e síndrome metabólica em um grupo de pacientes com AIDS","Silva, Érika Ferrari Rafael da, Bassichetto, Katia Cristina, Lewi, David Salomão","Arquivos Brasileiros de Cardiologia; 93(2); 113-118","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2009000800008&lang=pt" 
"S0066-782X2009000800009-scl","Correlação entre variáveis de composição corporal e metabólica em adolescentes do sexo feminino","Faria, Eliane Rodrigues de, Franceschini, Sylvia do Carmo Castro, Peluzio, Maria do Carmo Gouveia, Sant&#039;Ana, Luciana Ferreira da Rocha, Priore, Silvia Eloiza","Arquivos Brasileiros de Cardiologia; 93(2); 119-127","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2009000800009&lang=pt" 
"S0066-782X2009000800010-scl","Estudo prospectivo, duplo cego e cruzado da Camellia sinensis (chá verde) nas dislipidemias","Batista, Gesiani de Almeida Pierin, Cunha, Cláudio L. Pereira da, Scartezini, Mariléia, von der Heyde, Raul, Bitencourt, Murílo G, Melo, Sandra Fabrício de","Arquivos Brasileiros de Cardiologia; 93(2); 128-134","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2009000800010&lang=pt" 
"S0066-782X2009000800011-scl","Preditores de mortalidade hospitalar em pacientes com embolia pulmonar estáveis hemodinamicamente","Volschan, André, Albuquerque, Denilson, Tura, Bernardo Rangel, Knibel, Marcos, Esteves, José Péricles, Bodanese, Luiz Carlos, Silveira, Francisco, Pantoja, João, Souza, Paulo Cesar Pereira da Silva e, Mansur, João, Mesquita, Evandro Tinoco","Arquivos Brasileiros de Cardiologia; 93(2); 135-140","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2009000800011&lang=pt" 
"S0066-782X2009000800012-scl","Associação entre transientes inicial e final de frequência cardíaca no teste de exercício","Mattioli, Gisele Messias, Araújo, Claudio Gil Soares de","Arquivos Brasileiros de Cardiologia; 93(2); 141-146","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2009000800012&lang=pt" 
"S0066-782X2009000800013-scl","Associação do índice de massa corporal e da resistência à insulina com síndrome metabólica em crianças brasileiras","Ferreira, Aparecido Pimentel, Nóbrega, Otávio de Tolêdo, França, Nancí Maria de","Arquivos Brasileiros de Cardiologia; 93(2); 147-153","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2009000800013&lang=pt" 
"S0066-782X2009000800014-scl","Os efeitos da trimetazidina na variabilidade da frequência cardíaca (VFC) em pacientes com insuficiência cardíaca","Gunes, Yilmaz, Guntekin, Unal, Tuncer, Mustafa, Sahin, Musa","Arquivos Brasileiros de Cardiologia; 93(2); 154-158","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2009000800014&lang=pt" 
"S0066-782X2009000800015-scl","Qualidade de vida e indicadores clínicos na insuficiência cardíaca: análise multivariada","Santos, Jefferson Jovelino Amaral dos, Plewka, Jony Erwin Andreola, Brofman, Paulo Roberto Slud","Arquivos Brasileiros de Cardiologia; 93(2); 159-166","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2009000800015&lang=pt" 
"S0066-782X2009000800018-scl","Insuficiência cardíaca com fração de ejeção normal: novos critérios diagnósticos e avanços fisiopatológicos","Mesquita, Evandro Tinoco, Jorge, Antonio José Lagoeiro","Arquivos Brasileiros de Cardiologia; 93(2); 180-187","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2009000800018&lang=pt" 
"S0066-782X2009000800019-scl","Esporte competitivo na criança e no adolescente - exame pré-participação: eletrocardiograma obrigatório?","Baptista, Cláudio Aparício Silva, Foronda, Antonio, Baptista, Luciana de Pádua Silva","Arquivos Brasileiros de Cardiologia; 93(2); 188-195","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2009000800019&lang=pt" 
"S0066-782X2009000800020-scl","Intervenção coronariana percutânea (ICP) para pacientes estáveis: há algum benefício além do alívio dos sintomas?","Stankovic, Goran","Arquivos Brasileiros de Cardiologia; 93(2); 196-199","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2009000800020&lang=pt" 
"S0066-782X2009000800027-scl","Residente formado no instituto da vontade: os requisitos desejo, movimento e superação","Grinberg, Max, Accorsi, Tarso Augusto Duenhas","Arquivos Brasileiros de Cardiologia; 93(2); e42-e44","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2009000800027&lang=pt" 
"S0066-782X2009000800016-scl","Efeitos da estimulação ventricular convencional em pacientes com função ventricular normal","Sá, Luiz Antonio Batista de, Rassi, Salvador, Batista, Márcia Andery Ludovico","Arquivos Brasileiros de Cardiologia; 93(2); 167-173","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2009000800016&lang=pt" 
"S1984-02922009000200010-scl","Corpocidade: arte enquanto micro-resistência urbana","Britto, Fabiana Dultra, Jacques, Paola Berenstein","Fractal : Revista de Psicologia; 21(2); 337-349","Fractal : Revista de Psicologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-02922009000200010&lang=pt" 
