"S1808-86942016000100001-scl","The judicialization of the medical act","Campos, Roberto Augusto de Carvalho, Camargo, Rosmari Aparecida Elias, Neves, Luciano Rodrigues","Brazilian Journal of Otorhinolaryngology; 82(1); 1-2","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942016000100001&lang=pt" 
"S1808-86942016000100026-scl","Endoscopic sinus surgery dissection courses using a real simulator: the benefits of this training","Fortes, Bibiana, Balsalobre, Leonardo, Weber, Raimar, Stamm, Raquel, Stamm, Aldo, Oto, Fernando, Coronel, Nathália","Brazilian Journal of Otorhinolaryngology; 82(1); 26-32","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942016000100026&lang=pt" 
"S1808-86942016000100047-scl","Objective assessment of surgical technique in rotation and nasal projection variation","Fagundes, Marina Serrato Coelho, Moreira, Ana Tereza, Tambara, Elizabeth Mila, Tenório, Sérgio Bernardo, Fraga, Rogério de, Hamerschmidt, Rogerio","Brazilian Journal of Otorhinolaryngology; 82(1); 47-55","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942016000100047&lang=pt" 
"S1808-86942016000100017-scl","Experimental study on the effects of bismuth subgallate on the inflammatory process and angiogenesis of the oral mucosa","Couto, Eduardo Vieira, Ballin, Carlos Roberto, Sampaio, Claudia Paraguaçu Pupo, Maeda, Carlos Augusto Seije, Ballin, Carlos Henrique, Dassi, Camila Soares, Yukari Miura, Lilian","Brazilian Journal of Otorhinolaryngology; 82(1); 17-25","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942016000100017&lang=pt" 
"S1808-86942016000100116-scl","Subtotal arytenoidectomy for the treatment of laryngeal stridor in multiple system atrophy: phonatory and swallowing results","Stomeo, Francesco, Rispoli, Vittorio, Sensi, Mariachiara, Pastore, Antonio, Malagutti, Nicola, Pelucchi, Stefano","Brazilian Journal of Otorhinolaryngology; 82(1); 116-120","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942016000100116&lang=pt" 
"S1808-86942016000100082-scl","Suppurative labyrinthitis associated with otitis media: 26 years&#039; experience","Maranhão, André Souza de Albuquerque, Godofredo, Valeria Romero, Penido, Norma de Oliveira","Brazilian Journal of Otorhinolaryngology; 82(1); 82-87","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942016000100082&lang=pt" 
"S1808-86942016000100112-scl","Giant sialolith of submandibular gland duct treated by excision and ductal repair: a case report","Oliveira, Thiago de Paula, Oliveira, Isaac Nilton Fernandes, Pinheiro, Eduardo Carvalho Paes, Gomes, Renata Caroline Ferreira, Mainenti, Pietro","Brazilian Journal of Otorhinolaryngology; 82(1); 112-115","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942016000100112&lang=pt" 
"S0482-50042016000100075-scl","Achados ultrassonográficos osteomusculares na paracoccidioidomicose","Mendonça, José Alexandre, Peron Filho, Faustino, Schincariol, Nádia Bossolan, Vierhout, Cláudia Valéria, Provenza, José Roberto","Revista Brasileira de Reumatologia; 56(1); 75-78","Revista Brasileira de Reumatologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042016000100075&lang=pt" 
"S0482-50042016000100090-scl","Dificuldades no diagnóstico diferencial entre arterite de Takayasu e febre reumática: relato de caso","Ferreira, Taciana Fernandes Araújo, Freire, Marlene, Teodoro, Reginaldo Botelho","Revista Brasileira de Reumatologia; 56(1); 90-92","Revista Brasileira de Reumatologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042016000100090&lang=pt" 
"S0100-39842016000100049-scl","Multidetector computed tomography angiography of the celiac trunk and hepatic arterial system: normal anatomy and main variants","Araujo Neto, Severino Aires, Mello Júnior, Carlos Fernando de, Franca, Henrique Almeida, Duarte, Cláudia Martina Araújo, Borges, Rafael Farias, Magalhães, Ana Guardiana Ximenes de","Radiologia Brasileira; 49(1); 49-52","Radiologia Brasileira","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842016000100049&lang=pt" 
"S0100-39842016000100021-scl","Locally advanced hypopharyngeal squamous cell carcinoma: single-institution outcomes in a cohort of patients curatively treated either with or without larynx preservation","Reis, Isabel, Aguiar, Artur, Alzamora, Cristiana, Ferreira, Carolina, Castro, Vera, Soares, André, Lobão, Marisa","Radiologia Brasileira; 49(1); 21-25","Radiologia Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842016000100021&lang=pt" 
