"S1137-66272009000300011-esp","Neuritis óptica inflamatoria","Ayuso, T., Aliseda, D., Ajuria, I., Zandío, B., Mayor, S., Navarro, M.C.","Anales del Sistema Sanitario de Navarra; 32(2); 249-263","Anales del Sistema Sanitario de Navarra","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272009000300011&lang=pt" 
"S1137-66272009000300003-esp","Concordancia en el diagnóstico entre pediatría y salud mental","Landa, N., Goñi, A., García de Jalón, E., López-Goñi, J.J.","Anales del Sistema Sanitario de Navarra; 32(2); 161-168","Anales del Sistema Sanitario de Navarra","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272009000300003&lang=pt" 
"S1137-66272009000300006-esp","La salud dental de los niños y adolescentes de Navarra, 2007 (4ª edición)","Cortés, F.J., Artázcoz, J., Rosel, E., González, P., Asenjo, M.A., Sáinz de Murieta, I., Bravo, M.","Anales del Sistema Sanitario de Navarra; 32(2); 199-215","Anales del Sistema Sanitario de Navarra","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272009000300006&lang=pt" 
"S1137-66272009000300004-esp","Calidad de vida en pacientes con rinitis alérgica: estudio comparativo con la hipetensión arterial en el ámbito de atención primaria","Hoz, B. de la, Colás, C., Rodríguez Rodríguez, M.","Anales del Sistema Sanitario de Navarra; 32(2); 169-181","Anales del Sistema Sanitario de Navarra","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272009000300004&lang=pt" 
"S1137-66272009000300001-esp","El esosinófilo: ¿&quot;sigue siendo el rey&quot;?","García, B.E.","Anales del Sistema Sanitario de Navarra; 32(2); 145-147","Anales del Sistema Sanitario de Navarra","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272009000300001&lang=pt" 
"S1137-66272009000300008-esp","Incidencia y características de la esofagitis eosinofílica (EE) en adultos","Nantes, O., Zozaya, J.M., Jiménez-Pérez, F.J., Martínez-Peñuela, J.M., Borda, F.","Anales del Sistema Sanitario de Navarra; 32(2); 227-234","Anales del Sistema Sanitario de Navarra","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272009000300008&lang=pt" 
"S1137-66272009000300015-esp","Pseudobloqueo de conducción en vasculitis aislada del sistema nervioso periférico","Pabón, R.M., Gila, L., Urriza, J., Imirizaldu, L., Arrechea, M., Lacruz, F.","Anales del Sistema Sanitario de Navarra; 32(2); 279-287","Anales del Sistema Sanitario de Navarra","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272009000300015&lang=pt" 
"S1137-66272009000300016-esp","Resúmenes proyectos de investigación concedidos Departamento de salud","","Anales del Sistema Sanitario de Navarra; 32(2); 289-299","Anales del Sistema Sanitario de Navarra","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272009000300016&lang=pt" 
"S1982-56762009000400006-scl","Biological, serological and molecular comparison between isolates of Cowpea severe mosaic virus","Camarço, Rosa Felicia E. Araújo, Nascimento, Aline K. Queiroz do, Andrade, Eduardo C. de, Lima, José Albersio A.","Tropical Plant Pathology; 34(4); 239-244","Tropical Plant Pathology","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-56762009000400006&lang=pt" 
"S1982-56762009000400011-scl","Comparação da sensibilidade de métodos para a detecção de fungos patogênicos em sementes de aveia branca e preta no Rio Grande do Sul","Almeida, Mirella Figueiró de, Reis, Erlei Melo","Tropical Plant Pathology; 34(4); 265-269","Tropical Plant Pathology","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-56762009000400011&lang=pt" 
"S1982-56762009000400010-scl","Variabilidade genética em populações de campo do nematóide de cisto da soja provenientes dos estados do Paraná e Rio Grande do Sul","Santana, Hamilton, Pires, Ely, Comerlato, Anna P., Nasu, Erica G.C., Furlanetto, Cleber","Tropical Plant Pathology; 34(4); 261-264","Tropical Plant Pathology","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-56762009000400010&lang=pt" 
"S1982-56762009000400008-scl","Escala diagramática para a quantificação de Septoria apiicola e Cercospora arracacina em mandioquinha-salsa","Mesquini, Renata M., Schwan-Estrada, Kátia R.F., Godoy, Cláudia V., Vieira, Rafael A., Zarate, Nestor A.H., Vieira, Maria do Carmo","Tropical Plant Pathology; 34(4); 250-255","Tropical Plant Pathology","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-56762009000400008&lang=pt" 
"S1137-66272009000300010-esp","Resistencias de M. tuberculosis complex en Navarra: diferencias entre población autóctona e inmigrante (2000-2007)","Navascués, A., Otamendi, I., Torroba, L., Álvaro, A. I., Ojer, M., Ruz, A., Castilla, J.","Anales del Sistema Sanitario de Navarra; 32(2); 243-248","Anales del Sistema Sanitario de Navarra","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272009000300010&lang=pt" 
"S1982-56762009000400002-scl","Relações entre ocorrência do Mal-de-Panama em bananeira da cv. Nanicão e nutrientes no solo e nas folhas","Furtado, Edson Luiz, Bueno, César Júnior, Oliveira, Antonio Luiz de, Menten, José Otávio M., Malavolta, Eurípides","Tropical Plant Pathology; 34(4); 211-215","Tropical Plant Pathology","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-56762009000400002&lang=pt" 
"S1982-56762009000400003-scl","Uso da restrição hídrica na detecção de Alternaria dauci e Alternaria radicina em sementes de cenoura (Daucus carota)","Carvalho, Enia M. de, Silva, Ursula A. da, Rodrigues, Denise C.G.A.","Tropical Plant Pathology; 34(4); 216-222","Tropical Plant Pathology","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-56762009000400003&lang=pt" 
"S1982-56762009000400004-scl","Efeito da aplicação foliar de silício na resistência à ferrugem e na potencialização da atividade de enzimas de defesa em cafeeiro","Pereira, Sandra C., Rodrigues, Fabrício A., Carré-Missio, Vivian, Oliveira, Maria Goreti A., Zambolim, Laércio","Tropical Plant Pathology; 34(4); 223-230","Tropical Plant Pathology","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-56762009000400004&lang=pt" 
"S1982-56762009000400005-scl","Influência do boro, de fontes de nitrogênio e do pH do solo no controle de hérnia das crucíferas causada por Plasmodiophora brassicae","Ruaro, Lucimeris, Lima Neto, Vismar da C., Ribeiro Júnior, Paulo Justiniano","Tropical Plant Pathology; 34(4); 231-238","Tropical Plant Pathology","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-56762009000400005&lang=pt" 
"S1982-56762009000400007-scl","Evidencias microscópicas y moleculares de la presencia de fitoplasmas en plantas de murta (Ugni molinae Turcz: ) afectadas por la enfermedad &quot;escoba de bruja&quot;","Andrade S., Nancy, Villagra H., María, Arismendi S., Nolberto","Tropical Plant Pathology; 34(4); 245-249","Tropical Plant Pathology","Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-56762009000400007&lang=pt" 
"S1982-56762009000400009-scl","Detecção de Meloidogyne mayaguensis em goiabeira e mamoeiro no estado de Goiás, usando marcadores moleculares","Siqueira, Kércya M.S. de, Freitas, Vânia M., Almeida, Maria Ritta A., Santos, Marcilene F.A. dos, Cares, Juvenil A., Tigano, Myrian S., Carneiro, Regina M.D.G.","Tropical Plant Pathology; 34(4); 256-260","Tropical Plant Pathology","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-56762009000400009&lang=pt" 
"S1982-56762009000400001-scl","Análise da herança da resistência a Puccinia psidii em progênies de híbridos interespecíficos de eucalipto avaliadas sob condições naturais de infecção","Teixeira, Juliana E.C., Guedes, Fernanda T.P., Dias, Donizete C., Bonine, César A.V., Camargo, Luis Eduardo A.","Tropical Plant Pathology; 34(4); 203-210","Tropical Plant Pathology","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-56762009000400001&lang=pt" 
"S1137-66272009000300005-esp","Análisis de la calidad de la información proporcionada a los pacientes por parte de unidades clínicas especializadas ambulatorias mediante análisis por modelos multinivel","Rodrigo, I., Viñes, J.J., Guillén-Grima, F.","Anales del Sistema Sanitario de Navarra; 32(2); 183-197","Anales del Sistema Sanitario de Navarra","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272009000300005&lang=pt" 
"S0103-49792009000200001-scl","Sociologia pública: engajamento e crítica social em debate","Braga, Ruy, Santana, Marco Aurélio","Caderno CRH; 22(56); 223-232","Caderno CRH","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792009000200001&lang=pt" 
"S0103-49792009000200002-scl","A sociologia pública em tempos de Barack Obama","Burawoy, Michael","Caderno CRH; 22(56); 233-244","Caderno CRH","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792009000200002&lang=pt" 
"S0103-49792009000200003-scl","A sociologia pública e o fim da sociedade","Touraine, Alain","Caderno CRH; 22(56); 245-254","Caderno CRH","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792009000200003&lang=pt" 
"S0103-49792009000200004-scl","Contra a sociologia pública: será ela a melhor forma de tornar a sociologia relevante?","Turner, Jonathan H.","Caderno CRH; 22(56); 255-269","Caderno CRH","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792009000200004&lang=pt" 
"S0103-49792009000200005-scl","A sociologia como profissão pública no Brasil","Schwartzman, Simon","Caderno CRH; 22(56); 271-279","Caderno CRH","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792009000200005&lang=pt" 
"S0103-49792009000200006-scl","Touraine, Burawoy, Gramsci: do social ao político","Mello e Silva, Leonardo","Caderno CRH; 22(56); 281-296","Caderno CRH","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792009000200006&lang=pt" 
"S0103-49792009000200008-scl","Sociologia e engajamento em Portugal: reflexões a partir do trabalho e do sindicalismo","Estanque, Elísio","Caderno CRH; 22(56); 311-324","Caderno CRH","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792009000200008&lang=pt" 
"S1415-54192009000400007-scl","Alteração da inclinação dos incisivos inferiores e ocorrência de recessão gengival","Closs, Luciane Q., Grehs, Betina, Raveli, Dirceu Barnabé, Rösing, Cassiano Kuchenbecker","Revista Dental Press de Ortodontia e Ortopedia Facial; 14(4); 66-73","Revista Dental Press de Ortodontia e Ortopedia Facial","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-54192009000400007&lang=pt" 
