"S0103-90162009000400008-scl","Minas-type fresh cheese developed from buffalo milk with addition of L. acidophilus","Marcatti, Bruna, Habitante, Ana Mônica Quinta Barbosa, Sobral, Paulo José do Amaral, Favaro-Trindade, Carmen Sílvia","Scientia Agricola; 66(4); 481-485","Scientia Agricola","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162009000400008&lang=pt" 
"S0034-76122009000400004-scl","Modelo de concepção e avaliação da estratégia de territórios","Figueirêdo Junior, Hugo Santana de, Abreu, Mônica Cavalcanti Sá de","Revista de Administração Pública; 43(4); 801-836","Revista de Administração Pública","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122009000400004&lang=pt" 
"S0038-23532009000400001-sza","Guest editorial: nanoscience and nanotechnology in South Africa","Cele, Leskey M., Ray, Suprakas Sinha, Coville, Neil J.","South African Journal of Science; 105(7-8); 242-242","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000400001&lang=pt" 
"S0038-23532009000400002-sza","Double-blind reviewing","","South African Journal of Science; 105(7-8); 242-242","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000400002&lang=pt" 
"S0038-23532009000400003-sza","SA vaccine trials launched, but future funding not secure","McKune, Craig","South African Journal of Science; 105(7-8); 243-244","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000400003&lang=pt" 
"S0038-23532009000400004-sza","Setting priorities for health spending in South Africa","Cherry, Michael","South African Journal of Science; 105(7-8); 245-246","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000400004&lang=pt" 
"S0038-23532009000400005-sza","Not real funding?","Rybicki, Ed","South African Journal of Science; 105(7-8); 246-246","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000400005&lang=pt" 
"S0038-23532009000400006-sza","A sputnik moment?The Natural Sciences and Humanities. An interview with Edward L. Ayers","Vale, Peter","South African Journal of Science; 105(7-8); 247-248","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000400006&lang=pt" 
"S0038-23532009000400007-sza","Animals and people","Avery, D. Margaret","South African Journal of Science; 105(7-8); 249-249","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000400007&lang=pt" 
"S0038-23532009000400008-sza","Turning folklore into an ethnomedicinal catalogue","Makunga, N.P.","South African Journal of Science; 105(7-8); 250-250","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000400008&lang=pt" 
"S0038-23532009000400009-sza","The influence of cation, anion and water content on the rate of formation and pore size distribution of zeolite ZSM-5","Petrik, L.","South African Journal of Science; 105(7-8); 251-257","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000400009&lang=pt" 
"S0038-23532009000400011-sza","Microstructure cantilever beam for current measurement","Mustafa, H.A.B., Khan, M.T.E.","South African Journal of Science; 105(7-8); 264-269","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000400011&lang=pt" 
"S0038-23532009000400012-sza","Carbon-nanostructured materials for energy generation and storage applications","Ndungu, P., Nechaev, A., Khotseng, L., Onyegebule, N., Davids, W., Mohammed, R., Vaivars, G., Linkov, V.","South African Journal of Science; 105(7-8); 270-275","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000400012&lang=pt" 
"S0038-23532009000400013-sza","Flat-topped emission centred at 1 250 nm from quantum dot superluminescent diodes","Childs, D., Groom, K.M., Ray, S.K., Liu, H.Y., Hopkinson, M., Hogg, R.A.","South African Journal of Science; 105(7-8); 276-277","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000400013&lang=pt" 
"S0038-23532009000400014-sza","Continuous production of carbon nanotubes and diamond films by swirled floating catalyst chemical vapour deposition method","Afolabi, A.S., Abdulkareem, A.S., Iyuke, S.E., van Zyl Pienaar, H.C.","South African Journal of Science; 105(7-8); 278-281","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000400014&lang=pt" 
"S0038-23532009000400015-sza","Second harmonic generation as a technique to probe buried interfaces","Neethling, P.H., Scheidt, T., Rohwer, E.G., von Bergmann, H.M., Stafast, H.","South African Journal of Science; 105(7-8); 282-284","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000400015&lang=pt" 
"S0038-23532009000400016-sza","Applicability of analytical protocols for the characterisation of carbon-supported platinum group metal fuel cell electrocatalysts","Williams, M., Khotseng, L., Naidoo, Q., Petrik, L., Nechaev, A., Linkov, V.","South African Journal of Science; 105(7-8); 285-289","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000400016&lang=pt" 
"S0038-23532009000400017-sza","Synthesis of nanocrystalline silicon thin films using the increase of the deposition pressure in the hot-wire chemical vapour deposition technique","Halindintwali, S., Knoesen, D., Swanepoel, R., Julies, B.A., Arendse, C., Muller, T., Theron, C.C., Gordijn, A., Bronsveld, P.C.P., Rath, J.K., Schropp, R.E.I.","South African Journal of Science; 105(7-8); 290-293","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000400017&lang=pt" 
"S0038-23532009000400018-sza","Numerical solution of multiband k·p model for tunnelling in type-II heterostructures","Botha, A.E.","South African Journal of Science; 105(7-8); 294-298","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000400018&lang=pt" 
"S0038-23532009000400020-sza","Synthesis and study of carbon microspheres for use as catalyst support for cobalt","Mhlanga, S.D., Mondal, K.C., Naidoo, N., Kunjuzwa, N., Witcomb, M.J., Coville, N.J.","South African Journal of Science; 105(7-8); 304-308","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000400020&lang=pt" 
"S0038-23532009000400021-sza","Circular dichroism as a means to follow DNA gymnastics: on the shoulders of giants","Mills, M., Lin, C., Chauhan, M., Klump, H.H.","South African Journal of Science; 105(7-8); 309-311","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000400021&lang=pt" 
"S0038-23532009000400022-sza","An assessment of the likely impact of strain-related phenotypic plasticity on hominin fossil species identification","Collard, M., Lycett, S.J.","South African Journal of Science; 105(7-8); 312-316","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000400022&lang=pt" 
"S0038-23532009000400023-sza","Biological survey of the Prince Edward Islands, December 2008","Cooper, J., Bester, M.N., Chown, S.L., Crawford, R.J.M., Daly, R., Heyns, E., Lamont, T., Ryan, P.G., Shaw, J.D.","South African Journal of Science; 105(7-8); 317-320","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000400023&lang=pt" 
"S1413-24782009000200002-scl","Quando a escrita ressignifica a vida: diários de um agricultor - uma prática de escrita &quot;masculina&quot;","Thies, Vania Grim, Peres, Eliane","Revista Brasileira de Educação; 14(41); 216-231","Revista Brasileira de Educação","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782009000200002&lang=pt" 
"S1413-24782009000200004-scl","Escolarização em assentamentos no estado de São Paulo: uma análise da Pesquisa Nacional de Educação na Reforma Agrária 2004","Di Pierro, Maria Clara, Andrade, Marcia Regina","Revista Brasileira de Educação; 14(41); 246-257","Revista Brasileira de Educação","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782009000200004&lang=pt" 
"S1413-24782009000200005-scl","Práticas e eventos de letramento em meios populares: uma análise das redes sociais de crianças de uma comunidade da periferia da cidade do Recife","Tavares, Ana Cláudia Ribeiro, Ferreira, Andréa Tereza Brito","Revista Brasileira de Educação; 14(41); 258-268","Revista Brasileira de Educação","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782009000200005&lang=pt" 
"S1413-24782009000200006-scl","Ensino-pesquisa-extensão: um exercício de indissociabilidade na pós-graduação","Moita, Filomena Maria Gonçalves da Silva Cordeiro, Andrade, Fernando Cézar Bezerra de","Revista Brasileira de Educação; 14(41); 269-280","Revista Brasileira de Educação","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782009000200006&lang=pt" 
"S1413-24782009000200008-scl","A socialização como fato social total: notas introdutórias sobre a teoria do habitus","Setton, Maria da Graça Jacintho","Revista Brasileira de Educação; 14(41); 296-307","Revista Brasileira de Educação","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782009000200008&lang=pt" 
"S1413-24782009000200009-scl","Liberalismos e educação: ou por que o Brasil não podia ir além de Mandeville","Ferraro, Alceu Ravanello","Revista Brasileira de Educação; 14(41); 308-325","Revista Brasileira de Educação","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782009000200009&lang=pt" 
"S1413-24782009000200010-scl","Educação de jovens e adultos na América Latina: políticas de melhoria ou de transformação; reflexões com vistas à VI CONFINTEA","Rodríguez, Lidia Mercedes","Revista Brasileira de Educação; 14(41); 326-334","Revista Brasileira de Educação","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782009000200010&lang=pt" 
"S1413-24782009000200012-scl","Educação de adultos na educação ao longo da vida: desenvolvimentos atuais e interdependentes na Alemanha e na Europa, a caminho da VI CONFINTEA","Hinzen, Heribert","Revista Brasileira de Educação; 14(41); 345-354","Revista Brasileira de Educação","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782009000200012&lang=pt" 
"S1413-24782009000200013-scl","A participação da sociedade civil brasileira na educação de jovens e adultos e na CONFINTEA VI","Haddad, Sérgio","Revista Brasileira de Educação; 14(41); 355-369","Revista Brasileira de Educação","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782009000200013&lang=pt" 
"S0100-67622009000400004-scl","Tratamentos para superação da dormência de sementes de Adenanthera pavonina L.","Rodrigues, Adriana Paula D&#039;Agostini Contreiras, Oliveira, Ademir Kleber Morbeck de, Laura, Valdemir Antônio, Yamamoto, Cristina Rumiko, Chermouth, Katyuce da Silva, Freitas, Mirianny Helena de","Revista Árvore; 33(4); 617-623","Revista Árvore","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622009000400004&lang=pt" 
"S1413-24782009000200007-scl","&quot;Discutir educação é discutir trabalho docente&quot;: o trabalho docente segundo dirigentes da Confederación de Trabajadores de la Educación de la República Argentina (CTERA)","Ferreira, Márcia Ondina Vieira","Revista Brasileira de Educação; 14(41); 281-295","Revista Brasileira de Educação","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782009000200007&lang=pt" 
"S0210-48062009000700010-esp","Papel actual de la fotovaporización prostática con Láser Greenlight HPS: Aspectos técnicos y revisión de la literatura","Capitán Manjón, Carlos, Morena Gallego, José M. de la, Peña Zarzuelo, Enrique de la, Gómez dos Santos, Victoria, Llorente Abarca, Carlos","Actas Urológicas Españolas; 33(7); 771-777","Actas Urológicas Españolas","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062009000700010&lang=pt" 
"S1516-84842009000400020-scl","Successful stem cell transplantation from an unrelated donor after an unrelated cord blood transplantation in an acute lymphocytic leukemia patient: searching for the graft versus leukemia effect","Hamerschlak, Nelson, Santos, Fabio P. S., Kutner, José Mauro, Ribeiro, Andreza A. F., Lima, Marcos de","Revista Brasileira de Hematologia e Hemoterapia; 31(4); 293-294","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842009000400020&lang=pt" 
"S1516-84842009000400019-scl","Não comparecimento de doadores inaptos sorológicos para repetição dos testes: o que fazer?","Garcia, Fernanda B., Moraes-Souza, Helio","Revista Brasileira de Hematologia e Hemoterapia; 31(4); 291-292","Revista Brasileira de Hematologia e Hemoterapia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842009000400019&lang=pt" 
"S1516-84842009000400006-scl","Analisador automático hematológico e a importância de validar novos equipamentos em laboratórios clínicos","Bacall, Nydia S.","Revista Brasileira de Hematologia e Hemoterapia; 31(4); 218-220","Revista Brasileira de Hematologia e Hemoterapia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842009000400006&lang=pt" 
