"S1405-22532009000100008-mex","Luis Aboites y Luis Jáuregui, Penuria sin fin. Historia de los impuestos en México siglos XVIII -XX","Quintanar Zárate, Iliana Marcela","América Latina en la historia económica; (31); 206-212","América Latina en la historia económica","Espanhol","2009","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-22532009000100008&lang=pt" 
"S0101-98802009000200001-scl","Análise da prevalência de entidades coloproctológicas nos pacientes idosos do serviço de coloproctologia de um hospital universitário","Martins, Juliana Ferreira, Rocha, Juliana Gonçalves, Miranda, Eron Fábio, Sartor, Maria Cristina, Steckert, Juliana Stradiotto, Steckert Filho, Alvaro, Guimarães, Paulo Ricardo Bittencourt, Kotze, Paulo Gustavo","Revista Brasileira de Coloproctologia; 29(2); 145-157","Revista Brasileira de Coloproctologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802009000200001&lang=pt" 
"S0120-338X2009000100008-col","DISCURSO DO LÚDICO NOS DISCURSOS SOBRE O LÚDICO","Lara Pimentel, Renata Marcelle, Gomes De Assis Pimentel, Giuliano","Forma y Función; 22(1); 161-179","Forma y Función","Português","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-338X2009000100008&lang=pt" 
"S0120-338X2009000100009-col","TOWARDS A CONCEPTUALIZATION OF THE TRANSLATOR’S LEGACY","Guzmán, María Constanza","Forma y Función; 22(1); 181-201","Forma y Función","Inglês","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-338X2009000100009&lang=pt" 
"S0120-338X2009000100004-col","PRONOMBRES DE FORMA: EL USO ANAFÓRICO DE MARCAS DE CLASE EN MIRAÑA","Seifart, Frank","Forma y Función; 22(1); 67-94","Forma y Función","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-338X2009000100004&lang=pt" 
"S0120-338X2009000100005-col","COMPONENTE CULTURAL, LIBROS DE TEXTO Y ENSEÑANZA DEL INGLÉS COMO LENGUA EXTRANJERA","Varón Páez, Martha Elizabeth","Forma y Función; 22(1); 95-124","Forma y Función","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-338X2009000100005&lang=pt" 
"S0120-338X2009000100006-col","LA DIMENSIÓN ARGUMENTATIVA DE LAS MEMORIAS DISCURSIVAS: EL CASO DE LOS DISCURSOS GOLPISTAS DE LA PRENSA ESCRITA ARGENTINA (1930-1976)","Vitale, María Alejandra","Forma y Función; 22(1); 125-144","Forma y Función","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-338X2009000100006&lang=pt" 
"S0120-338X2009000100007-col","DESSEMELHANÇA E EXPURGO DO OUTRO NO DEBATE ACERCA DO REBAIXAMENTO DA MAIORIDADE PENAL NO BRASIL: UMA ANÁLISE DISCURSIVA CRÍTICA (1930-1976)","de Melo Resende, Viviane","Forma y Función; 22(1); 145-159","Forma y Función","Português","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-338X2009000100007&lang=pt" 
"S0120-338X2009000100001-col","Forma y Función es una publicación semestral a partir del volumen 22","FLÓREZ ARCILA, RUBÉN DARÍO","Forma y Función; 22(1); 09-12","Forma y Función","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-338X2009000100001&lang=pt" 
"S0120-338X2009000100011-col","TRADUCCIÓN-INTERPRETACIÓN A LA LUZ DE LA IDIOSINCRASIA NACIONAL E IDIOMÁTICA","Iovenko, Valery","Forma y Función; 22(1); 227-235","Forma y Función","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-338X2009000100011&lang=pt" 
"S0120-338X2009000100013-col","Germán de Granda","MONTES GIRALDO, JOSÉ JOAQUÍN","Forma y Función; 22(1); 247-248","Forma y Función","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-338X2009000100013&lang=pt" 
"S0120-338X2009000100002-col","LA &quot;LEGITIMIDAD&quot; DEL ENUNCIADOR JURÍDICO EN LA LEY DE RADIODIFUSIÓN ARGENTINA (22285/80)","Callegaro, Adriana","Forma y Función; 22(1); 15-44","Forma y Función","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-338X2009000100002&lang=pt" 
