"S0104-44782009000200014-scl","Avolatilidade eleitoral nos estados sistema partidário e democracia no Brasil","Bohn, Simone R., Paiva, Denise","Revista de Sociologia e Política; 17(33); 187-208","Revista de Sociologia e Política","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782009000200014&lang=pt" 
"S0104-44782009000200004-scl","Integração e desenvolvimento no Mercosul: divergências e convergências nas políticas econômicas nos governos Lula e Kirchner","Vadell, Javier A., Lamas, Bárbara, Ribeiro, Daniela M. de F.","Revista de Sociologia e Política; 17(33); 39-54","Revista de Sociologia e Política","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782009000200004&lang=pt" 
"S0104-44782009000200008-scl","A reforma do setor elétrico no Brasil, Argentina e México: contrastes e perspectivas em debate","Leme, Alessandro André","Revista de Sociologia e Política; 17(33); 97-121","Revista de Sociologia e Política","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782009000200008&lang=pt" 
"S0365-66912009000600004-esp","Resultados postquirúrgicos en la cirugía combinada de glaucoma: Comparación del implante express con la trabeculectomía estándar","Gallego-Pinazo, R., López-Sánchez, E., Marín-Montiel, J.","Archivos de la Sociedad Española de Oftalmología; 84(6); 293-297","Archivos de la Sociedad Española de Oftalmología","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912009000600004&lang=pt" 
"S0212-16112009000300007-esp","Anthropometry of height, weight, arm, wrist, abdominal circumference and body mass index, for Bolivian adolescents 12 to 18 years: Bolivian adolescent percentile values from the MESA study","Baya Botti, A., Pérez-Cueto, F. J. A., Vasquez Monllor, P. A., Kolsteren, P. W.","Nutrición Hospitalaria; 24(3); 304-311","Nutrición Hospitalaria","Inglês","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112009000300007&lang=pt" 
"S1678-58782009000200009-scl","Comparing different plunge cylindrical grinding cycles based on workpiece roughness and process vibration","Pereira, Wanderley Xavier, Diniz, Anselmo Eduardo, Hassui, Amauri","Journal of the Brazilian Society of Mechanical Sciences and Engineering; 31(2); 161-166","Journal of the Brazilian Society of Mechanical Sciences and Engineering","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-58782009000200009&lang=pt" 
"S1678-58782009000200002-scl","Environmentally induced cracking of API grade steel in near-neutral pH soil","Bueno, A. H. S., Gomes, J. A. C. P.","Journal of the Brazilian Society of Mechanical Sciences and Engineering; 31(2); 97-104","Journal of the Brazilian Society of Mechanical Sciences and Engineering","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-58782009000200002&lang=pt" 
"S1678-58782009000200008-scl","Optimization of the cutting conditions (Vc, fz and doc) for burr minimization in face milling of mould steel","Silva, Jefferson Duarte, Saramago, Sezimaria de F. P., Machado, Álisson Rocha","Journal of the Brazilian Society of Mechanical Sciences and Engineering; 31(2); 151-160","Journal of the Brazilian Society of Mechanical Sciences and Engineering","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-58782009000200008&lang=pt" 
"S0365-66912009000600003-esp","El cálculo de la lente intraocular tras cirugía foto-refractiva corneal: Revisión de la literatura","Mesa-Gutiérrez, J.C., Ruiz-Lapuente, C.","Archivos de la Sociedad Española de Oftalmología; 84(6); 283-292","Archivos de la Sociedad Española de Oftalmología","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912009000600003&lang=pt" 
"S0716-27902009000100002-chl","Miguel Letelier Valdés Premio Nacional de Arte en Música 2008","Grandela del Rio, Julia","Revista musical chilena; 63(211); 7-20","Revista musical chilena","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-27902009000100002&lang=pt" 
"S0716-27902009000100003-chl","Catálogo de las obras musicales de Miguel Letelier Valdés","Grandela del Río, Julia","Revista musical chilena; 63(211); 21-24","Revista musical chilena","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-27902009000100003&lang=pt" 
"S0716-27902009000100004-chl","Miguel Letelier Valdés: a tres décadas de haberlo conocido","Vera Rivera, Santiago","Revista musical chilena; 63(211); 25-28","Revista musical chilena","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-27902009000100004&lang=pt" 
"S0716-27902009000100005-chl","Opiniones sobre Miguel Letelier Valdés","","Revista musical chilena; 63(211); 29-35","Revista musical chilena","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-27902009000100005&lang=pt" 
"S0716-27902009000100006-chl","Roberto Falabella: un músico y ser humano excepcional","Cassaretto, Delia R","Revista musical chilena; 63(211); 36-53","Revista musical chilena","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-27902009000100006&lang=pt" 
"S0716-27902009000100007-chl","El gesto instrumental y la voz cantada en la significación musical","Martinez Ulloa, Jorge","Revista musical chilena; 63(211); 54-65","Revista musical chilena","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-27902009000100007&lang=pt" 
