"S1851-300X2008000400008-arg","Evaluación en educación médica continua","","Revista argentina de dermatología; 89(4); 246-247","Revista argentina de dermatología","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-300X2008000400008&lang=pt" 
"S1851-30342008000500001-arg","TSH Normal Alta: Su relación con bajo HDL-Colesterol en mujeres con resistencia a la insulina con independencia de otros posibles factores concurrentes","Rezzónico, J, Rezzónico, M, Bringa, J, Pusiol, E","Revista argentina de endocrinología y metabolismo; 45(5); 195-205","Revista argentina de endocrinología y metabolismo","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-30342008000500001&lang=pt" 
"S1851-30342008000500002-arg","Supervisión del déficit de yodo en Salta Capital","Méndez, V., Chiesa, A., Prieto, L., Bergadá, R., Gruñeiro-Papendieck, L.","Revista argentina de endocrinología y metabolismo; 45(5); 206-213","Revista argentina de endocrinología y metabolismo","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-30342008000500002&lang=pt" 
"S1851-30342008000500003-arg","Metabolic Abnormalities in growth hormone deficiency","Lanes, Roberto","Revista argentina de endocrinología y metabolismo; 45(5); 214-223","Revista argentina de endocrinología y metabolismo","Inglês","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-30342008000500003&lang=pt" 
"S1851-30342008000500004-arg","PET-TC en Endocrinología","Parysow, O., Jager, V., Racioppi, S., Mollerach, A. M., Collaud, C., Arma, I.","Revista argentina de endocrinología y metabolismo; 45(5); 224-243","Revista argentina de endocrinología y metabolismo","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-30342008000500004&lang=pt" 
"S1851-30342008000500005-arg","Prof. Dr. Alberto B. Houssay: 30-10-1921 / 22-08-2008","Altschuler, Noé, Degrossi, Osvaldo J.","Revista argentina de endocrinología y metabolismo; 45(5); 244-245","Revista argentina de endocrinología y metabolismo","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-30342008000500005&lang=pt" 
"S0325-29572008000400001-arg","Decíamos ayer, decimos hoy","Castagnino, Juan Miguel, Torres, Alberto Nicolás","Acta bioquímica clínica latinoamericana; 42(4); 507-508","Acta bioquímica clínica latinoamericana","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-29572008000400001&lang=pt" 
"S0325-29572008000400003-arg","Establecimiento de intervalos de referencia en subpoblaciones linfocitarias por citometría de flujo","Jaldín-Fincati, Javier Roberto, Collino, César, Peralta, Silvia, Roland, Hugo, Chiabrando, Gustavo","Acta bioquímica clínica latinoamericana; 42(4); 529-538","Acta bioquímica clínica latinoamericana","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-29572008000400003&lang=pt" 
"S0325-29572008000400004-arg","Utilidad de los marcadores tumorales en líquidos de punción pleural","Curi, Susana Mercedes, Rocher, Adriana Esther, Paroni, Marcela, Suarez, Teresa, Palaoro, Luis Alberto, Rofrano, Jorge Alberto, Penzutti, Viviana","Acta bioquímica clínica latinoamericana; 42(4); 539-542","Acta bioquímica clínica latinoamericana","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-29572008000400004&lang=pt" 
"S0325-29572008000400005-arg","Factores de virulencia de cepas de Enterococcus aisladas de quesos ovinos","Marguet, Emilio Rogelio, Vallejo, Marisol, Olivera, Nelda Lila","Acta bioquímica clínica latinoamericana; 42(4); 543-548","Acta bioquímica clínica latinoamericana","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-29572008000400005&lang=pt" 
"S0325-29572008000400006-arg","Perfil de consumo de cocaína, cannabis y opiáceos en el laboratorio toxicológico CENATOXA","Quiroga, Patricia Noemí, Yohena, Isabel, Contartese, Cecilia Mariel, González, Herme, López, Clara Magdalena","Acta bioquímica clínica latinoamericana; 42(4); 549-555","Acta bioquímica clínica latinoamericana","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-29572008000400006&lang=pt" 
"S0325-29572008000400010-arg","Experiencia de verificación de la estabilidad de enzimas en suero y plasma durante 60 y 120 minutos","Calatayud-Ferre, Octavio, Juliá-Sanchis, María Lirios, Rodríguez-Borja, Enrique, López-Giner, Rosario, Ochoa-Ávila, Edecia","Acta bioquímica clínica latinoamericana; 42(4); 575-578","Acta bioquímica clínica latinoamericana","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-29572008000400010&lang=pt" 
"S0325-29572008000400002-arg","Glicosaminoglicanos en hemostasia: Acción del dermatán sulfato sobre el sistema fibrinolítico","Castañon, María Mercedes","Acta bioquímica clínica latinoamericana; 42(4); 509-528","Acta bioquímica clínica latinoamericana","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-29572008000400002&lang=pt" 
"S0325-29572008000400007-arg","Alteraciones hematológicas en pacientes con criptococosis asociada al sida","Trombetta, Luis, Bellido, Marta, Baiges, Dorotea, Valerga, Mario, Bava, Javier","Acta bioquímica clínica latinoamericana; 42(4); 557-560","Acta bioquímica clínica latinoamericana","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-29572008000400007&lang=pt" 
"S0325-29572008000400008-arg","Susceptibilidad de levaduras vaginales a los antifúngicos más utilizados en Maringá, Paraná, Brasil","Dalben Dota, Kelen Fátima, Shinobu, Cristiane Suemi, Patussi, Eliana Valéria, Lopes Consolaro, Marcia Edilaine, Estivalet Svidzinski, Terezinha Inez","Acta bioquímica clínica latinoamericana; 42(4); 561-566","Acta bioquímica clínica latinoamericana","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-29572008000400008&lang=pt" 
"S0325-29572008000400009-arg","Contaminación atmosférica y salud infantil en áreas urbanas e industriales de La Plata, Argentina","Massolo, Laura Andrea, Müller, Andrea, Herbarth, Olf, Ronco, Alicia Estela, Porta, Atilio Andrés","Acta bioquímica clínica latinoamericana; 42(4); 567-574","Acta bioquímica clínica latinoamericana","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-29572008000400009&lang=pt" 
"S0325-29572008000400011-arg","Control analítico-clínico de la hemodiálisis","Al Khayat, R., Lefèvre, G.","Acta bioquímica clínica latinoamericana; 42(4); 579-588","Acta bioquímica clínica latinoamericana","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-29572008000400011&lang=pt" 
"S0325-29572008000400012-arg","Evaluación externa de la calidad de mediciones de hemoglobina A2: datos de un estudio piloto italiano con muestras de sangre fresca y sistemas comerciales de HPLC","Paleari, Renata, Giambona, Antonino, Cannata, Monica, Leto, Filippo, Maggio, Aurelio, Mosca, Andrea","Acta bioquímica clínica latinoamericana; 42(4); 589-594","Acta bioquímica clínica latinoamericana","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-29572008000400012&lang=pt" 
"S0325-29572008000400013-arg","Biomedical Applications of Proteomics","","Acta bioquímica clínica latinoamericana; 42(4); 595-596","Acta bioquímica clínica latinoamericana","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-29572008000400013&lang=pt" 
"S1677-04202008000400006-scl","Level and distribution of 20-hydroxyecdysone during Pfaffia glomerata development","Festucci-Buselli, Reginaldo A., Contim, Luis A. S., Barbosa, Luiz Cláudio A., Stuart, Jeff J., Vieira, Roberto F., Otoni, Wagner C.","Brazilian Journal of Plant Physiology; 20(4); 305-311","Brazilian Journal of Plant Physiology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-04202008000400006&lang=pt" 
"S1677-04202008000400003-scl","Differential water uptake kinetics in axes and cotyledons during seed germination of Vigna radiata under chilling temperature and cycloheximide treatment","Chakraborty, R., Kar, R.K.","Brazilian Journal of Plant Physiology; 20(4); 277-284","Brazilian Journal of Plant Physiology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-04202008000400003&lang=pt" 
"S1677-04202008000400002-scl","Alterations in biochemical components in mesta plants infected with yellow vein mosaic disease","Chatterjee, Arpita, Ghosh, Subrata K.","Brazilian Journal of Plant Physiology; 20(4); 267-275","Brazilian Journal of Plant Physiology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-04202008000400002&lang=pt" 
