"S0718-27242016000100010-chl","Retos y Aprendizajes de Institutos de Investigación Transformadora","Aranguren, Mari Jose, Franco, Susana, Horta, Roberto, Silveira, Luis","Journal of technology management &amp; innovation; 11(1); 69-79","Journal of technology management &amp; innovation","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-27242016000100010&lang=pt" 
"S0187-893X2016000100059-mex","Uso de la plataforma socrative.com para alumnos de Química General","Frías, María Verónica, Arce, Christian, Flores-Morales, Patricio","Educación química; 27(1); 59-66","Educación química","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2016000100059&lang=pt" 
"S0187-893X2016000100074-mex","La cultura material en la cátedra y gabinete de Química de la Escuela Nacional Preparatoria a finales de siglo XIX","León Olivares, Felipe","Educación química; 27(1); 74-81","Educación química","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2016000100074&lang=pt" 
"S0187-893X2016000100043-mex","Estrategias didácticas en la enseñanza-aprendizaje: lúdica en el estudio de la nomenclatura química orgánica en alumnos de la Escuela Preparatoria Regional de Atotonilco","Zaragoza Ramos, Eduardo, Orozco Torres, Luis Mexitli, Macías Guzmán, José Oswaldo, Núñez Salazar, María Elena, Gutiérrez González, Raúl, Hernández Espinosa, Diógenes, Navarro Villarruel, Claudia Luz, de Alba Ritz, Marcela, Villalobos Díaz, Rosa Marisela, Gómez Torres, Norma Alicia, Cerda Vázquez, Rosario Isabel, Gutiérrez Hernández, Alma Delia, Pérez Aviña, Karla Anahí","Educación química; 27(1); 43-51","Educación química","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2016000100043&lang=pt" 
"S0187-893X2016000100003-mex","O papel da argumentação na mudança conceitual e suas relações com a epistemologia de Lakatos","Martins, Marina, Justi, Rosária, Mendonça, Paula Cristina Cardoso","Educación química; 27(1); 3-14","Educación química","Português","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2016000100003&lang=pt" 
"S1984-46702016000204001-scl","Humpback whale Megaptera novaeangliae (Cetartiodactyla: Balaenopteridae) group sizes in line transect ship surveys: An evaluation of observer errors","Bortolotto, Guilherme A., Danilewicz, Daniel, Andriolo, Artur, Zerbini, Alexandre N.","Zoologia (Curitiba); 33(2); -","Zoologia (Curitiba)","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702016000204001&lang=pt" 
"S0187-893X2016000100052-mex","Getting to the CoRe of it: A review of a specific PCK conceptual lens in science educational research","Lehane, Louise, Bertram, Adam","Educación química; 27(1); 52-58","Educación química","Inglês","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2016000100052&lang=pt" 
"S0187-893X2016000100030-mex","El diagrama de flujo como semáforo de seguridad ecológica de los experimentos de laboratorio","Vargas-Rodríguez, Yolanda Marina, Obaya Valdivia, Adolfo, Lima Vargas, Suemi, Hernández Escamilla, Anabel, Miranda Ruvalcaba, René, Vargas Rodríguez, Guadalupe Iveth","Educación química; 27(1); 30-36","Educación química","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2016000100030&lang=pt" 
"S0187-893X2016000100067-mex","La constitución de la química como disciplina en Argentina, México y Colombia: un estudio comparado","Matharan, Gabriel Augusto","Educación química; 27(1); 67-73","Educación química","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2016000100067&lang=pt" 
"S1984-46702016000200501-scl","Carbon primary sources and estuarine habitat use by two congeneric ariid catfishes in a subtropical coastal lagoon","Pereyra, Paula E.R., Mont&#039;Alverne, Renata, Garcia, Alexandre M.","Zoologia (Curitiba); 33(2); -","Zoologia (Curitiba)","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702016000200501&lang=pt" 
"S0718-27242016000100006-chl","¿Es Compatible la Educación a Distancia con la Pedagogía Ignaciana?","Diaz Duran, Mario E","Journal of technology management &amp; innovation; 11(1); 36-47","Journal of technology management &amp; innovation","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-27242016000100006&lang=pt" 
