"S1984-02922008000100025-scl","O exercício do estudar nos cursinhos destinados aos concursos públicos","Luz, Leonardo Del Puppo, Silva, Camila Mariani","Fractal : Revista de Psicologia; 20(1); 285-303","Fractal : Revista de Psicologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-02922008000100025&lang=pt" 
"S1806-83242008000200001-scl","Clinical trial registration: now required","Lotufo, Mônica Andrade","Brazilian Oral Research; 22(2); 99-99","Brazilian Oral Research","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242008000200001&lang=pt" 
"S1806-83242008000200005-scl","Optimizing the procedure for mercury recovery from dental amalgam","Iano, Flávia Godoy, Santos Sobrinho, Ovídio dos, Silva, Thelma Lopes da, Pereira, Marlus Alves, Figueiredo, Paulo Jorge Moraes, Alberguini, Leny Borghesan Albertini, Granjeiro, José Mauro","Brazilian Oral Research; 22(2); 119-124","Brazilian Oral Research","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242008000200005&lang=pt" 
"S1806-83242008000200004-scl","In vitro toothbrushing abrasion of dental resin composites: packable, microhybrid, nanohybrid and microfilled materials","Moraes, Rafael Ratto de, Ribeiro, Daiane dos Santos, Klumb, Mirian Margarete, Brandt, William Cunha, Correr-Sobrinho, Lourenço, Bueno, Márcia","Brazilian Oral Research; 22(2); 112-118","Brazilian Oral Research","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242008000200004&lang=pt" 
"S1806-83242008000200002-scl","Anatomic variation of cranial parasympathetic ganglia","Siéssere, Selma, Vitti, Mathias, Sousa, Luiz Gustavo de, Semprini, Marisa, Iyomasa, Mamie Mizusaki, Regalo, Simone Cecílio Hallak","Brazilian Oral Research; 22(2); 101-105","Brazilian Oral Research","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242008000200002&lang=pt" 
"S1806-83242008000200015-scl","Bone regeneration in cranioplasty and clinical complications in rabbits with alloxan-induced diabetes","Vieira, Evanice Menezes Marçal, Ueno, Camila Satie Ferreira, Valva, Vivian Neves, Goulart, Maria das Graças Vilela, Nogueira, Terezinha de Oliveira, Gomes, Mônica Fernandes","Brazilian Oral Research; 22(2); 184-191","Brazilian Oral Research","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242008000200015&lang=pt" 
"S1806-83242008000200014-scl","In vitro evaluation of the effect of natural orange juices on dentin morphology","Zandim, Daniela Leal, Corrêa, Fernanda Oliveira Bello, Rossa Júnior, Carlos, Sampaio, José Eduardo Cezar","Brazilian Oral Research; 22(2); 176-183","Brazilian Oral Research","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242008000200014&lang=pt" 
"S1806-83242008000200013-scl","Influence of intrapulpal pressure simulation on the bond strength of adhesive systems to dentin","Cardoso, Marcio Vivan, Moretto, Simone Gonçalves, Carvalho, Rubens Côrte Real de, Russo, Eliza Maria Agueda","Brazilian Oral Research; 22(2); 170-175","Brazilian Oral Research","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242008000200013&lang=pt" 
"S1806-83242008000200006-scl","In vitro integrity of implant external hexagon after application of surgical placement torque simulating implant locking","Davi, Letícia Resende, Golin, Alexsander Luiz, Bernardes, Sérgio Rocha, Araújo, Cleudmar Amaral de, Neves, Flávio Domingues","Brazilian Oral Research; 22(2); 125-131","Brazilian Oral Research","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242008000200006&lang=pt" 
"S1806-83242008000200007-scl","Scanning electron microscopic study of the in situ effect of salivary stimulation on erosion and abrasion in human and bovine enamel","Rios, Daniela, Honório, Heitor Marques, Magalhães, Ana Carolina, Silva, Salete Moura Bonifácio da, Delbem, Alberto Carlos Botazzo, Machado, Maria Aparecida de Andrade Moreira, Buzalaf, Marília Afonso Rabelo","Brazilian Oral Research; 22(2); 132-138","Brazilian Oral Research","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242008000200007&lang=pt" 
"S1806-83242008000200009-scl","Metronidazole-containing gel for the treatment of periodontitis: an in vivo evaluation","Sato, Sandra, Fonseca, Maria José Vieira, Ciampo, José Orestes Del, Jabor, José Roberto, Pedrazzi, Vinícius","Brazilian Oral Research; 22(2); 145-150","Brazilian Oral Research","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242008000200009&lang=pt" 
