"S0718-07052016000100021-chl","Diarios de bicicleta: procesos educativos vivenciados en la Ruta de las Emociones","Gonçalves-Junior, Luiz, Aparecida Corrêa, Denise, da Silva Carmo, Clayton, Toro Arévalo, Sergio","Estudios pedagógicos (Valdivia); 42(1); 323-337","Estudios pedagógicos (Valdivia)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07052016000100021&lang=pt" 
"S0718-07052016000100022-chl","Limitaciones y posibilidades de la pedagogía intercultural para niños indígenas","Lennon del Villar, Oscar","Estudios pedagógicos (Valdivia); 42(1); 339-353","Estudios pedagógicos (Valdivia)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07052016000100022&lang=pt" 
"S0101-73302016005004101-scl","&quot;EU GANHEI MAIS O GOSTO DE ESTUDAR&quot;: O  E-LEARNING COMO UM MEIO DE APRENDIZAGEM AO LONGO DA VIDA DE RECLUSAS DE UM ESTABELECIMENTO PRISIONAL PORTUGUÊS","Monteiro, Angélica, Leite, Carlinda, Barros, Rita","Educação &amp; Sociedade; (ahead); -","Educação &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302016005004101&lang=pt" 
"S1676-06032016000400304-scl","Ichthyofauna of the humid forest enclaves in the tablelands of Ibiapaba and Araripe, Northeastern Brazil","Rodrigues-Filho, Carlos Alberto de Sousa, Gurgel-Lourenço, Ronaldo César, Bezerra, Luis Artur Valões, Sousa, Wallace Alves de, Garcez, Danielle Sequeira, Lima, Sergio Maia Queiroz, Ramos, Telton Pedro Anselmo, Sánchez-Botero, Jorge Iván","Biota Neotropica; 16(4); -","Biota Neotropica","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032016000400304&lang=pt" 
"S0718-07052016000100018-chl","Cambio representational en los padres: reconstrucción de teorías subjetivas de la prevención del consumo de drogas en los hijos e hijas","Cuadra Martínez, David","Estudios pedagógicos (Valdivia); 42(1); 283-298","Estudios pedagógicos (Valdivia)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07052016000100018&lang=pt" 
"S0718-07052016000100015-chl","Narrativas de identidad afectivo-sexual LGTB en contextos escolares: el aparecer frente al Otro","Ramírez Pavelic, Mónica, Contreras Salinas, Sylvia","Estudios pedagógicos (Valdivia); 42(1); 235-254","Estudios pedagógicos (Valdivia)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07052016000100015&lang=pt" 
"S0718-07052016000100012-chl","Positividad y Negatividad emocional: influencia en los procesos de aprendizajes","Pacheco Hernández, Patricio","Estudios pedagógicos (Valdivia); 42(1); 187-207","Estudios pedagógicos (Valdivia)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07052016000100012&lang=pt" 
"S0718-07052016000100008-chl","Diferencias de género y edad en rechazo escolar en una muestra de adolescentes chilenos","García Fernández, José Manuel, Inglés, Cándido J, Lagos San Martín, Nelly, Gonzálvez, Carolina, Vicent, María, Gómez Núñez, María Isabel","Estudios pedagógicos (Valdivia); 42(1); 127-137","Estudios pedagógicos (Valdivia)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07052016000100008&lang=pt" 
"S0718-07052016000100023-chl","Aproximación al estudio del desarrollo educativo desde los Ayuntamientos y en el contexto español","Muñoz Moreno, José Luís","Estudios pedagógicos (Valdivia); 42(1); 355-366","Estudios pedagógicos (Valdivia)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07052016000100023&lang=pt" 
"S0718-07052016000100019-chl","Gestión de sí y educación del cuerpo en contexto: perspectivas y tensiones de la educación Argentina","Emiliozzi, María Valeria","Estudios pedagógicos (Valdivia); 42(1); 299-309","Estudios pedagógicos (Valdivia)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07052016000100019&lang=pt" 
"S0718-07052016000100020-chl","Tendencias curriculares en educación química (1950-1990)","Faúndez-Vallejos, Nora","Estudios pedagógicos (Valdivia); 42(1); 311-321","Estudios pedagógicos (Valdivia)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07052016000100020&lang=pt" 
"S0718-07052016000100013-chl","Metodología docente y de evaluación en el nuevo espacio de convergencia europea para la formación del docente de Educación Secundaria","Pegalajar Palomino, Mª del Carmen","Estudios pedagógicos (Valdivia); 42(1); 209-222","Estudios pedagógicos (Valdivia)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07052016000100013&lang=pt" 
"S0718-07052016000100001-chl","Consecuencias de la diferencia de edad en el aula: Un estudio observacional en niños y niñas de cuatro años","Abelairas-Gómez, Cristian, Silva-Piñeiro, Roberto, Barcala-Furelos, Roberto, Estraviz-Martínez, Paula, Dosil-Díaz, Joaquín","Estudios pedagógicos (Valdivia); 42(1); 7-16","Estudios pedagógicos (Valdivia)","Inglês, Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07052016000100001&lang=pt" 
"S0718-07052016000100005-chl","Formación del profesorado universitario, evaluación de la actividad docente, recursos y promoción profesional","Díaz Martín, William","Estudios pedagógicos (Valdivia); 42(1); 65-85","Estudios pedagógicos (Valdivia)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07052016000100005&lang=pt" 
"S0101-73302016005004103-scl","ESCRITÓRIOS TÉCNICOS DAS UNIVERSIDADES BRASILEIRAS","Buffa, Ester, Pinto, Gelson de Almeida","Educação &amp; Sociedade; (ahead); -","Educação &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302016005004103&lang=pt" 
"S0718-07052016000100004-chl","Predisposición desfavorable hacia el aprendizaje de las Matemáticas: una propuesta para su medición","Cerda, Gamal, Ortega Ruiz, Rosario, Casas, José Antonio, del Rey, Rosario, Pérez, Carlos","Estudios pedagógicos (Valdivia); 42(1); 53-63","Estudios pedagógicos (Valdivia)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07052016000100004&lang=pt" 
"S1516-31802016005012101-scl","Liver failure following biliopancreatic diversions: a narrative review","Cazzo, Everton, Pareja, José Carlos, Chaim, Elinton Adami","Sao Paulo Medical Journal; (ahead); -","Sao Paulo Medical Journal","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31802016005012101&lang=pt" 
"S0718-07052016000100009-chl","&quot;¿Cómo hablan y escriben mis alumnos?&quot;: Concepciones lingüístico-educativas de docentes de nivel primario","Iparraguirre, María Sol, Scheuer, Nora","Estudios pedagógicos (Valdivia); 42(1); 139-158","Estudios pedagógicos (Valdivia)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07052016000100009&lang=pt" 
