"S1413-86702008000200002-scl","Congenital toxoplasmosis: public health policy concerns","Vanni, Tazio, Ribeiro, Rodrigo A., Varella, Ivana S., Polanczyk, Carisi A., Fonseca, Benedito A. L., Kuchenbecker, Ricardo","Brazilian Journal of Infectious Diseases; 12(2); 107-107","Brazilian Journal of Infectious Diseases","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702008000200002&lang=pt" 
"S1517-86922008000200009-scl","Concordância entre as medidas de peso e estatura mensuradas e auto-referidas para o diagnóstico do estado nutricional de idosos residentes no sul do Brasil","Rech, Cassiano Ricardo, Petroski, Edio Luiz, Böing, Othmar, Babel Júnior, Rubens José, Soares, Manoela Regina","Revista Brasileira de Medicina do Esporte; 14(2); 126-131","Revista Brasileira de Medicina do Esporte","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922008000200009&lang=pt" 
"S1806-37132008000400002-scl","Acampamento educacional para crianças asmáticas","Costa, Maria do Rosario da Silva Ramos, Oliveira, Maria Alenita, Santoro, Ilka Lopes, Juliano, Yara, Pinto, José Rosado, Fernandes, Ana Luisa Godoy","Jornal Brasileiro de Pneumologia; 34(4); 191-195","Jornal Brasileiro de Pneumologia","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132008000400002&lang=pt" 
"S1806-37132008000400005-scl","Fluxo de saída de oxigênio fornecido por reanimadores manuais com balão auto-inflável em pacientes com ventilação espontânea","Godoy, Armando Carlos Franco de, Vieira, Ronan José, Vieira Neto, Ronan José","Jornal Brasileiro de Pneumologia; 34(4); 212-216","Jornal Brasileiro de Pneumologia","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132008000400005&lang=pt" 
"S1806-37132008000400003-scl","Prevalência de transtornos emocionais e comportamentais em adolescentes com asma","Alvim, Cristina Gonçalves, Ricas, Janete, Camargos, Paulo Augusto Moreira, Lasmar, Laura Maria Belizário de Lima Facury, Andrade, Cláudia Ribeiro de, Ibiapina, Cássio da Cunha","Jornal Brasileiro de Pneumologia; 34(4); 196-204","Jornal Brasileiro de Pneumologia","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132008000400003&lang=pt" 
"S0365-66912008000400008-esp","Estudio comparativo de los efectos de dos drogas antiglaucomatosas sobre el espesor corneal en conejos con autoinjerto de córnea","Chiaradia, P.A., Casiraghi, J.F., Fischbarg, J., Lavena, P.I.","Archivos de la Sociedad Española de Oftalmología; 83(4); 257-262","Archivos de la Sociedad Española de Oftalmología","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912008000400008&lang=pt" 
"S0365-66912008000400011-esp","Macrovasos congénitos retinianos: un hallazgo casual","Pérez-Carro, G., Miranda-Rollón, M., Junceda-Moreno, C., Álvarez-Sánchez, M., Junceda-Moreno, J.","Archivos de la Sociedad Española de Oftalmología; 83(4); 273-276","Archivos de la Sociedad Española de Oftalmología","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912008000400011&lang=pt" 
"S0365-66912008000400014-esp","","Pastor-Nieto, M.ª Begoña","Archivos de la Sociedad Española de Oftalmología; 83(4); 283-284","Archivos de la Sociedad Española de Oftalmología","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912008000400014&lang=pt" 
"S1413-70542008000200049-scl","Microrganismos associados a frutos de diferentes cultivares de noz Pecan","Terabe, Nádia Izumi, Martins, Cristiane Moreno, Homechin, Martin","Ciência e Agrotecnologia; 32(2); 659-662","Ciência e Agrotecnologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000200049&lang=pt" 
"S1413-70542008000200006-scl","Desenvolvimento de cafeeiros enxertados &#039;Apoatã IAC 2258&#039; cultivados em recipiente de 250 litros","Dias, Fábio Pereira, Mendes, Antônio Nazareno Guimarães, Vallone, Haroldo Silva, Carvalho, Alex Mendonça de, Carvalho, Samuel Pereira de","Ciência e Agrotecnologia; 32(2); 385-390","Ciência e Agrotecnologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000200006&lang=pt" 
"S1413-70542008000200034-scl","Comportamento agronômico de populações de azevém anual (Lolium multiflorum L.) para cultivo invernal na região sudeste","Pereira, Antonio Vander, Mittelmann, Andréa, Ledo, Francisco José da Silva, Souza Sobrinho, Fausto de, Auad, Alexander Machado, Oliveira, Jackson Silva e","Ciência e Agrotecnologia; 32(2); 567-572","Ciência e Agrotecnologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000200034&lang=pt" 
"S1413-70542008000200047-scl","Flutuação populacional da mesofauna em fragmentos de mata na região de Dourados - MS","Mussury, Rosilda Mara, Scalon, Silvana de Paula Quintão, Gomes, Ana Amélia, Batista, Marcela Renata, Scalon Filho, Homero","Ciência e Agrotecnologia; 32(2); 645-650","Ciência e Agrotecnologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542008000200047&lang=pt" 
