"S0100-29452008000100024-scl","A comercialização de uvas finas na região de Jales - SP","Costa, Sílvia Maria Almeida Lima, Gomes, Marcos Roberto Lacerda, Tarsitano, Maria Aparecida Anselmo","Revista Brasileira de Fruticultura; 30(1); 127-132","Revista Brasileira de Fruticultura","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452008000100024&lang=pt" 
"S0100-29452008000100025-scl","Volatilidad de precios internacionales recibidos por los productores de kiwis y manzanas frescas chilenas","Andrade, Germán Lobos, Petri, José Luiz","Revista Brasileira de Fruticultura; 30(1); 133-139","Revista Brasileira de Fruticultura","Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452008000100025&lang=pt" 
"S0100-29452008000100027-scl","Comportamento vegetativo e produtivo de videiras &#039;Cabernet sauvignon&#039; cultivadas sob cobertura plástica","Mota, Clenilso Sehnen, Amarante, Cassandro Vidal Talamini do, Santos, Henrique Pessoa dos, Zanardi, Odimar Zanuzo","Revista Brasileira de Fruticultura; 30(1); 148-153","Revista Brasileira de Fruticultura","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452008000100027&lang=pt" 
"S0100-29452008000100028-scl","Characterization of sour (Prunus cerasus L.) and sweet cherry (Prunus avium L.) varieties with five isozyme systems","Corts, Remedios Morales, Rodrigues, Luciano Cordeiro, Marcide, Jesús Maria Ortíz, Sánches, Rodrigo Pérez","Revista Brasileira de Fruticultura; 30(1); 154-158","Revista Brasileira de Fruticultura","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452008000100028&lang=pt" 
"S0100-29452008000100030-scl","Efeito de porta-enxertos e espaçamentos entre plantas na qualidade de pêssegos &#039;Aurora-1&#039;","Mathias, Carolina, Mayer, Newton Alex, Mattiuz, Ben-Hur, Pereira, Fernando Mendes","Revista Brasileira de Fruticultura; 30(1); 165-170","Revista Brasileira de Fruticultura","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452008000100030&lang=pt" 
"S0100-29452008000100034-scl","Comportamento pós-colheita de frutos de morangueiro após a aplicação pré-colheita de quitosana e acibenzolar-S-metil","Mazaro, Sergio Miguel, Deschamps, Cícero, May de Mio, Louise Larissa, Biasi, Luiz Antônio, Gouvea, Alfredo de, Sautter, Claudia Kaehler","Revista Brasileira de Fruticultura; 30(1); 185-190","Revista Brasileira de Fruticultura","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452008000100034&lang=pt" 
"S0100-29452008000100037-scl","Evaluation of Xylella fastidiosa genetic diversity by fAFPL markers","Kishi, Luciano Takeshi, Wickert, Ester, Lemos, Eliana Gertrudes de Macedo","Revista Brasileira de Fruticultura; 30(1); 202-208","Revista Brasileira de Fruticultura","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452008000100037&lang=pt" 
"S0100-29452008000100042-scl","Comportamento da laranjeira &#039;Valência&#039; sobre seis porta-enxertos no noroeste do Paraná","Auler, Pedro Antonio Martins, Fiori-Tutida, Ana Cristina Grade, Tazima, Zuleide Hissano","Revista Brasileira de Fruticultura; 30(1); 229-234","Revista Brasileira de Fruticultura","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452008000100042&lang=pt" 
"S0100-29452008000100043-scl","Diferentes ambientes e substratos na formação de mudas de araticum","Cavalcante, Tadeu Robson Melo, Naves, Ronaldo Veloso, Seraphin, José Carlos, Carvalho, Glaucilene Duarte","Revista Brasileira de Fruticultura; 30(1); 235-240","Revista Brasileira de Fruticultura","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452008000100043&lang=pt" 
"S0100-29452008000100004-scl","Concentrações de ácido indolbutírico e tipos de substrato na propagação vegetativa de lichia","Smarsi, Ronny Clayton, Chagas, Edvan Alves, Reis, Luis Lessi dos, Oliveira, Gabriella Ferreira de, Mendonça, Vander, Tropaldi, Leandro, Pio, Rafael, Scarpare Filho, João Alexio","Revista Brasileira de Fruticultura; 30(1); 7-11","Revista Brasileira de Fruticultura","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452008000100004&lang=pt" 
"S0100-29452008000100052-scl","Porta-Enxertos para a cultura do pêssegueiro do terceiro milênio","Loreti, Filiberto","Revista Brasileira de Fruticultura; 30(1); 274-284","Revista Brasileira de Fruticultura","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452008000100052&lang=pt" 
"S0102-33062008000100001-scl","Editorial","","Acta Botanica Brasilica; 22(1); -","Acta Botanica Brasilica","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062008000100001&lang=pt" 
"S0102-33062008000100015-scl","Palinomorfos de fungos e criptógamas em sedimentos quaternários de duas matas com Araucária, Planalto leste do Rio Grande do Sul, Brasil","Scherer, Caroline, Lorscheitter, Maria Luisa","Acta Botanica Brasilica; 22(1); 131-144","Acta Botanica Brasilica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062008000100015&lang=pt" 
"S0102-33062008000100023-scl","Análise estrutural de folhas de Eugenia uniflora L. (Myrtaceae) coletadas em ambientes rural e urbano, SP, Brasil","Alves, Edenise Segala, Tresmondi, Fernanda, Longui, Eduardo Luiz","Acta Botanica Brasilica; 22(1); 241-248","Acta Botanica Brasilica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062008000100023&lang=pt" 
"S0101-98802008000100020-scl","Resumo de artigos","Pandini, Luis Cláudio","Revista Brasileira de Coloproctologia; 28(1); 127-129","Revista Brasileira de Coloproctologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802008000100020&lang=pt" 
"S0101-98802008000100019-scl","Indicações da vacina contra o papilomavirus humano","Nadal, Luis Roberto Manzione, Nadal, Sidney Roberto","Revista Brasileira de Coloproctologia; 28(1); 124-126","Revista Brasileira de Coloproctologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802008000100019&lang=pt" 
"S0101-98802008000100018-scl","A Biologia molecular das doenças inflamatórias intestinais","Pinho, Mauro","Revista Brasileira de Coloproctologia; 28(1); 119-123","Revista Brasileira de Coloproctologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802008000100018&lang=pt" 
"S0101-98802008000100015-scl","Manifestação incomum do câncer colorretal: relato de caso","Mendonça, Cláudio Ferreira, Diogo Filho, Augusto, Lima, Diogo Almeida, Santos, Luciano Batista Silveira, Dias, Carla Corrêa Lima","Revista Brasileira de Coloproctologia; 28(1); 99-103","Revista Brasileira de Coloproctologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802008000100015&lang=pt" 
"S0101-98802008000100005-scl","Doença de Crohn: fatores de risco para recidiva no pós-operatório","Albuquerque, Idblan Carvalho de, Carvalho, Rodrigo Britto de, Lopes, Juliana Magalhães, Pincinato, André Luigi, Monteiro, Elisângela Plazas, Formiga, Galdino José Sitonio","Revista Brasileira de Coloproctologia; 28(1); 36-39","Revista Brasileira de Coloproctologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802008000100005&lang=pt" 
"S0101-98802008000100003-scl","Correlação entre a sensibilidade retal e reflexo inibitório reto-anal com avaliação quantitativa do esvaziamento retal em megacólon adquirido","Fang, Chia Bin, Klug, Wilmar Artur, Ortiz, Jorge Alberto, Capelhuchnik, Peretz","Revista Brasileira de Coloproctologia; 28(1); 26-30","Revista Brasileira de Coloproctologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802008000100003&lang=pt" 
