"S0074-02762008000100010-scl","Aedes aegypti, Aedes albopictus, and dengue in Argentina: current knowledge and future directions","Vezzani, Darío, Carbajo, Aníbal E","Memórias do Instituto Oswaldo Cruz; 103(1); 66-74","Memórias do Instituto Oswaldo Cruz","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762008000100010&lang=pt" 
"S0074-02762008000100018-scl","First visceral leishmaniasis focus in Argentina","Salomon, OD, Sinagra, A, Nevot, MC, Barberian, G, Paulin, P, Estevez, JO, Riarte, Adelina, Estevez, J","Memórias do Instituto Oswaldo Cruz; 103(1); 109-111","Memórias do Instituto Oswaldo Cruz","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762008000100018&lang=pt" 
"S1519-566X2008000100013-scl","Ocorrência de Stethorus (Stehtorus) minutalus Gordon &amp; Chapin (Coleoptera: Coccinellidae) predando Bemisia tabaci biótipo B (Hemiptera: Aleyrodidae) em algodoeiro no Brasil","Silva, Leonardo D., Bonani, Jean P.","Neotropical Entomology; 37(1); 86-88","Neotropical Entomology","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2008000100013&lang=pt" 
"S1519-566X2008000100012-scl","Biologia comparada de populações de Aedes (Stegomyia) aegypti (L.) (Diptera: Culicidae) da Paraíba","Beserra, Eduardo B., Castro Jr, Francisco P. de","Neotropical Entomology; 37(1); 81-85","Neotropical Entomology","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2008000100012&lang=pt" 
"S1519-566X2008000100009-scl","Liothrips tractabilis sp.n. (Thysanoptera: Phlaeothripinae) from Argentina, a potential biocontrol agent of Weedy Campuloclinium macrocephalum (Asteraceae) in South Africa","Mound, Laurence A., Pereyra, Veronica","Neotropical Entomology; 37(1); 63-67","Neotropical Entomology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2008000100009&lang=pt" 
"S1519-566X2008000100007-scl","Synonymy of Plotococcus Miller &amp; Denno with Leptococcus Reyne, and description of a new species from Colombia (Hemiptera: Pseudococcidae)","Kondo, Takumasa, Gullan, Penny J.","Neotropical Entomology; 37(1); 51-57","Neotropical Entomology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2008000100007&lang=pt" 
"S1519-566X2008000100011-scl","","Delfino, Miguel A., Buffa, Liliana M.","Neotropical Entomology; 37(1); 74-80","Neotropical Entomology","Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2008000100011&lang=pt" 
"S1519-566X2008000100014-scl","Outbreaks of Trialeurodes vaporariorum (West.) (Hemiptera: Aleyrodidae) under field conditions in the State of São Paulo, Brazil","Lourenção, André L., Alves, André C., Fugi, Cristina G.Q., Matos, Evandro S.","Neotropical Entomology; 37(1); 89-91","Neotropical Entomology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2008000100014&lang=pt" 
"S1519-566X2008000100015-scl","Occurrence of Physoclypeus farinosus Hendel (Diptera: Lauxaniidae) in flowerheads of Asteraceae (Asterales)","Silva, Vera C., Mello, Ramon L.","Neotropical Entomology; 37(1); 92-96","Neotropical Entomology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2008000100015&lang=pt" 
"S1519-566X2008000100016-scl","New host-plant records for neotropical agromyzids (Diptera: Agromyzidae) from Asteraceae flower heads","Braun, Marina R., Almeida-Neto, Mário, Loyola, Rafael D., Prado, Angelo P., Lewinsohn, Thomas M.","Neotropical Entomology; 37(1); 97-99","Neotropical Entomology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2008000100016&lang=pt" 
"S1519-566X2008000100017-scl","Ocorrência de Euetheola humilis (Burmeister) (Coleoptera: Scarabaeidae) em Eucalyptus saligna Smith (Myrtaceae), no Rio Grande do Sul","Bernardi, Oderlei, Garcia, Mauro S., Cunha, Uemerson S. da, Back, Evandro C.U., Bernardi, Daniel, Ramiro, Glodoaldo A., Finkenauer, Elder","Neotropical Entomology; 37(1); 100-103","Neotropical Entomology","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2008000100017&lang=pt" 
"S1519-566X2008000100018-scl","Flebotomíneos (Diptera: Psychodidae) coletados com armadilha malaise no Centro-Oeste de Minas Gerais","Andrade-Filho, José D., Oliveira, Roberto C. de, Fonseca, Alysson R.","Neotropical Entomology; 37(1); 104-106","Neotropical Entomology","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2008000100018&lang=pt" 
