"S0102-311X2007001200026-spa","Entre fetichismo e sobrevivência: o artigo científico é uma mercadoria acadêmica?","Castiel, Luis David, Sanz-Valero, Javier","Cadernos de Saúde Pública; 23(12); 3041-3050","Cadernos de Saúde Pública","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2007001200026&lang=pt" 
"S0101-41612007000400004-scl","Impactos da volatilidade da taxa de câmbio no comércio setorial do Mercosul","Bittencourt, Mauricio V. L., Larson, Donald W., Thompson, Stanley R.","Estudos Econômicos (São Paulo); 37(4); 791-816","Estudos Econômicos (São Paulo)","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-41612007000400004&lang=pt" 
"S0100-15742007000300014-scl","Teorias e práticas de letramento","","Cadernos de Pesquisa; 37(132); 805-805","Cadernos de Pesquisa","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742007000300014&lang=pt" 
"S1516-35982007000900017-scl","Efeito da nutrição da ovelha e do cordeiro sobre o perfil de ácidos graxos do músculo Triceps brachii de cordeiros","Gallo, Sarita Bonagurio, Siqueira, Edson Ramos de, Rosa, Gilberto Teixeira da","Revista Brasileira de Zootecnia; 36(6); 2069-2073","Revista Brasileira de Zootecnia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982007000900017&lang=pt" 
"S1676-26492007000400003-scl","Epilepsia refratária: repercussões na qualidade de vida da criança e de seu cuidador","Schlindwein-Zanini, Rachel, Portuguez, Mirna Wetters, Costa, Danielle I., Marroni, Sabine, Costa, Jaderson Costa da","Journal of Epilepsy and Clinical Neurophysiology; 13(4); 159-162","Journal of Epilepsy and Clinical Neurophysiology","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-26492007000400003&lang=pt" 
"S0103-65132007000300001-scl","Editorial","Paladini, Edson Pacheco, Ribeiro, José Luís Duarte, Ho, Linda Lee","Production; 17(3); -","Production","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132007000300001&lang=pt" 
"S0103-65132007000300002-scl","Current research on profile monitoring","Woodall, William H.","Production; 17(3); 420-425","Production","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132007000300002&lang=pt" 
"S0103-65132007000300008-scl","Avaliação da prevenção de falhas em processos utilizando métodos de tomada de decisão","Aguiar, Dimas Campos de, Salomon, Valério A. P.","Production; 17(3); 502-519","Production","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132007000300008&lang=pt" 
"S0103-65132007000300010-scl","Gráficos de controle de EWMA e de X-barra para monitoramento de processos autocorrelacionados","Claro, Fernando Antonio Elias, Costa, Antonio Fernando Branco, Machado, Marcela Aparecida Guerreiro","Production; 17(3); 536-546","Production","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132007000300010&lang=pt" 
"S0101-98802007000400019-scl","Resumo de artigos","Pandini, Luis Cláudio","Revista Brasileira de Coloproctologia; 27(4); 483-484","Revista Brasileira de Coloproctologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802007000400019&lang=pt" 
"S0101-98802007000400002-scl","Efeito da nifedipina gel 0,2% nas pressões de canal anal e na dor pós-operatória: estudo após hemorroidectomia pela técnica aberta","Cesar, Maria Auxiliadora Prolungatti, Klug, Wilmar Artur, Bassi, Deomir Germano, Paula, Pedro Roberto de, Cesar, Rosana Prolungatti, Ortiz, Jorge Alberto, Speranzini, Manilio Basilio","Revista Brasileira de Coloproctologia; 27(4); 364-373","Revista Brasileira de Coloproctologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802007000400002&lang=pt" 
"S0101-98802007000400013-scl","Sindrome de currarino associada ao Tailgut Cyst: ressecção abdômino-sacral","Fernandes, Cristiane Koizimi Martos, Lopes, Fábio, Lobato, Luiz Felipe Campos, Ferreira, Leonardo Silluzio, Silveira, Ramon T., Teixeira, Vera Coelho, Mesquita, Bráulio Fortes, Lacerda-Filho, Antônio","Revista Brasileira de Coloproctologia; 27(4); 446-451","Revista Brasileira de Coloproctologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802007000400013&lang=pt" 
"S0101-98802007000400005-scl","Avaliação do dano oxidativo ao DNA de células normais e neoplásicas da mucosa cólica de doentes com câncer colorretal","Ribeiro, Marcelo Lima, Priolli, Denise Gonçalves, Miranda, Daniel Duarte da Conceição, Paiva, Demétrius Arçari, Pedrazzoli Júnior, José, Martinez, Carlos Augusto Real","Revista Brasileira de Coloproctologia; 27(4); 391-402","Revista Brasileira de Coloproctologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802007000400005&lang=pt" 
"S0101-98802007000400007-scl","Comparação entre o diagnóstico endoscópico e histológico de pólipos colorretais","Ghezzi, Tiago Leal, Fillmann, Lucio Sarubbi, Fillmann, Érico Ernesto Pretzel, Fillmann, Henrique Sarubbi","Revista Brasileira de Coloproctologia; 27(4); 408-411","Revista Brasileira de Coloproctologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802007000400007&lang=pt" 
"S0101-98802007000400008-scl","Colonoscopia em pacientes não pediátricos abaixo de 20 anos de idade traz pouca contribuição nos resultados","Brenner, Antonio Sérgio, Lima, Vanessa Zeni, Valarini, Sandra Beatriz Marion, Valarini, Rubens, César, Ana Maria Pereira","Revista Brasileira de Coloproctologia; 27(4); 412-416","Revista Brasileira de Coloproctologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802007000400008&lang=pt" 
"S0101-98802007000400015-scl","Relato de caso: metástase de carcinoma de mama para o intestino grosso","Fillmann, Lúcio Sarubbi, Pinho, Cláudia Müller, Fillmann, Henrique Sarubbi, Fillmann, Érico Ernesto Pretzel","Revista Brasileira de Coloproctologia; 27(4); 456-458","Revista Brasileira de Coloproctologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802007000400015&lang=pt" 
"S0101-98802007000400014-scl","Necrose pelvi-perineal pós-radioterapia para câncer de próstata: relato de caso","Kotze, Paulo Gustavo, Martins, Juliana Ferreira, Sella, Guilherme Vasconcelos, Rocha, Juliana Gonçalves, Miranda, Eron Fábio","Revista Brasileira de Coloproctologia; 27(4); 452-455","Revista Brasileira de Coloproctologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802007000400014&lang=pt" 
"S0101-98802007000400018-scl","Interpretação das reações sorológicas para diagnóstico e seguimento pós-terapêutico da sífilis","Nadal, Sidney Roberto, Framil, Valéria Maria de Souza","Revista Brasileira de Coloproctologia; 27(4); 479-482","Revista Brasileira de Coloproctologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802007000400018&lang=pt" 
"S0100-41582007000600014-scl","Occurrence of Pseudomonas corrugata causing pith necrosis on tomato plants in Goiás, Brazil","Quezado-Duval, Alice M., Guimarães, Carielli M.N., Martins, Olinda M.","Fitopatologia Brasileira; 32(6); 520-520","Fitopatologia Brasileira","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582007000600014&lang=pt" 
"S0100-41582007000600002-scl","Qualidade sanitária e fisiológica de sementes de milho submetidas a termoterapia e condicionamento fisiológico","Coutinho, Wirton M., Silva-Mann, Renata, Vieira, Maria das Graças G.C., Machado, Cibele F., Machado, José C.","Fitopatologia Brasileira; 32(6); 458-464","Fitopatologia Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582007000600002&lang=pt" 
"S0100-41582007000600003-scl","Atividade antifúngica de extratos de alho e capim-santo sobre o desenvolvimento de Fusarium proliferatum isolado de grãos de milho","Souza, Anne E.F., Araújo, Egberto, Nascimento, Luciana C.","Fitopatologia Brasileira; 32(6); 465-471","Fitopatologia Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582007000600003&lang=pt" 
"S0100-41582007000600005-scl","Caracterização de isolados de Acidovorax avenae subsp. citrulli","Oliveira, Janaína C., Silveira, Elineide B., Mariano, Rosa L.R., Cardoso, Enildo, Viana, Ivanise O.","Fitopatologia Brasileira; 32(6); 480-487","Fitopatologia Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582007000600005&lang=pt" 
"S0100-41582007000600006-scl","Estudos histopatológicos de Colletotrichum spp. em plântulas de cafeeiro","Lins, Severina R.O., Abreu, Mário S., Alves, Eduardo","Fitopatologia Brasileira; 32(6); 488-495","Fitopatologia Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582007000600006&lang=pt" 
"S1676-26492007000400009-scl","Quality of life and the self-perception impact of epilepsy in three different epilepsy types","Dourado, Marcos Vidal, Alonso, Neide Barreira, Martins, Heloise Helena, Oliveira, Arthur Raymundo Chaves, Vancini, Rodrigo Luiz, Lima, Cristiano de, Dubas, João Paulo, Caboclo, Luís Otávio Sales Ferreira, Guilhoto, Laura M F Ferreira, Yacubian, Elza Márcia Targas","Journal of Epilepsy and Clinical Neurophysiology; 13(4); 191-196","Journal of Epilepsy and Clinical Neurophysiology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-26492007000400009&lang=pt" 
"S0103-65132007000300003-scl","Product reliability and warranty: an overview and future research","Murthy, D.N.P.","Production; 17(3); 426-434","Production","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132007000300003&lang=pt" 
"S0103-65132007000300004-scl","Qualidade na prestação de serviços fisioterápicos: estudo de caso sobre expectativas e percepções de clientes","Souza, Adriano Mendonça, Griebeler, Deizi, Godoy, Leoni Pentiado","Production; 17(3); 435-453","Production","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132007000300004&lang=pt" 
"S0103-65132007000300006-scl","Coordenação da qualidade: proposta de estrutura e método para cadeias de produção agroalimentares","Borrás, Miguel Angel Aires, Toledo, José Carlos de","Production; 17(3); 471-485","Production","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132007000300006&lang=pt" 
"S0103-65132007000300007-scl","Implementação e difusão do programa Seis Sigma no Brasil","Carvalho, Marly Monteiro de, Ho, Linda Lee, Pinto, Silvia Helena Boarin","Production; 17(3); 486-501","Production","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132007000300007&lang=pt" 
"S0103-65132007000300009-scl","Otimização conjunta de gráficos de X-barra - S ou X-barra - R: um procedimento de fácil implementação","Epprecht, Eugenio K., Leiras, Adriana","Production; 17(3); 520-535","Production","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132007000300009&lang=pt" 
"S0103-65132007000300011-scl","Projeto robusto de parâmetros em sistemas sinal-resposta: comparação de métodos de modelagem e análise","Freitas, Marta Afonso, Faleiro, Rosiane Mary Rezende, Borges, Marco Fábio","Production; 17(3); 547-565","Production","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132007000300011&lang=pt" 
"S0103-65132007000300012-scl","Análise dos efeitos das incertezas nas estimativas de tempos de falha de produtos via ensaios acelerados","Papa, Maria Célia de Oliveira, Abackerli, Alvaro J., Miguel, Paulo Augusto Cauchick","Production; 17(3); 566-578","Production","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132007000300012&lang=pt" 
"S0103-65132007000300013-scl","Seleção de projetos Seis Sigma: aplicação em uma indústria do setor automobilístico","Fernandes, Marcelo Machado, Turrioni, João Batista","Production; 17(3); 579-591","Production","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132007000300013&lang=pt" 
"S0103-65132007000300014-scl","Melhoria contínua no ambiente ISO 9001:2000: estudo de caso em duas empresas do setor automobilístico","Gonzalez, Rodrigo Valio Dominguez, Martins, Manoel Fernando","Production; 17(3); 592-603","Production","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132007000300014&lang=pt" 
"S0103-65132007000300015-scl","QFD na garantia da qualidade do produto durante seu desenvolvimento: caso em uma empresa de materiais","Melo Filho, Leonel Del Rey de, Cheng, Lin Chih","Production; 17(3); 604-624","Production","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132007000300015&lang=pt" 
"S0101-98802007000400001-scl","Manifestações extra-intestinais em doença de Crohn e retocolite ulcerativa: prevalência e correlação com o diagnóstico, extensão, atividade, tempo de evolução da doença","Mota, Erodilho Sande, Kiss, Desidério Roberto, Teixeira, Magaly Gêmio, Almeida, Maristela Gomes de, Sanfront, Fernanda de Azevedo, Habr-Gama, Angelita, Cecconello, Ivan","Revista Brasileira de Coloproctologia; 27(4); 349-363","Revista Brasileira de Coloproctologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802007000400001&lang=pt" 
"S0101-98802007000400004-scl","Estudo histomorfométrico de anastomoses primárias de cólon em coelhos, com e sem preparo intestinal","Torres Neto, Juvenal da Rocha, Fakhour, Ricardo, Menezes, Marcel Vinícius de Aguiar, Santos, Joseane Silva, Prudente, Ana Carolina Lisbôa, Monteiro, João Tiago Silva, Feitosa, Vera Lúcia Corrêa","Revista Brasileira de Coloproctologia; 27(4); 384-390","Revista Brasileira de Coloproctologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802007000400004&lang=pt" 
"S0101-98802007000400006-scl","Achados de retossigmoidoscopias no rastreamento de câncer colorretal em pacientes assintomáticos acima de 50 anos","Diogenes, Carolina Vannucci V. Nogueira, Marianelli, Raphael, Soares, Rodrigo de Pádua Safatle, Abud, Regis Mikail, Falleiros, Vinicio, Vilariño, Tereza de Carvalho, Almeida, Maristela Gomes de, Baraviera, Antonio Carlos","Revista Brasileira de Coloproctologia; 27(4); 403-407","Revista Brasileira de Coloproctologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802007000400006&lang=pt" 
