"S1806-37132007000500002-scl","Mortalidade por câncer do pulmão","Guimarães, Carlos Alberto","Jornal Brasileiro de Pneumologia; 33(5); xxix-xxx","Jornal Brasileiro de Pneumologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132007000500002&lang=pt" 
"S1806-37132007000500003-scl","Investigação de fatores associados à asma de difícil controle","Araujo, Ana Carla Sousa de, Ferraz, Érica, Borges, Marcos de Carvalho, Terra Filho, João, Vianna, Elcio Oliveira","Jornal Brasileiro de Pneumologia; 33(5); 495-501","Jornal Brasileiro de Pneumologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132007000500003&lang=pt" 
"S1806-37132007000500001-scl","Recidiva da tuberculose","Ruffino-Netto, Antonio","Jornal Brasileiro de Pneumologia; 33(5); xxvii-xxviii","Jornal Brasileiro de Pneumologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132007000500001&lang=pt" 
"S1806-37132007000500019-scl","Teratoma intrapulmonar maduro","Faria, Ricardo Alexandre, Bizon, José Alexandre, Saad Junior, Roberto, Dorgan Neto, Vicente, Botter, Marcio, Saieg, Mauro Ajaj","Jornal Brasileiro de Pneumologia; 33(5); 612-615","Jornal Brasileiro de Pneumologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132007000500019&lang=pt" 
"S1806-37132007000500014-scl","Resistência a drogas em cepas de mycobacterium tuberculosis isoladas de amostras de escarro de pacientes ambulatoriais sintomáticos: Complexo de Manguinhos, Rio de Janeiro, Brasil","Mendes, Joycenea Matsuda, Lourenço, Maria Cristina, Ferreira, Rosa Maria Carvalho, Fonseca, Leila de Souza, Saad, Maria Helena Feres","Jornal Brasileiro de Pneumologia; 33(5); 579-582","Jornal Brasileiro de Pneumologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132007000500014&lang=pt" 
"S1806-37132007000500018-scl","Linfangite carcinomatosa pulmonar como manifestação inicial de adenocarcinoma de ovário","Martynychen, Mariane Gonçalves, Rabelo, Lêda Maria, Silva, Rodney Luiz Frare e, Escuissato, Dante Luiz","Jornal Brasileiro de Pneumologia; 33(5); 609-611","Jornal Brasileiro de Pneumologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132007000500018&lang=pt" 
"S1806-37132007000500023-scl","Simpatectomia torácica por videotoracoscopia","Montessi, Jorge, Almeida, Edmílton Pereira de, Vieira, João Paulo, Abreu, Marcus da Matta, Souza, Renato Lucas Passos de, Montessi, Oswaldo Victor Duarte","Jornal Brasileiro de Pneumologia; 33(5); 624-624","Jornal Brasileiro de Pneumologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132007000500023&lang=pt" 
"S0021-75572007000600002-scl","O início de uma nova era: teste sistemático para patógenos causadores de infecções agudas das vias aéreas superiores (IVAS) em crianças","Schmitt, Heinz-J., Gröndahl, Britta, Schaaff, Franziska, Puppe, Wolfram","Jornal de Pediatria; 83(5); 391-394","Jornal de Pediatria","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572007000600002&lang=pt" 
"S0021-75572007000600001-scl","Estratégia de vacinação contra a rubéola","Hinman, Alan R.","Jornal de Pediatria; 83(5); 389-391","Jornal de Pediatria","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572007000600001&lang=pt" 
"S0021-75572007000600004-scl","Impacto da vacinação contra rubéola na ocorrência da síndrome da rubéola congênita","Lanzieri, Tatiana Miranda, Pinto, Diana, Prevots, D. Rebecca","Jornal de Pediatria; 83(5); 415-421","Jornal de Pediatria","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572007000600004&lang=pt" 
"S0021-75572007000600016-scl","Bilirrubinometria transcutânea: um método importante para a avaliação de recém-nascidos com hiperbilirrubinemia","Barbosa, Adauto Dutra Moraes","Jornal de Pediatria; 83(5); 485-486","Jornal de Pediatria","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572007000600016&lang=pt" 
"S0036-46652007000500006-scl","Epidemiologic features of HIV infection in three municipalities of inner Rio de Janeiro State, Brazil","Eyer-Silva, Walter A., Freire, Maria Alessandra Leite, Gayão, Mary Lúcia, Basílio-de-Oliveira, Carlos Alberto, Morgado, Mariza G.","Revista do Instituto de Medicina Tropical de São Paulo; 49(5); 303-307","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652007000500006&lang=pt" 
