"S1519-69842007000200019-scl","The defensive strike of five species of lanceheads of the genus Bothrops (Viperidae)","Araújo, MS., Martins, M.","Brazilian Journal of Biology; 67(2); 327-332","Brazilian Journal of Biology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842007000200019&lang=pt" 
"S1519-69842007000200002-scl","Associations between fish assemblage and riparian vegetation in the Corumbataí River Basin (SP)","Cetra, M., Petrere JR., M.","Brazilian Journal of Biology; 67(2); 191-195","Brazilian Journal of Biology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842007000200002&lang=pt" 
"S1519-69842007000200004-scl","Toward reliable estimates of seed removal by small mammals and birds in the Neotropics","Christianini, AV., Galetti, M.","Brazilian Journal of Biology; 67(2); 203-208","Brazilian Journal of Biology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842007000200004&lang=pt" 
"S1519-69842007000200006-scl","Structural variation in the brown alga Sargassum cymosum and its effects on associated amphipod assemblages","Leite, FPP., Tanaka, MO., Gebara, RS.","Brazilian Journal of Biology; 67(2); 215-221","Brazilian Journal of Biology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842007000200006&lang=pt" 
"S1519-69842007000200007-scl","Spatial distribution and secondary production of Copepoda in a tropical reservoir: Barra Bonita, SP, Brazil","Santos-Wisniewski, MJ., Rocha, O.","Brazilian Journal of Biology; 67(2); 223-233","Brazilian Journal of Biology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842007000200007&lang=pt" 
"S1519-69842007000200008-scl","Secondary production of Chasmagnathus granulatus (Crustacea; Decapoda) in a Ramsar Site from Argentina","César, II., Armendáriz, LC.","Brazilian Journal of Biology; 67(2); 235-241","Brazilian Journal of Biology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842007000200008&lang=pt" 
"S1519-69842007000200009-scl","Feeding ecology of the Green-cheeked parakeet (Pyrrhura molinae) in dry forests in western Brazil","Ragusa-Netto, J.","Brazilian Journal of Biology; 67(2); 243-249","Brazilian Journal of Biology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842007000200009&lang=pt" 
"S1519-69842007000200010-scl","Environmental changes and zooplankton temporal and spatial variation in a disturbed brazilian coastal lagoon","Branco, CWC., Kozlowsky-Suzuki, B., Esteves, FA.","Brazilian Journal of Biology; 67(2); 251-262","Brazilian Journal of Biology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842007000200010&lang=pt" 
"S1519-69842007000200011-scl","The remnants of restinga habitats in the brazilian Atlantic Forest of Rio de Janeiro state, Brazil: habitat loss and risk of disappearance","Rocha, CFD., Bergallo, HG., Van Sluys, M., Alves, MAS., Jamel, CE.","Brazilian Journal of Biology; 67(2); 263-273","Brazilian Journal of Biology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842007000200011&lang=pt" 
"S1519-69842007000200014-scl","Growth parameters estimates for a small fish of the Pantanal, Brazil: Moenkhausia dichroura (Characiformes; Characidae)","Cunha, NL., Catella, AC., Kinas, MA.","Brazilian Journal of Biology; 67(2); 293-297","Brazilian Journal of Biology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842007000200014&lang=pt" 
"S1519-69842007000200017-scl","Reproductive system of Eriocnema fulva Naudin (Melastomataceae), an endemic species of Minas Gerais state, SE Brazil","Andrade, PM., Forni-Martins, ER., Martins, FR.","Brazilian Journal of Biology; 67(2); 313-319","Brazilian Journal of Biology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842007000200017&lang=pt" 
