"S0101-41612007000100003-scl","Condicionantes de clubes de convergência no Brasil","Gondim, João Luis Brasil, Barreto, Flávio Ataliba, Carvalho, José Raimundo","Estudos Econômicos (São Paulo); 37(1); 71-100","Estudos Econômicos (São Paulo)","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-41612007000100003&lang=pt" 
"S1517-83822007000100021-scl","Prevalence of Candida species in umbilical catheters implanted in newborns in Natal, Brazil","Fernandes, Ana Cristina Santos, Sousa Junior, Francisco Canindé de, Oliveira, Solange Maria de, Calich, Lucia, Milan, Eveline Pipolo","Brazilian Journal of Microbiology; 38(1); 104-107","Brazilian Journal of Microbiology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822007000100021&lang=pt" 
"S1517-83822007000100005-scl","Detection of Brucella abortus DNA in illegal cheese from São Paulo and Minas Gerais and differentiation of B19 vaccinal strain by means of the polymerase chain reaction (PCR)","Miyashiro, Simone, Scarcelli, Eliana, Piatti, Rosa M., Campos, Fabíola R., Vialta, Airton, Keid, Lara Borges, Dias, Ricardo Augusto, Genovez, Margareth E.","Brazilian Journal of Microbiology; 38(1); 17-22","Brazilian Journal of Microbiology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822007000100005&lang=pt" 
"S1517-83822007000100004-scl","Molecular characterization of Borrelia burgdorferi sensu lato strains isolated in the area of Belgrade, Serbia","Ristanovic, Elizabeta S., Kitamura, Kayoko, Masuzawa, Toshiyuki, Milutinovic, Marija J., Cekanac, Radovan M., Stajkovic, Novica T., Zivanovic, Danijela M.","Brazilian Journal of Microbiology; 38(1); 14-16","Brazilian Journal of Microbiology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822007000100004&lang=pt" 
"S1517-83822007000100011-scl","Isolation of recombinant strains with enhanced pectinase production by protoplast fusion between Penicillium expansum and Penicillium griseoroseum","Varavallo, Maurilio Antonio, Queiroz, Marisa Vieira de, Lana, Taís Guimarães, Brito, Admilson Toscano Ribeiro de, Gonçalves, Daniel Bonoto, Araújo, Elza Fernandes de","Brazilian Journal of Microbiology; 38(1); 52-57","Brazilian Journal of Microbiology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822007000100011&lang=pt" 
"S1517-83822007000100022-scl","Ocurrence of blaSPM-1 and blaIMP-1 genes of metallo-beta-lactamases in clinical isolates of Pseudomonas aeruginosa from three universitary hospitals in the city of Porto Alegre, Brazil","Gaspareto, Patrick Barcelos, Martins, Andreza Francisco, Zavascki, Alexandre Prehn, Barth, Afonso Luis","Brazilian Journal of Microbiology; 38(1); 108-109","Brazilian Journal of Microbiology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822007000100022&lang=pt" 
"S1517-83822007000100019-scl","Anti-Leptospira spp and anti-Brucella spp antibodies in humans from rural area of Monte Negro municipality, state of Rondônia, Brazilian Western Amazon","Aguiar, Daniel M., Cavalcante, Guacyara T., Camargo, Luis M. A., Labruna, Marcelo B., Vasconcellos, Silvio A., Souza, Gisele O., Gennari, Solange M.","Brazilian Journal of Microbiology; 38(1); 93-96","Brazilian Journal of Microbiology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822007000100019&lang=pt" 
"S1517-83822007000100013-scl","Isolation of a lipase-producing Trichosporon spp and enzyme extraction by two-phase aqueous system","Santos, Juliana A., Amaral, Marcel C.O., Araújo, Thiago A.S., Fernandes, Késsia G.C., Chaves, Adilson C., Morais, Márcia M.C.","Brazilian Journal of Microbiology; 38(1); 62-64","Brazilian Journal of Microbiology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822007000100013&lang=pt" 
"S1517-83822007000100027-scl","Multiple drug resistant Staphylococcus aureus strains isolated from a fish market and from fish handlers","Albuquerque, W.F., Macrae, A., Sousa, O.V., Vieira, G.H.F., Vieira, R.H.S.F.","Brazilian Journal of Microbiology; 38(1); 131-134","Brazilian Journal of Microbiology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822007000100027&lang=pt" 
"S1517-83822007000100029-scl","Cercospora apii causing leaf spots on two Brazilian toxic weeds: solanum glaucophyllum and Xanthium strumarium","Rocha, Fabiano Branco, Pereira, Olinto Liparini, Barreto, Robert Weingart","Brazilian Journal of Microbiology; 38(1); 142-144","Brazilian Journal of Microbiology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822007000100029&lang=pt" 
"S1517-83822007000100030-scl","Evaluation of the antimicrobial activity of crude extracts and isolated constituents from Chresta scapigera","Schinor, Elisandra C., Salvador, Marcos J., Ito, Izabel Y., Dias, Diones A.","Brazilian Journal of Microbiology; 38(1); 145-149","Brazilian Journal of Microbiology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822007000100030&lang=pt" 
"S1517-83822007000100023-scl","Engyodontium album fungaemia: the first reported case","Macêdo, Danielle Patrícia Cerqueira, Neves, Rejane Pereira, Souza-Motta, Cristina Maria de, Magalhães, Oliane M. Correia","Brazilian Journal of Microbiology; 38(1); 110-112","Brazilian Journal of Microbiology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822007000100023&lang=pt" 
"S1517-83822007000100003-scl","Expression of aggregative adherence to hela cells by Escherichia coli strains isolated from sick horses","Liberatore, Ana Maria Alvim, Tomita, Sandra Kimie, Vieira, Mônica Aparecida Midolli, Toti Jr., Cyro, Heckmaier, João, Gomes, Tânia Aparecida Tardelli","Brazilian Journal of Microbiology; 38(1); 9-13","Brazilian Journal of Microbiology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822007000100003&lang=pt" 
"S1517-83822007000100006-scl","Detection of putative periodontal pathogens in subgingival specimens of dogs","Nishiyama, Sheila Alexandra Belini, Senhorinho, Gerusa Neyla Andrade, Gioso, Marco Antônio, Avila-Campos, Mario Julio","Brazilian Journal of Microbiology; 38(1); 23-28","Brazilian Journal of Microbiology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822007000100006&lang=pt" 
"S1517-83822007000100007-scl","Isolates of Ureplasma diversum genotyped by single-enzyme amplified length polymorphism","Buzinhani, Melissa, Mettifogo, Elena, Buim, Marcos R., Moreno, Andréa M., Paixão, Renata, Timenetsky, Jorge","Brazilian Journal of Microbiology; 38(1); 29-32","Brazilian Journal of Microbiology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822007000100007&lang=pt" 
"S1517-83822007000100009-scl","Salicylic acid degradation from aqueous solutions using Pseudomonas fluorescens HK44: parameters studies and application tools","Silva, Tatyane R., Valdman, Erika, Valdman, Belkis, Leite, Selma G.F.","Brazilian Journal of Microbiology; 38(1); 39-44","Brazilian Journal of Microbiology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822007000100009&lang=pt" 
"S1517-83822007000100010-scl","Application of fractional factorial design to levan production by Zymomonas mobilis","Melo, I.R., Pimentel, M.F., Lopes, C.E., Calazans, G.M.T.","Brazilian Journal of Microbiology; 38(1); 45-51","Brazilian Journal of Microbiology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822007000100010&lang=pt" 
"S1517-83822007000100012-scl","Carbon catabolite repression of retamycin production by Streptomyces olindensis ICB20","Inoue, Olavo Ossamu, Schmidell Netto, Willibaldo, Padilla, Gabriel, Facciotti, Maria Cândida Reginato","Brazilian Journal of Microbiology; 38(1); 58-61","Brazilian Journal of Microbiology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822007000100012&lang=pt" 
"S1517-83822007000100014-scl","Selection and characterization of carotenoid-producing yeasts from Campinas region, Brazil","Maldonade, Iriani R., Scamparini, Adilma R. P., Rodriguez-Amaya, Délia B.","Brazilian Journal of Microbiology; 38(1); 65-70","Brazilian Journal of Microbiology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822007000100014&lang=pt" 
"S1517-83822007000100016-scl","Partial purification of glucose-6-phosphate dehydrogenase by aqueous two-phase poly(ethyleneglycol)/phosphate systems","Ribeiro, Marcela Zanella, Silva, Daniel Pereira, Vitolo, Michele, Roberto, Inês Conceição, Pessoa-Jr, Adalberto","Brazilian Journal of Microbiology; 38(1); 78-83","Brazilian Journal of Microbiology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822007000100016&lang=pt" 
"S1517-83822007000100018-scl","Inhibition of enterotoxigenic Escherichia coli (ETEC) adhesion to Caco-2 cells by human milk and its immunoglobulin and non-immunoglobulin fractions","Oliveira, Inaiara R. de, Bessler, Heidi C., Bao, Sonia N., Lima, Renato de L., Giugliano, Loreny G.","Brazilian Journal of Microbiology; 38(1); 86-92","Brazilian Journal of Microbiology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822007000100018&lang=pt" 
"S1517-83822007000100025-scl","Rhizobacterial promotion of eucalypt rooting and growth","Teixeira, Débora A., Alfenas, Acelino Couto, Mafia, Reginaldo Gonçalves, Ferreira, Eraclides M., Siqueira, Leandro de, Maffia, Luiz A., Mounteer, Ann H.","Brazilian Journal of Microbiology; 38(1); 118-123","Brazilian Journal of Microbiology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822007000100025&lang=pt" 
"S1517-83822007000100028-scl","Population dynamics and extracellular enzymes activity of mesophilic and thermophilic bacteria isolated from semi-arid soil of Northeastern Brazil","Gorlach-Lira, Krystyna, Coutinho, Henrique D.M.","Brazilian Journal of Microbiology; 38(1); 135-141","Brazilian Journal of Microbiology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822007000100028&lang=pt" 
"S1517-83822007000100033-scl","16s-23S rDNA: polymorphisms and their use for detection and identification of Xylella fastidiosa strains","Martinati, Juliana Camargo, Pacheco, Flávia Tereza Hansen, Miranda, Vitor Fernandes Oliveira de, Tsai, Siu Mui","Brazilian Journal of Microbiology; 38(1); 159-165","Brazilian Journal of Microbiology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822007000100033&lang=pt" 
"S1517-83822007000100034-scl","Bacteriocin production by Lactobacillus pentosus ST712BZ isolated from boza","Todorov, Svetoslav D., Dicks, Leon M.T.","Brazilian Journal of Microbiology; 38(1); 166-172","Brazilian Journal of Microbiology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822007000100034&lang=pt" 
"S1517-83822007000100035-scl","Selective enumeration and viability of Bifidobacterium animalis subsp. lactis in a new fermented milk product","Antunes, Adriane Elisabete Costa, Grael, Elza Terezinha, Moreno, Izildinha, Rodrigues, Luana Gajardoni, Dourado, Fernanda Martelo, Saccaro, Daniela Marques, Lerayer, Alda Luiza Santos","Brazilian Journal of Microbiology; 38(1); 173-177","Brazilian Journal of Microbiology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822007000100035&lang=pt" 
"S0101-41612007000100006-scl","The citation pattern of Brazilian economists","Faria, João Ricardo, Araujo Jr., Ari Francisco de, Shikida, Claudio D.","Estudos Econômicos (São Paulo); 37(1); 151-166","Estudos Econômicos (São Paulo)","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-41612007000100006&lang=pt" 
"S0101-41612007000100007-scl","Tarifas agrícolas Européias: mensuração e análise entre produtos","Freitas, Rogério Edivaldo, Costa, Cinthia Cabral da","Estudos Econômicos (São Paulo); 37(1); 167-209","Estudos Econômicos (São Paulo)","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-41612007000100007&lang=pt" 
"S0101-41612007000100008-scl","Interação universidade-empresa no Brasil: evidências do Diretório dos Grupos de Pesquisa do CNPq","Rapini, Márcia Siqueira","Estudos Econômicos (São Paulo); 37(1); 211-233","Estudos Econômicos (São Paulo)","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-41612007000100008&lang=pt" 
"S0101-41612007000100001-scl","Produtividade e crescimento econômico na América Latina: a abordagem da fronteira de produção estocástica","Marinho, Emerson, Bittencourt, Almir","Estudos Econômicos (São Paulo); 37(1); 5-33","Estudos Econômicos (São Paulo)","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-41612007000100001&lang=pt" 
"S0004-282X2007000100042-scl","","","Arquivos de Neuro-Psiquiatria; 65(1); 183-184","Arquivos de Neuro-Psiquiatria","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2007000100042&lang=pt" 
