"S0102-311X2007000300027-spa","Comorbidade entre depressão e doenças clínicas em um ambulatório de geriatria","Duarte, Meirelayne Borges, Rego, Marco Antônio Vasconcelos","Cadernos de Saúde Pública; 23(3); 691-700","Cadernos de Saúde Pública","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2007000300027&lang=pt" 
"S0102-311X2007000300027-scl","Comorbidade entre depressão e doenças clínicas em um ambulatório de geriatria","Duarte, Meirelayne Borges, Rego, Marco Antônio Vasconcelos","Cadernos de Saúde Pública; 23(3); 691-700","Cadernos de Saúde Pública","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2007000300027&lang=pt" 
"S0102-311X2007000300028-scl","Avaliação da qualidade das variáveis epidemiológicas e demográficas do Sistema de Informações sobre Nascidos Vivos, 2002","Romero, Dalia E., Cunha, Cynthia Braga da","Cadernos de Saúde Pública; 23(3); 701-714","Cadernos de Saúde Pública","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2007000300028&lang=pt" 
"S1519-38292007000100002-scl","Interação entre vitamina A e ferro em diferentes grupos populacionais","Netto, Michele Pereira, Priore, Silvia Eloiza, Franceschini, Sylvia do Carmo Castro","Revista Brasileira de Saúde Materno Infantil; 7(1); 15-22","Revista Brasileira de Saúde Materno Infantil","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292007000100002&lang=pt" 
"S1519-38292007000100010-scl","Mortalidade infantil em uma amostra de nascimentos do município do Rio de Janeiro, 1999-2001: &quot;linkage&quot; com o Sistema de Informação de Mortalidade","Pereira, Ana Paula Esteves, Gama, Silvana Granado Nogueira da, Leal, Maria do Carmo","Revista Brasileira de Saúde Materno Infantil; 7(1); 83-88","Revista Brasileira de Saúde Materno Infantil","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292007000100010&lang=pt" 
"S1519-38292007000100012-scl","Diversão em movimento: um projeto lúdico para crianças hospitalizadas no Serviço de Oncologia Pediátrica do Instituto Materno Infantil Prof. Fernando Figueira, IMIP","Pedrosa, Arli Melo, Monteiro, Hélio, Lins, Kelly, Pedrosa, Francisco, Melo, Carolina","Revista Brasileira de Saúde Materno Infantil; 7(1); 99-106","Revista Brasileira de Saúde Materno Infantil","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292007000100012&lang=pt" 
"S1519-38292007000100003-scl","Acute respiratory infections in children","Hart, Charles Anthony, Cuevas, Luis E.","Revista Brasileira de Saúde Materno Infantil; 7(1); 23-29","Revista Brasileira de Saúde Materno Infantil","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292007000100003&lang=pt" 
"S1519-38292007000100004-scl","Percepção das usuárias sobre as ações de Prevenção do Câncer do Colo do Útero na Estratégia Saúde da Família em uma Distrital de Saúde do município de Ribeirão Preto, São Paulo, Brasil","Oliveira, Michele Mandagará de, Pinto, Ione Carvalho","Revista Brasileira de Saúde Materno Infantil; 7(1); 31-38","Revista Brasileira de Saúde Materno Infantil","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292007000100004&lang=pt" 
"S1519-38292007000100005-scl","Mulheres adultas com acne: aspectos comportamentais, perfis hormonal e ultra-sonográfico ovariano","Teixeira, Márcia Almeida Galvão, França, Emmanuel Rodrigues de","Revista Brasileira de Saúde Materno Infantil; 7(1); 39-44","Revista Brasileira de Saúde Materno Infantil","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292007000100005&lang=pt" 
"S1519-38292007000100006-scl","Neuropsychology and malnutrition: a study with 7 to 10 years-old children in a poor community","Miranda, Mônica C., Nóbrega, Fernando J., Sato, Kazue, Pompéia, Sabine, Sinnes, Elaine G., Bueno, Orlando F.A.","Revista Brasileira de Saúde Materno Infantil; 7(1); 45-54","Revista Brasileira de Saúde Materno Infantil","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292007000100006&lang=pt" 
