"S0717-75262007000300014-chl","DR. JOHN BILLINGS","DONOSO S, ENRIQUE","Revista chilena de obstetricia y ginecología; 72(3); 201-202","Revista chilena de obstetricia y ginecología","Espanhol","2007","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262007000300014&lang=pt" 
"S0717-75262007000300015-chl","LEY N 20.166","","Revista chilena de obstetricia y ginecología; 72(3); 202-202","Revista chilena de obstetricia y ginecología","Espanhol","2007","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262007000300015&lang=pt" 
"S0717-75262007000300012-chl","Heparina de bajo peso molecular versus aspirina a dosis baja en mujeres con una pérdida fetal y un desorden trombofílico constitucional","Zamboni T, Milena, Carvajal C, Jorge","Revista chilena de obstetricia y ginecología; 72(3); 197-199","Revista chilena de obstetricia y ginecología","Espanhol","2007","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262007000300012&lang=pt" 
"S1679-62252007000200019-scl","Evaluation of fish passage through the Igarapé Dam fish ladder (rio Paraopeba, Brazil), using marking and recapture","Alves, Carlos Bernardo Mascarenhas","Neotropical Ichthyology; 5(2); 233-236","Neotropical Ichthyology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-62252007000200019&lang=pt" 
"S1679-62252007000200003-scl","Preliminary study on the application of radio-telemetry techniques to evaluate movements of fish in the Lateral canal at Itaipu Dam, Brazil","Hahn, Lisiane, English, Karl, Carosfeld, Joachim, Silva, Luiz Gustavo Martins da, Latini, João Dirço, Agostinho, Angelo Antônio, Fernandez, Domingo Rodriguez","Neotropical Ichthyology; 5(2); 103-108","Neotropical Ichthyology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-62252007000200003&lang=pt" 
"S1807-03022007000200004-scl","Grid generation and adaptation by functionals","Khattri, Sanjay Kumar","Computational &amp; Applied Mathematics; 26(2); 235-249","Computational &amp; Applied Mathematics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-03022007000200004&lang=pt" 
"S1807-03022007000200003-scl","A transmission problem for the Timoshenko system","Raposo, C.A., Bastos, W.D., Santos, M.L.","Computational &amp; Applied Mathematics; 26(2); 215-234","Computational &amp; Applied Mathematics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-03022007000200003&lang=pt" 
"S1679-62252007000200001-scl","Fish passages in South America","","Neotropical Ichthyology; 5(2); 87-87","Neotropical Ichthyology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-62252007000200001&lang=pt" 
"S1679-62252007000200007-scl","Swimming performance of the migratory Neotropical fish Leporinus reinhardti (Characiformes: Anostomidae)","Santos, Hersília de Andrade e, Pompeu, Paulo dos Santos, Martinez, Carlos Barreira","Neotropical Ichthyology; 5(2); 139-146","Neotropical Ichthyology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-62252007000200007&lang=pt" 
"S1679-62252007000200018-scl","Radiotelemetry of a female jaú, Zungaro jahu (Ihering, 1898) (Siluriformes: Pimelodidae), passed upstream of Funil Dam, rio Grande, Brazil","Alves, Carlos Bernardo Mascarenhas, Silva, Luiz Gustavo Martins da, Godinho, Alexandre Lima","Neotropical Ichthyology; 5(2); 229-232","Neotropical Ichthyology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-62252007000200018&lang=pt" 
"S1679-62252007000200017-scl","Proposal of a sluice-type fish pass","Haselbauer, Matthias A., Martinez, Carlos Barreira","Neotropical Ichthyology; 5(2); 223-228","Neotropical Ichthyology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-62252007000200017&lang=pt" 
