"S0718-33052006000100010-chl","TRANSFORMATIONAL AND TRANSACTIONAL LEADERSHIP: A STUDY OF THEIR INFLUENCE IN SMALL COMPANIES","Pedraja-Rejas, Liliana, Rodríguez-Ponce, Emilio, Delgado-Almonte, Milagros, Rodríguez-Ponce, Juan","Ingeniare. Revista chilena de ingeniería; 14(2); 159-166","Ingeniare. Revista chilena de ingeniería","Inglês","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052006000100010&lang=pt" 
"S1137-66272006000400005-esp","Coordinación y donación","Elizalde, J., Lorente, M.","Anales del Sistema Sanitario de Navarra; 29(); 35-43","Anales del Sistema Sanitario de Navarra","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272006000400005&lang=pt" 
"S1137-66272006000400004-esp","Aspectos legales del trasplante y la donación","Teijeira, R.","Anales del Sistema Sanitario de Navarra; 29(); 25-34","Anales del Sistema Sanitario de Navarra","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272006000400004&lang=pt" 
"S1137-66272006000400006-esp","Coordinación y logística del trasplante de tejidos de donantes de cadáver intra y extra-hospitalarios. &quot;Modelo Pamplona&quot;: Cadena de actuación 1992-2006","Maraví-Poma, E., Martín, A., Maraví-Aznar, A., Iturralde, O., Compains, E., Álvarez, J., Cabal, S., Maraví-Aznar, E., Teijeira, R., Unzué, J. J., González, R.","Anales del Sistema Sanitario de Navarra; 29(); 45-62","Anales del Sistema Sanitario de Navarra","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272006000400006&lang=pt" 
"S1137-66272006000400010-esp","Trasplante pulmonar","Espinosa, M., Rodil, R., Goikoetxea, M. J., Zulueta, J., Seijo, L. M.","Anales del Sistema Sanitario de Navarra; 29(); 105-112","Anales del Sistema Sanitario de Navarra","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272006000400010&lang=pt" 
"S1137-66272006000400002-esp","El trasplante en Navarra y España","Unzué, J. J.","Anales del Sistema Sanitario de Navarra; 29(); 07-14","Anales del Sistema Sanitario de Navarra","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272006000400002&lang=pt" 
"S1137-66272006000400017-esp","Monitorización y efectos secundarios de los inmunosupresores en el trasplante","Sádaba, B.","Anales del Sistema Sanitario de Navarra; 29(); 207-218","Anales del Sistema Sanitario de Navarra","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272006000400017&lang=pt" 
"S1137-66272006000400008-esp","Trasplante renal","Martín, P., Errasti, P.","Anales del Sistema Sanitario de Navarra; 29(); 79-91","Anales del Sistema Sanitario de Navarra","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272006000400008&lang=pt" 
"S1137-66272006000400012-esp","Trasplante óseo","San Julián, M., Valentí, A.","Anales del Sistema Sanitario de Navarra; 29(); 125-136","Anales del Sistema Sanitario de Navarra","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272006000400012&lang=pt" 
"S1137-66272006000400009-esp","Trasplante hepático","Herrero, J. I., Pardo, F., Quiroga, J., Rotellar, F.","Anales del Sistema Sanitario de Navarra; 29(); 93-104","Anales del Sistema Sanitario de Navarra","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272006000400009&lang=pt" 
"S1137-66272006000400014-esp","Trasplante de homoinjertos valvulares cardiacos y vasculares","Herreros, J. M., Mastrobuoni, S., Ubilla, M., Rábago, G., Lorente Ruiz, M., Rifón, J., Hernández, M.","Anales del Sistema Sanitario de Navarra; 29(); 153-161","Anales del Sistema Sanitario de Navarra","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272006000400014&lang=pt" 
"S0568-25172006000200001-mex","Biofertilización con Azospirillum brasilense en sorgo, en el norte de México","García-Olivares, Jesús Gerardo, Moreno-Medina, Víctor Ricardo, Rodríguez-Luna, Isabel Cristina, Mendoza-Herrera, Alberto, Mayek-Pérez, Netzahualcóyotl","Agricultura técnica en México; 32(2); 135-141","Agricultura técnica en México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0568-25172006000200001&lang=pt" 
"S0568-25172006000200010-mex","Estudio del microclima en dos subtipos de invernaderos Almería","Arellano García, Marco Antonio, Valera Martínez, Diego L, Urrestarazu Gavilán, Miguel, García Garza, Sergio, Sánchez Salas, Alfredo, Soria-Ruiz, Jesús","Agricultura técnica en México; 32(2); 225-234","Agricultura técnica en México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0568-25172006000200010&lang=pt" 
"S0568-25172006000200002-mex","Susceptibilidad en híbridos de maíz a diabrótica (Diabrotica virgifera zeae) en México","Pérez Domínguez, Juan Francisco, Romero Rosales, Felipe, Soltero Díaz, Leonardo, Álvarez Zagoya, Rebeca","Agricultura técnica en México; 32(2); 143-151","Agricultura técnica en México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0568-25172006000200002&lang=pt" 
"S0568-25172006000200003-mex","Influencia del mesoclima sobre la madurez de fruto de toronjo (Citrus paradisi Macf.) en Cuba","Betancourt Grandal, Mayda, Sistachs Vega, Vivian, Sánchez García, Cira, García Álvarez, María Eugenia, Núñez Vázquez, Miriam, Solano Ojeda, Oscar, Noriega Carrera, Caridad, Oliva Díaz, Hugo, Acosta Porta, Zita María, Delgado, Carmen Gloria, Martín Padrón, María Elena","Agricultura técnica en México; 32(2); 153-160","Agricultura técnica en México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0568-25172006000200003&lang=pt" 
"S0568-25172006000200004-mex","Escurrimiento superficial como fuente de excesos de agua sobre terrenos agrícolas tropicales","Coras Merino, Pablo Miguel, Hahn Schlam, Federico, Diakite Diakite, Lamine, Arteaga Ramírez, Ramón","Agricultura técnica en México; 32(2); 161-169","Agricultura técnica en México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0568-25172006000200004&lang=pt" 
"S0568-25172006000200005-mex","Caracterización molecular de genotipos comerciales y elite de papa (Solanum tuberosum L.) en México","Orona-Castro, Fermín, Pecina-Quintero, Víctor, Rocha-Peña, Mario Alberto, Cadena-Hinojosa, Mateo Armando, Martínez de la Vega, Octavio, Almeyda-León, Isidro Humberto","Agricultura técnica en México; 32(2); 171-180","Agricultura técnica en México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0568-25172006000200005&lang=pt" 
"S0568-25172006000200006-mex","Sistemas de Producción de Cebada Maltera (Hordeum vulgare L.) en el Estado de Zacatecas, México","Álvarez Díaz, Paulino A., Luna Flores, Maximino, Hernández Martínez, José, Lara Herrera, Alfredo, Salas Luévano, Miguel Ángel, Cabañas Cruz, Bertoldo","Agricultura técnica en México; 32(2); 181-190","Agricultura técnica en México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0568-25172006000200006&lang=pt" 
