"S0102-09352015000601675-scl","Exigência de lisina digestível para poedeiras semipesadas de 50 a 66 semanas de idade","Nunes, R.V., Schneider, S.E., Souza, C., Sangali, C.P., Polese, C., Bueno, R.S., Vieites, F.M.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 67(6); 1675-1683","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352015000601675&lang=pt" 
"S0004-27492015000600356-scl","Detection of Toxoplasma gondii DNA in peripheral blood and aqueous humor of patients with Toxoplasmic active focal necrotizing retinochoroiditis using real-time PCR","Santos, Fabio Felipe dos, Nascimento, Heloisa, Muccioli, Cristina, Costa, Deise Fialho da, Rizzo, Luiz Vicente, Commodaro, Alessandra Gonçalves, Belfort Jr., Rubens","Arquivos Brasileiros de Oftalmologia; 78(6); 356-358","Arquivos Brasileiros de Oftalmologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492015000600356&lang=pt" 
"S2176-66812015000300683-scl","Jogo tradicional-popular e aprendizagem: uma análise teórica das comunicações dos jogadores","Cruz, Rodrigo Wanderley Sousa, Gomes-da-Silva, Pierre Normando, Ribas, João Francisco Magno","Revista Brasileira de Estudos Pedagógicos; 96(244); 683-701","Revista Brasileira de Estudos Pedagógicos","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2176-66812015000300683&lang=pt" 
"S1517-86922015000600438-scl","O VOLUME DE EXERCÍCIOS RESISTIDOS INFLUENCIA A REATIVIDADE DA PRESSÃO ARTERIAL AO ESTRESSE","Silva, Mauro Fernando Lima da, Campbell, Carmen Silvia Grubert, Brito, Aline de Freitas, Silva, Alexandre Sérgio, Santos, Marcos Antônio Pereira dos, Formiga, Marcelle Napoleão do Rêgo, Moreira, Sergio Rodrigues, Simões, Herbert Gustavo","Revista Brasileira de Medicina do Esporte; 21(6); 438-441","Revista Brasileira de Medicina do Esporte","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922015000600438&lang=pt" 
"S1517-86922015000600472-scl","ÍNDICE DA QUALIDADE DO SONO DE PITTSBURGH PARA USO NA REABILITAÇÃO CARDIOPULMONAR E METABÓLICA","Araujo, Pablo Antonio Bertasso de, Sties, Sabrina Weiss, Wittkopf, Priscilla Geraldine, Netto, Almir Schmitt, Gonzáles, Ana Inês, Lima, Daiane Pereira, Guimarães, Samantha Nahas, Aranha, Eduardo Eugenio, Andrade, Alexandro, Carvalho, Tales De","Revista Brasileira de Medicina do Esporte; 21(6); 472-475","Revista Brasileira de Medicina do Esporte","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922015000600472&lang=pt" 
"S0102-33062015000400467-scl","Combined effects of low light and water stress on Jatropha curcas L. promotes shoot growth and morphological adjustment","Carneiro, Isabella Christina Silveira, Pereira, Eduardo Gusmão, Souza, João Paulo","Acta Botanica Brasilica; 29(4); 467-472","Acta Botanica Brasilica","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062015000400467&lang=pt" 
"S0102-09352015000601743-scl","Live performance, carcass quality, and economic assessment of over 100kg slaughtered pigs","Oliveira, E.A., Bertol, T.M., Coldebela, A., Santos Filho, J.I., Scandolera, A.J., Warpechowski, M.B.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 67(6); 1743-1750","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352015000601743&lang=pt" 
"S2176-66812015000300616-scl","Relações entre as representações sociais sobre o estudo e o desempenho na Prova Brasil","Koga, Viviane Terezinha, Rosso, Ademir José","Revista Brasileira de Estudos Pedagógicos; 96(244); 616-634","Revista Brasileira de Estudos Pedagógicos","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2176-66812015000300616&lang=pt" 
"S0102-09352015000601616-scl","Morfologia do estômago e do duodeno da paca (Cuniculus paca Linnaeus, 1766)","Machado, M.R.F., Leal, L.M., Sasahara, T.H.C., Zanetti, A.S., Cruz, C.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 67(6); 1616-1624","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352015000601616&lang=pt" 
"S0102-33062015000400532-scl","First report of modern pollen deposition in moss polsters in a semiarid area of Bahia, Brazil","Santos, Daiane Alves dos, Lima e Lima, Luciene Cristina, Santos, Francisco de Assis Ribeiro dos, Silva, Francisco Hilder Magalhães e","Acta Botanica Brasilica; 29(4); 532-542","Acta Botanica Brasilica","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062015000400532&lang=pt" 
"S0102-33062015000400586-scl","Pollen morphology and its taxonomic significance in the genus Bomarea Mirb. (Alstroemeriaceae) - II. Subgenus Bomarea","Sarwar, Abul Khayer Mohammad Golam, Hoshino, Yoichiro, Araki, Hajime","Acta Botanica Brasilica; 29(4); 586-596","Acta Botanica Brasilica","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062015000400586&lang=pt" 
"S0102-09352015000601475-scl","Impact or push-off lameness presentation is not altered by the type of track surface where horses are trotted","Azevedo, M.S., Côrte, F.D.D.L., Brass, K.E., Gallio, M., Dau, S.L, Pozzobon, R., Lopes, M.A.F, Lopes, L.F.D","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 67(6); 1475-1482","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352015000601475&lang=pt" 
"S0102-09352015000601630-scl","Técnica venográfica contrastada in vivo dos dígitos de ovinos e caprinos","Santos, I.F.C., Hussni, C.A., Rodrigues, C.A., Watanabe, M.J., Alves, A.L.G., Charlier, M.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 67(6); 1630-1638","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352015000601630&lang=pt" 
"S0004-27492015000600371-scl","Effects of morphine on the expression of cytokines and inflammatory mediators in a rabbit model of endotoxin-induced experimental uveitis","Ortencio, Kethye P., Renzo, Roberta, Sobrinho B., Alexandre A. F., Kobashigawa, Karina Kamachi, Crivelaro, Roberta M., Silva, Germana A., Aldrovani, Marcela, Ribeiro, Alexandre Pinto, Mineo, Tiago W. P., Laus, José Luiz","Arquivos Brasileiros de Oftalmologia; 78(6); 371-375","Arquivos Brasileiros de Oftalmologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492015000600371&lang=pt" 
"S0102-09352015000601519-scl","Clinical and histopathological features of myocarditis in dogs with visceral leishmaniasis","Santos, F.P. dos, Pascon, J.P.E., Pereira, D.T.P., Anjos, B.L., Mistieri, M.L.A., Silveira, I.D., Porciuncula, M.L.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 67(6); 1519-1527","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352015000601519&lang=pt" 
"S0102-09352015000601639-scl","Caracterização bioquímica e molecular de Cryptococcus spp. isolados de excretas ambientais de pombos (Columba livia domestica)","Colombo, G., Táparo, C.V., Araújo Júnior, E.C., Makatu, M.Y., Santos, F.S., Marinho, M.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 67(6); 1639-1645","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352015000601639&lang=pt" 
"S1981-38212015000300021-scl","The Elusive New Middle Class in Brazil","Kerstenetzky, Celia Lessa, Uchôa, Christiane, Silva, Nelson do Valle","Brazilian Political Science Review; 9(3); 21-41","Brazilian Political Science Review","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-38212015000300021&lang=pt" 
"S0102-09352015000601599-scl","Avaliação do perfil eletrocardiográfico pré e trans-anestesia em lobos-guará","Dias, W.O., Nishimura, L.T., Cerejo, S.A., Oliveira, L.T., Brunelo, A.T.J., Dias Junior, W., Honsho, C.S., Mattos Junior, E., Paulino Junior, D.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 67(6); 1599-1606","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352015000601599&lang=pt" 
"S1517-86922015000600451-scl","CONHECIMENTO SOBRE NUTRIÇÃO E CONSUMO DE SUPLEMENTOS EM ACADEMIAS DE GINÁSTICA DE JUIZ DE FORA, BRASIL","Lopes, Fernanda Gargiulo, Mendes, Larissa Loures, Binoti, Mirella Lima, Oliveira, Natália Pereira de, Percegoni, Nathércia","Revista Brasileira de Medicina do Esporte; 21(6); 451-456","Revista Brasileira de Medicina do Esporte","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922015000600451&lang=pt" 
