"S0365-05962006000300002-scl","Sarcomas cutâneos primários","Fleury Jr, Luiz Fernando Fróes, Sanches Jr, José Antonio","Anais Brasileiros de Dermatologia; 81(3); 207-221","Anais Brasileiros de Dermatologia","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962006000300002&lang=pt" 
"S1516-35982006000300016-scl","Exigência nutricional de lisina para codornas européias machos de 21 a 49 dias de idade","Barreto, Sergio Luiz de Toledo, Araujo, Marcelle Santana de, Umigi, Regina Tie, Donzele, Juarez Lopes, Rocha, Tatiana Cristina da, Pinheiro, Sandra Regina Freitas, Teixeira, Rafael Bastos, Abreu, Franklin Vitor de Souza, Silva, Rodrigo Fortes","Revista Brasileira de Zootecnia; 35(3); 750-753","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000300016&lang=pt" 
"S1516-35982006000300017-scl","Avaliação de dietas com diferentes fontes protéicas para cães adultos","Carciofi, Aulus Cavalieri, Pontieri, Roberto, Ferreira, Cristiana Fonseca, Prada, Flavio","Revista Brasileira de Zootecnia; 35(3); 754-760","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000300017&lang=pt" 
"S1516-35982006000300021-scl","Níveis de proteína bruta na dieta e desempenho reprodutivo de fêmeas primíparas em gestação","Lima, Kedson Raul de Souza, Ferreira, Aloízio Soares, Manno, Maria Cristina, Donzele, Juarez Lopes, Araujo, Diogo","Revista Brasileira de Zootecnia; 35(3); 785-791","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000300021&lang=pt" 
"S1516-35982006000300026-scl","Valor energético de alguns alimentos alternativos para codornas japonesas","Sakamoto, Márcia Izumi, Murakami, Alice Eiko, Souza, Luciana Maria Garcia de, Franco, José Rodrigo Galli, Bruno, Luís Daniel Giusti, Furlan, Antonio Claudio","Revista Brasileira de Zootecnia; 35(3); 818-821","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000300026&lang=pt" 
"S1516-35982006000300025-scl","Utilização de complexo enzimático em dietas à base de sorgo-soja para frangos de corte","Santos, Maria do Socorro Vieira dos, Espíndola, Gastão Barreto, Fuentes, Maria de Fátima Freire, Freitas, Ednardo Rodrigues, Carvalho, Luiz Euquério de","Revista Brasileira de Zootecnia; 35(3); 811-817","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000300025&lang=pt" 
"S1516-35982006000300034-scl","Composição corporal e exigências de energia de mantença em bovinos Nelore, puros mestiços, em confinamento","Freitas, José Antônio de, Queiroz, Augusto César de, Dutra, Alecssandro Regal, Vieira, Ricardo Augusto Mendonça, Lana, Rogério de Paula, Leonel, Fernando de Paula, Henrique, Douglas Sampaio, Lima, Adhemar Ventura de, Souza, Júlio César de","Revista Brasileira de Zootecnia; 35(3); 878-885","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000300034&lang=pt" 
"S1516-35982006000300030-scl","Redução do nível de proteína bruta da ração com suplementação de aminoácidos sintéticos para leitões na fase inicial","Zangeronimo, Márcio Gilberto, Fialho, Elias Tadeu, Lima, José Augusto de Freitas, Rodrigues, Paulo Borges, Murgas, Luis David Solis","Revista Brasileira de Zootecnia; 35(3); 849-856","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000300030&lang=pt" 
"S1516-35982006000300019-scl","Formulação de rações para poedeiras com base em aminoácidos totais e digestíveis utilizando diferentes estimativas da composição de aminoácidos em alimentos","Filardi, Rosemeire da Silva, Casartelli, Elenice Maria, Junqueira, Otto Mack, Laurentiz, Antonio Carlos de, Assuena, Vinícius, Rodrigues, Eliana Aparecida","Revista Brasileira de Zootecnia; 35(3); 768-774","Revista Brasileira de Zootecnia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982006000300019&lang=pt" 
"S0716-078X2006000200001-chl","Efectos del rizocéfalo Loxothylacus armatus (Cirripedia: Rhizocephala) en el cangrejo Paraxanthus barbiger (Decapoda: Brachyura) en Chile","GEORGE-NASCIMENTO, MARIO, BUSTOS, JOSÉ","Revista chilena de historia natural; 79(2); 147-154","Revista chilena de historia natural","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-078X2006000200001&lang=pt" 
"S0716-078X2006000200002-chl","The effects of temperature and oxygen availability on intracapsular development of Acanthina monodon (Gastropoda: Muricidae)","FERNÁNDEZ, MIRIAM, PAPPALARDO, PAULA, JENO, KATHERINE","Revista chilena de historia natural; 79(2); 155-167","Revista chilena de historia natural","Inglês","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-078X2006000200002&lang=pt" 
