"S0101-31222006000100018-scl","Idade e tempo de armazenamento de frutos e qualidade fisiológica de sementes de abóbora híbrida","Costa, Caroline Jácome, Carmona, Ricardo, Nascimento, Warley Marcos","Revista Brasileira de Sementes; 28(1); 127-132","Revista Brasileira de Sementes","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31222006000100018&lang=pt" 
"S0101-31222006000100017-scl","Physiological quality of wheat seeds submitted to saline stress","Duarte, Gisela Loureiro, Lopes, Nei Fernandes, Moraes, Dario Munt de, Silva, Rodrigo Nascimento da","Revista Brasileira de Sementes; 28(1); 122-126","Revista Brasileira de Sementes","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31222006000100017&lang=pt" 
"S0101-31222006000100021-scl","Qualidade sanitária e germinação de sementes de Pterogyne nitens Tull. (Leguminosae - Caesalpinioideae)","Nascimento, Walnice Maria Oliveira do, Cruz, Eniel David, Moraes, Maria Heloísa Duarte, Menten, José Otávio Machado","Revista Brasileira de Sementes; 28(1); 149-153","Revista Brasileira de Sementes","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31222006000100021&lang=pt" 
"S0101-31222006000100026-scl","Bioensaio em casa-de-vegetação na detecção e quantificação de sementes de soja geneticamente modificada","Miranda, Denise Meza de, Tillmann, Maria Ângela André, Noldin, José Alberto, Balerini, Fábio","Revista Brasileira de Sementes; 28(1); 187-192","Revista Brasileira de Sementes","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31222006000100026&lang=pt" 
"S0101-31222006000100001-scl","Efeitos do condicionamento fisiológico e da secagem na germinação e no vigor de sementes de cenoura","Balbinot, Ernando, Lopes, Higino Marcos","Revista Brasileira de Sementes; 28(1); 1-8","Revista Brasileira de Sementes","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31222006000100001&lang=pt" 
"S0101-31222006000100002-scl","Adubação fosfatada, componentes de produção, produtividade e qualidade fisiológica em sementes de feijão","Zucareli, Claudemir, Ramos Junior, Edison Ulisses, Barreiro, Adriana Pacheco, Nakagawa, João, Cavariani, Claudio","Revista Brasileira de Sementes; 28(1); 9-15","Revista Brasileira de Sementes","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31222006000100002&lang=pt" 
"S0101-31222006000100004-scl","Condicionamento osmótico de sementes de beterraba","Costa, Caroline Jácome, Villela, Francisco Amaral","Revista Brasileira de Sementes; 28(1); 21-29","Revista Brasileira de Sementes","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31222006000100004&lang=pt" 
"S0101-31222006000100005-scl","Lipoxigenases e teor de ácido linolênico relacionados à qualidade de sementes de soja","Oliveira, Dario Alves de, Piovesan, Newton Deniz, José, Inês Chamel, Barros, Everaldo Gonçalves de, Dias, Denise Cunha Fernandes dos Santos, Moreira, Maurílio Alves","Revista Brasileira de Sementes; 28(1); 30-35","Revista Brasileira de Sementes","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31222006000100005&lang=pt" 
"S0101-31222006000100006-scl","Qualidade fisiológica de sementes de soja cultivada em rotação com milheto","Nakagawa, João, Lemos, Leandro Borges, Cavariani, Cláudio, Penariol, Fernando Guido","Revista Brasileira de Sementes; 28(1); 36-44","Revista Brasileira de Sementes","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31222006000100006&lang=pt" 
"S0101-31222006000100007-scl","Qualidade fisiológica e sanitária de sementes de arroz com diferentes graus de umidade e tratadas com fungicida","Schuch, Juliano Zambrano, Lucca Filho, Orlando Antonio, Peske, Silmar Teichert, Dutra, Luiz Marcelo Costa, Brancão, Mirian Fernandes, Rosenthal, Mariane D&#039;Ávila","Revista Brasileira de Sementes; 28(1); 45-53","Revista Brasileira de Sementes","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31222006000100007&lang=pt" 
"S0101-31222006000100008-scl","Aspectos morfológicos de frutos, sementes, germinação e plântulas de duas espécies florestais da Amazônia: I. Dinizia excelsa Ducke (Angelim-Pedra). II Cedrelinga catenaeformis Ducke (Cedrorana) - Leguminosae: Mimosoideae","Melo, Maria de Fátima Figueiredo, Varela, Vânia Palmeira","Revista Brasileira de Sementes; 28(1); 54-62","Revista Brasileira de Sementes","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31222006000100008&lang=pt" 
"S0101-31222006000100010-scl","Secagem e armazenamento de sementes de Eugenia brasiliensis Lam. (Grumixameira)","Kohoma, Sueli, Maluf, Angela Maria, Bilia, Denise Augusta Camargo, Barbedo, Claudio José","Revista Brasileira de Sementes; 28(1); 72-78","Revista Brasileira de Sementes","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31222006000100010&lang=pt" 
