"S0717-73482006000100010-chl","PANORAMA","Cruz M, Edgardo","Revista chilena de enfermedades respiratorias; 22(1); 68-73","Revista chilena de enfermedades respiratorias","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482006000100010&lang=pt" 
"S0717-92272006000100004-chl","Análisis base de datos unidad de hospitalización de corta estadía (uhce): Psiquiatría. Hospital Dr. Sótero del Río","Granmegna S, Gloria, Lora L, Rocío, Ahumada F, Paulina","Revista chilena de neuro-psiquiatría; 44(1); 23-38","Revista chilena de neuro-psiquiatría","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272006000100004&lang=pt" 
"S0717-92272006000100001-chl","EDITORIAL","","Revista chilena de neuro-psiquiatría; 44(1); 7-7","Revista chilena de neuro-psiquiatría","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272006000100001&lang=pt" 
"S0717-92272006000100002-chl","Piridoxina en el manejo de Disquinesias Tardías: Un estudio placebo controlado, randomizado, doble ciego y cruzado","Venegas F, Pablo, Sinning O, Mariana, Millán A, María, Miranda C, Marcelo, Robles G, Ignacio, Astudillo A, Priscilla, Peña, Sofia","Revista chilena de neuro-psiquiatría; 44(1); 9-14","Revista chilena de neuro-psiquiatría","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272006000100002&lang=pt" 
"S0717-92272006000100003-chl","Patrones de consumo de sustancias de una muestra no consultante de consumidores de pasta base de cocaína","Santis B, Rodrigo, Hayden C, Viviana, Ruiz P, Sergio, Anselmo M, Enzo, Torres B, Rafael, Hidalgo C, Carmen Gloria","Revista chilena de neuro-psiquiatría; 44(1); 15-22","Revista chilena de neuro-psiquiatría","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272006000100003&lang=pt" 
"S0717-92272006000100006-chl","Más allá de Freud. Una historia del pensamiento psicoanalítico moderno","Figueroa C, Gustavo","Revista chilena de neuro-psiquiatría; 44(1); 48-49","Revista chilena de neuro-psiquiatría","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272006000100006&lang=pt" 
"S0717-92272006000100007-chl","","Figueroa C, Gustavo","Revista chilena de neuro-psiquiatría; 44(1); 50-51","Revista chilena de neuro-psiquiatría","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272006000100007&lang=pt" 
"S0717-92272006000100008-chl","","","Revista chilena de neuro-psiquiatría; 44(1); 52-53","Revista chilena de neuro-psiquiatría","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272006000100008&lang=pt" 
"S0717-92272006000100010-chl","Jaime Court Lobo: El retiro de un Maestro","Soza M, Marco Antonio","Revista chilena de neuro-psiquiatría; 44(1); 57-60","Revista chilena de neuro-psiquiatría","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272006000100010&lang=pt" 
"S0717-92272006000100011-chl","Semblanza Juan Marconi Tassara","Minoletti S, Alberto","Revista chilena de neuro-psiquiatría; 44(1); 61-62","Revista chilena de neuro-psiquiatría","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272006000100011&lang=pt" 
"S0717-92272006000100012-chl","Nombramiento del Profesor Mario Gomberoff Jodorkovsky &quot;Maestro de la Psiquiatría Chilena&quot;: Jueves 17 de Noviembre 2005 60º Congreso Anual de la Sociedad de Neurología, Psiquiatría y Neurocirugía","Maass, Juan, Jordán, Juan Francisco, Tardito, Sonia, Vega, Jorge","Revista chilena de neuro-psiquiatría; 44(1); 63-70","Revista chilena de neuro-psiquiatría","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272006000100012&lang=pt" 
