"S1982-21702015000400730-scl","AVALIAÇÃO AUTOMÁTICA DA ACURÁCIA RELATIVA DE DADOS LIDAR AEROTRANSPORTADO","Dresch, Gabriel, Santos, Daniel Rodrigues dos","Boletim de Ciências Geodésicas; 21(4); 730-749","Boletim de Ciências Geodésicas","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-21702015000400730&lang=pt" 
"S1415-52732015000600641-scl","Agenda para Intensificação da Atenção Nutricional à Desnutrição Infantil: resultados de uma pactuação interfederativa no Sistema Único de Saúde","Ramos, Mayara Kelly Pereira, Lima, Ana Maria Cavalcante de, Gubert, Muriel Bauermann","Revista de Nutrição; 28(6); 641-653","Revista de Nutrição","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732015000600641&lang=pt" 
"S1982-21702015000400765-scl","ESTIMAÇÃO DE PARÂMETROS PCOs E PCVs POR INTEGRAÇÃO NUMÉRICA","Morescki Junior, Luiz Fernando Macedo, Ferreira, Luiz Danilo Damasceno","Boletim de Ciências Geodésicas; 21(4); 765-782","Boletim de Ciências Geodésicas","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-21702015000400765&lang=pt" 
"S0103-20702015000200305-scl","Acesso a posições de poder pela elite estancieira gaúcha: trajetórias sociais e investimentos escolares","Piccin, Marcos Botton","Tempo Social; 27(2); 305-328","Tempo Social","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702015000200305&lang=pt" 
"S1516-89132015000600944-scl","Encapsulation of Red Cabbage (Brassica oleracea L. var.capitata L. f. rubra) Anthocyanins by Spray Drying using Different Encapsulating Agents","Bernstein, Anahi, Noreña, Caciano Pelayo Zapata","Brazilian Archives of Biology and Technology; 58(6); 944-952","Brazilian Archives of Biology and Technology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132015000600944&lang=pt" 
"S1415-52732015000600667-scl","Gestão municipal do Programa Nacional de Alimentação Escolar nas capitais da região Sul do Brasil","Gabriel, Cristine Garcia, Goulart, Gabriela, Calvo, Maria Cristina Marino","Revista de Nutrição; 28(6); 667-680","Revista de Nutrição","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732015000600667&lang=pt" 
"S0103-20702015000200021-scl","Nova ideologia alemã? A teoria social envenenada de Niklas Luhmann","Minhoto, Laurindo Dias, Gonçalves, Guilherme Leite","Tempo Social; 27(2); 21-43","Tempo Social","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702015000200021&lang=pt" 
"S1516-89132015000600923-scl","Production of Lentiviral Vectors Encoding Recombinant Factor VIII Expression in Serum-Free Suspension Cultures","Caron, Angelo Luis, Picanço-Castro, Virgínia, Ansorge, Sven, Covas, Dimas Tadeu, Kamen, Amine, Swiech, Kamilla","Brazilian Archives of Biology and Technology; 58(6); 923-928","Brazilian Archives of Biology and Technology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132015000600923&lang=pt" 
"S1982-21702015000400691-scl","METODOLOGIA PARA MAPEAMENTO DE VULNERABILIDADE COSTEIRA À ELEVAÇÃO DO NÍVEL MÉDIO DO MAR (NMM) EM ESCALA LOCAL","Santos, Marcelo Soares Teles, Amaro, Venerando Eustáquio, Ferreira, Anderson Targino da Silva, Barboza, Andressa de Abreu, Figueiredo, Marília Crusoé, Araújo, Alana Grochowalski","Boletim de Ciências Geodésicas; 21(4); 691-705","Boletim de Ciências Geodésicas","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-21702015000400691&lang=pt" 
"S1516-89132015000600905-scl","Isolation and Characterization of Midgut Lectin From Aedes aegypti (L.) (Diptera: Culicidae)","Ayaad, Tahany Hassan, Al-Akeel, Rasha Khalifah, Olayan, Ebtisam","Brazilian Archives of Biology and Technology; 58(6); 905-912","Brazilian Archives of Biology and Technology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132015000600905&lang=pt" 
"S1516-89132015000600854-scl","Genes Regulating Maternal Recognition of Pregnancy in Domestic Animals: an Update","Mor, Avantika, Mondal, Sukanta, Reddy, Ippala Janardana, Soumya, N.P","Brazilian Archives of Biology and Technology; 58(6); 854-863","Brazilian Archives of Biology and Technology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132015000600854&lang=pt" 
"S1516-89132015000600821-scl","In vitro Antimicrobial Assay of Actinomycetes in Rice AgainstXanthomonas oryzae pv. oryzicola and as Potential Plant Growth Promoter","Hata, Erneeza Mohd, Sijam, Kamaruzaman, Ahmad, Zainal Abidin Mior, Yusof, Mohd Termizi, Azman, Noor Aisyah","Brazilian Archives of Biology and Technology; 58(6); 821-832","Brazilian Archives of Biology and Technology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132015000600821&lang=pt" 
"S0103-20702015000200181-scl","Levando o indivíduo a sério: a relação indivíduo-sociedade na teoria dos sistemas","Corsi, Giancarlo","Tempo Social; 27(2); 181-198","Tempo Social","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702015000200181&lang=pt" 
"S1516-89132015000600869-scl","In vitro Anticancer Property of Yellow Pigment fromStreptomyces griseoaurantiacus JUACT 01","Prashanthi, Kuruvalli, Suryan, Sandeep, Varalakshmi, Kilinger Nadumane","Brazilian Archives of Biology and Technology; 58(6); 869-876","Brazilian Archives of Biology and Technology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132015000600869&lang=pt" 
"S1982-21702015000400674-scl","AVALIAÇÃO DOS INTERPOLADORES KRIGAGEM E TOPO TO RASTER PARA GERAÇÃO DE MODELOS DIGITAIS DE ELEVAÇÃO A PARTIR DE UM &quot;AS BUILT&quot;","Carmo, Edilson José do, Rodrigues, Dalto Domingos, Santos, Gerson Rodrigues Dos","Boletim de Ciências Geodésicas; 21(4); 674-690","Boletim de Ciências Geodésicas","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-21702015000400674&lang=pt" 
"S1415-52732015000600655-scl","(In)segurança alimentar entre famílias com crianças menores de cinco anos residentes em área de vulnerabilidade social de Campina Grande, Paraíba","Bezerra, Thaíse Alves, Pedraza, Dixis Figueroa","Revista de Nutrição; 28(6); 655-665","Revista de Nutrição","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732015000600655&lang=pt" 
"S1415-52732015010700002-scl","Estigma do nutricionista com obesidade","Araújo, Kênya Lima de","Revista de Nutrição; 28(6); 2-2","Revista de Nutrição","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732015010700002&lang=pt" 
"S1982-21702015000400706-scl","MINERAÇÃO DE DADOS APLICADA À DISCRIMINAÇÃO DA COBERTURA DA TERRA EM IMAGEM LANDSAT 8 OLI","Santos, Guilherme Domingues dos, Francisco, Cristiane Nunes, Almeida, Cláudia Maria de","Boletim de Ciências Geodésicas; 21(4); 706-720","Boletim de Ciências Geodésicas","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-21702015000400706&lang=pt" 
"S1415-52732015010700001-scl","Vários estudos indicam uma associação entre dieta mediterrânea e diminuição do risco de doença de Alzheimer","Sousa, Maria João","Revista de Nutrição; 28(6); 1-1","Revista de Nutrição","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732015010700001&lang=pt" 
"S1415-52732015000600691-scl","Prevention of Alzheimer&#039;s disease: The role of the Mediterranean diet","Sousa, Maria João, Guimarães, Joana","Revista de Nutrição; 28(6); 691-703","Revista de Nutrição","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732015000600691&lang=pt" 
"S0103-20702015000200153-scl","Marxismo e evolução: alegações para a retomada de um programa de pesquisa","Brunkhorst, Hauke","Tempo Social; 27(2); 153-165","Tempo Social","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702015000200153&lang=pt" 
