"S0187-73802015000400011-mex","Un método preciso para medir severidad de roya de la hoja (Puccinia triticina Eriksson) en trigo","Sauceda-Acosta, Carlos P., Lugo-García, Gabriel A., Villaseñor-Mir, Héctor E., Partida-Ruvalcaba, Leopoldo, Reyes-Olivas, Álvaro","Revista fitotecnia mexicana; 38(4); 427-434","Revista fitotecnia mexicana","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-73802015000400011&lang=pt" 
"S0718-16202015000300012-chl","Energy potential of vine shoots in La Rioja (Spain) and their dependence on several viticultural factors","Mendívil, Manuel Antonio, Muñoz, Pedro, Morales, María Pilar, Juárez Castelló, Manuel C","Ciencia e investigación agraria; 42(3); 443-451","Ciencia e investigación agraria","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-16202015000300012&lang=pt" 
"S0718-16202015000300011-chl","Fire, logging and establishment patterns of second-growth forests in south-central Chile: implications for their management and restoration","González, Mauro E, Szejner, Paul, Donoso, Pablo J, Salas, Christian","Ciencia e investigación agraria; 42(3); 415-425","Ciencia e investigación agraria","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-16202015000300011&lang=pt" 
"S0718-04622015000200002-chl","Chile en la experiencia latinoamericana de la &quot;solidaridad&quot; y del nacimiento de la &quot;razón poética&quot; en María Zambrano","Cámara, Madeline","Atenea (Concepción); (512); 15-32","Atenea (Concepción)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-04622015000200002&lang=pt" 
"S0718-04622015000200012-chl","Impronta andina entre los Kamaskos del Wenuleufu","Moulian, Rodrigo, Espinoza, Pablo","Atenea (Concepción); (512); 211-230","Atenea (Concepción)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-04622015000200012&lang=pt" 
"S0718-04622015000200016-chl","Los teatros en el Chile íntimo del siglo XX: Una aproximación sociológica desde una historia local","Poblete Vásquez, Mario, Saavedra Utman, Jorge","Atenea (Concepción); (512); 285-302","Atenea (Concepción)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-04622015000200016&lang=pt" 
"S0718-16202015000300004-chl","Methodology for determining the suitability of land for the cultivation of highbush blueberry: a case study on a farm in Southern Chile","Vera, Leonardo, Montalba, René, Vieli, Lorena, Jorquera, Emilio, González, Isabel","Ciencia e investigación agraria; 42(3); 353-364","Ciencia e investigación agraria","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-16202015000300004&lang=pt" 
"S0718-16202015000300016-chl","Innovation in the agricultural sector: Experiences in Latin America","Chávez, Ricardo X, Lombeida, Emma D, Pazmiño, Álvaro M, Vasconez, Flora del C","Ciencia e investigación agraria; 42(3); 487-496","Ciencia e investigación agraria","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-16202015000300016&lang=pt" 
"S0718-04622015000200006-chl","El &quot;Golpe Generacional&quot; y la Secretaría Nacional de la Juventud: purga, disciplinamiento y resocialización de las identidades juveniles bajo Pinochet (1973-1980)","González, Yanko","Atenea (Concepción); (512); 87-111","Atenea (Concepción)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-04622015000200006&lang=pt" 
"S0718-16202015000300005-chl","Colonization of blueberry (Vaccinium corymbosum) plantlets by ericoid mycorrhizae under nursery conditions","Carrillo, Rubén, Guerrero, Jaime, Rodríguez, Mario, Meriño-Gergichevich, Cristian","Ciencia e investigación agraria; 42(3); 365-374","Ciencia e investigación agraria","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-16202015000300005&lang=pt" 
"S1409-45682015000200063-cri","Validación de apariencia, contenido y consistencia interna de la Escala de Apreciación de Agencia de Autocuidado (ASA) para Costa Rica, segunda versión en español","Leiva Díaz, Viriam, Cubillo Vargas, Kenneth, Porras Gutiérrez, Yuliany, Ramírez Villegas, Tatiana, Sirias Wong, Isabel","Enfermería Actual de Costa Rica; (29); 63-78","Enfermería Actual de Costa Rica","Espanhol","2015","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-45682015000200063&lang=pt" 
"S0103-63512015000300673-scl","Comportamento do desemprego regional no Brasil: uma aplicação de teste de convergência em painel","Ferrari, Tatiana Kolodin, Brasil, Gutemberg Hespanha","Nova Economia; 25(3); 673-688","Nova Economia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-63512015000300673&lang=pt" 
"S0718-10432015000200006-chl","PROTOCOLOS Y AVANCES EN EL ESTUDIO DE RESIDUOS DE PIPAS ARQUEOLÓGICAS DE ARGENTINA: APORTES PARA EL ENTENDIMIENTO DE METODOLOGÍAS ACTUALES Y PRÁCTICAS PASADAS","Lema, Verónica S, Andreoni, Diego, Capparelli, Aylen, Ortiz, Gabriela, Spano, Romina, Quesada, Marcos, Zorzi, Flavia","Estudios atacameños; (51); 77-97","Estudios atacameños","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-10432015000200006&lang=pt" 
"S0718-10432015000200010-chl","DEL GÉNESIS A LOS ANDES: LA CRONOLOGÍA DEL INCARIO EN LA HISTORIA DE LOS INCAS DE PEDRO SARMIENTO DE GAMBOA (1572)","González Díaz, Soledad","Estudios atacameños; (51); 153-175","Estudios atacameños","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-10432015000200010&lang=pt" 
"S0718-22012015000200013-chl","TRANSICIONES CURRICULARES EN EDUCACIÓN INTERCULTURAL: DESDE EL ROCK Y EL HIP-HOP, AL CANTO TRADICIONAL MAPUCHE (ÜL)","Forno Sparosvich, Amilcar, Soto Silva, Ignacio","Alpha (Osorno); (41); 177-190","Alpha (Osorno)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22012015000200013&lang=pt" 
