"S1516-44462005000300009-scl","Comparison of Brazilian and American norms for the International Affective Picture System (IAPS)","Ribeiro, Rafaela Larsen, Pompéia, Sabine, Bueno, Orlando Francisco Amodeo","Revista Brasileira de Psiquiatria; 27(3); 208-215","Revista Brasileira de Psiquiatria","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462005000300009&lang=pt" 
"S1516-44462005000300010-scl","Diurnal panic attacks with and without nocturnal panic attacks: are there some phenomenological differences?","Lopes, Fabiana L, Nardi, Antonio E, Nascimento, Isabella, Valença, Alexandre M, Mezzasalma, Marco A, Freire, Rafael C, Zin, Walter A","Revista Brasileira de Psiquiatria; 27(3); 216-221","Revista Brasileira de Psiquiatria","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462005000300010&lang=pt" 
"S1516-44462005000300016-scl","Glutamate modulators as novel interventions for mood disorders","Mathew, Sanjay J, Keegan, Kathryn, Smith, Lisa","Revista Brasileira de Psiquiatria; 27(3); 243-248","Revista Brasileira de Psiquiatria","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462005000300016&lang=pt" 
"S1516-89132005000600006-scl","In vitro culture of Vriesea gigantea and Vriesea philippocoburgii: two vulnerable bromeliads native to Southern Brazil","Droste, Annette, Silva, Anelise Machado da, Matos, Adriana Vieira, Almeida, Júlia Winck de","Brazilian Archives of Biology and Technology; 48(5); 717-722","Brazilian Archives of Biology and Technology","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132005000600006&lang=pt" 
"S1516-89132005000600011-scl","Free-radical scavenging capacity and antioxidant properties of some selected onions (Allium cepa L.) and garlic (Allium sativum L.) extracts","Benkeblia, Noureddine","Brazilian Archives of Biology and Technology; 48(5); 753-759","Brazilian Archives of Biology and Technology","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132005000600011&lang=pt" 
"S1516-89132005000600017-scl","Aerial line transect survey to estimate abundance of marsh deer (Blastocerus dichotomus) (Illiger, 1815)","Andriolo, Artur, Piovezan, Ubiratan, Costa, Mateus José Rodrigues Paranhos da, Laake, Jeff, Duarte, José Maurício Barbanti","Brazilian Archives of Biology and Technology; 48(5); 807-814","Brazilian Archives of Biology and Technology","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132005000600017&lang=pt" 
"S1806-83242005000300008-scl","Application of the total etching technique or self-etching primers on primary teeth after air abrasion","Leite, Fábio Renato Manzolli, Capote, Ticiana Sidorenko de Oliveira, Zuanon, Angela Cristina Cilense","Brazilian Oral Research; 19(3); 198-202","Brazilian Oral Research","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242005000300008&lang=pt" 
"S1806-83242005000300012-scl","Assessment of methyl methacrylate vapor toxicity on the rat tracheal epithelium","Parizi, José Luiz Santos, Nai, Gisele Alborghetti, Batalha, Camila Fedatto, Lopes, Carla Cristina Barbosa, Rizzo, Mariana Fernandez, Falcone, Ciro Eduardo, Bertão, José Maria","Brazilian Oral Research; 19(3); 223-227","Brazilian Oral Research","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242005000300012&lang=pt" 
"S1516-44462005000300008-scl","Clinical subtypes of obsessive-compulsive disorder based on the presence of checking and washing compulsions","Fontenelle, Leonardo F, Mendlowicz, Mauro V, Versiani, Marcio","Revista Brasileira de Psiquiatria; 27(3); 201-207","Revista Brasileira de Psiquiatria","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462005000300008&lang=pt" 
"S1516-44462005000300006-scl","Comparative study of drug use among undergraduate students at the University of São Paulo: São Paulo campus in 1996 and 2001","Stempliuk, Vladimir de Andrade, Barroso, Lucia Pereira, Andrade, Arthur Guerra de, Nicastri, Sérgio, Malbergier, André","Revista Brasileira de Psiquiatria; 27(3); 185-193","Revista Brasileira de Psiquiatria","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462005000300006&lang=pt" 
"S1516-44462005000300017-scl","Neurogênese e depressão: etiologia ou nova ilusão?","Scorza, Fulvio Alexandre, Guerra, Alexandro de Borja Gonçalves, Cavalheiro, Esper Abrão, Calil, Helena Maria","Revista Brasileira de Psiquiatria; 27(3); 249-253","Revista Brasileira de Psiquiatria","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462005000300017&lang=pt" 
"S0100-46702005000300002-scl","Electrochemical evaluation of lipophilic antioxidants from Iryanthera juruensis fruits (Myristicaceae)","Silva, D. H. S., Pereira, F. C., Yoshida, M., Zanoni, M. V. B.","Eclética Química; 30(3); 15-21","Eclética Química","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-46702005000300002&lang=pt" 
"S0100-46702005000300001-scl","Synthesis, characterization and thermal studies on solid 3-methoxybenzoate of some bivalent transition metal ions","Vallejo, A. C., Siqueira, A. B., Rodrigues, E. C., Ionashiro, E.Y., Bannach, G., Ionashiro, M.","Eclética Química; 30(3); 7-13","Eclética Química","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-46702005000300001&lang=pt" 
"S0100-46702005000300004-scl","Síntese de hidroxiapatita pelo método sol-gel utilizando precursores alternativos: nitrato de cálcio e ácido fosfórico","Santos, M. L., Florentino, A. O., Saeki, M. J., Aparecida, A. H., Fook, M. V. Lia, Guastaldi, A. C.","Eclética Química; 30(3); 29-35","Eclética Química","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-46702005000300004&lang=pt" 
"S0100-46702005000300010-scl","Fast determination of minoxidil by photometric flow titration","Sousa, R. A. de, Semaan, F. S., Baio, J. A. F., Cavalheiro, E. T. G.","Eclética Química; 30(3); 79-84","Eclética Química","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-46702005000300010&lang=pt" 
"S0100-46702005000300007-scl","Electrochemical evidence of sulfinic acid derivative as an intermediate in the reduction of aromatic sulfonyl chloride in an aprotic medium","Angelo, A. C .D., Jorge, S. M. A., Stradiotto, N. R.","Eclética Química; 30(3); 57-61","Eclética Química","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-46702005000300007&lang=pt" 
"S0100-46702005000300009-scl","Estudo do comportamento térmico dos compostos de Ag+ e Pb2+ com o ligante 1,4-bis(3-carbóxi-3-oxo-prop-1-enil)benzeno","Oliveira, J. D. S. de, Barilli, D. J., Hamer, M., Siqueira, O. S., Ionashiro, M.","Eclética Química; 30(3); 73-77","Eclética Química","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-46702005000300009&lang=pt" 
"S0100-46702005000300003-scl","Spectrophotometric determination of methyldopa in pharmaceutical formulations","Ribeiro, P. R. S., Pezza, L., Pezza, H. R.","Eclética Química; 30(3); 23-28","Eclética Química","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-46702005000300003&lang=pt" 
