"S0104-66322004000400007-scl","Use of grape must as a binder to obtain activated carbon briquettes","Deiana, A. C., Granados, D. L., Petkovic, L. M., Sardella, M. F., Silva, H. S.","Brazilian Journal of Chemical Engineering; 21(4); 585-591","Brazilian Journal of Chemical Engineering","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322004000400007&lang=pt" 
"S0104-66322004000400014-scl","Liquid-liquid equilibria of propionic acid - water - solvent (n-hexane, cyclohexane, cyclohexanol and cyclohexyl acetate) ternaries at 298.15 K","Özmen, D., Dramur, U., Tatli, B.","Brazilian Journal of Chemical Engineering; 21(4); 647-657","Brazilian Journal of Chemical Engineering","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322004000400014&lang=pt" 
"S0104-66322004000400013-scl","Desorption of toluene from modified clays using supercritical carbon dioxide","Carneiro, D. G. P., Mendes, M. F., Coelho, G. L. V.","Brazilian Journal of Chemical Engineering; 21(4); 641-646","Brazilian Journal of Chemical Engineering","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322004000400013&lang=pt" 
"S0104-66322004000400002-scl","Improving selectivity and productivity of the enzymatic synthesis of ampicillin with immobilized penicillin G acylase","Ferreira, A. L. O., Giordano, R. L. C., Giordano, R. C.","Brazilian Journal of Chemical Engineering; 21(4); 519-529","Brazilian Journal of Chemical Engineering","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322004000400002&lang=pt" 
"S0104-66322004000400003-scl","Two-phase aqueous micellar systems: an alternative method for protein purification","Rangel-Yagui, C. O., Pessoa-Jr, A., Blankschtein, D.","Brazilian Journal of Chemical Engineering; 21(4); 531-544","Brazilian Journal of Chemical Engineering","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322004000400003&lang=pt" 
"S0104-66322004000400004-scl","Modeling, simulation, and optimization of a front-end system for acetylene hydrogenation reactors","Gobbo, R., Soares, R. P., Lansarin, M. A., Secchi, A. R., Ferreira, J. M. P.","Brazilian Journal of Chemical Engineering; 21(4); 545-556","Brazilian Journal of Chemical Engineering","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322004000400004&lang=pt" 
"S0104-66322004000400006-scl","A numerical simulation analysis of the effect of the interface drag function on cluster evolution in a CFB riser gas-solid flow","Gómez, L. C., Milioli, F. E.","Brazilian Journal of Chemical Engineering; 21(4); 569-583","Brazilian Journal of Chemical Engineering","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322004000400006&lang=pt" 
"S0104-66322004000400010-scl","Mutual diffusion coefficient models for polymer-solvent systems based on the Chapman-Enskog theory","Reis, R. A., Nobrega, R., Tavares, F. W., Oliveira, J. Vladimir","Brazilian Journal of Chemical Engineering; 21(4); 611-619","Brazilian Journal of Chemical Engineering","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322004000400010&lang=pt" 
"S0104-66322004000400012-scl","Using pervaporation data in the calculation of vapour permeation hollow-fibre modules for aroma recovery","Ribeiro Jr., C. P., Borges, C. P.","Brazilian Journal of Chemical Engineering; 21(4); 629-640","Brazilian Journal of Chemical Engineering","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322004000400012&lang=pt" 
"S0104-66322004000400016-scl","Mass transport in spheroids using the Galerkin method","Lima, D. R., Farias, S. N., Lima, A. G. B.","Brazilian Journal of Chemical Engineering; 21(4); 667-680","Brazilian Journal of Chemical Engineering","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322004000400016&lang=pt" 
"S0104-66322004000400009-scl","An experimental study of asphaltene particle sizes in n-heptane-toluene mixtures by light scattering","Rajagopal, K., Silva, S. M. C.","Brazilian Journal of Chemical Engineering; 21(4); 601-609","Brazilian Journal of Chemical Engineering","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322004000400009&lang=pt" 
"S0102-311X2004000600029-spa","Bases conceituais para uma estratégia de gestão: o caso da Rede Nacional de Bancos de Leite Humano","Maia, Paulo Ricardo da Silva, Novak, Franz Reis, Almeida, João Aprígio Guerra de, Silva, Danielle Aparecida da","Cadernos de Saúde Pública; 20(6); 1700-1708","Cadernos de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000600029&lang=pt" 
"S0102-311X2004000600028-spa","Bioética e atenção básica: um perfil dos problemas éticos vividos por enfermeiros e médicos do Programa Saúde da Família, São Paulo, Brasil","Zoboli, Elma Lourdes Campos Pavone, Fortes, Paulo Antonio de Carvalho","Cadernos de Saúde Pública; 20(6); 1690-1699","Cadernos de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000600028&lang=pt" 
"S0102-311X2004000600027-spa","A experiência da perimenopausa e pós-menopausa com mulheres que fazem uso ou não da terapia de reposição hormonal","Vigeta, Sônia Maria Garcia, Brêtas, Ana Cristina Passarella","Cadernos de Saúde Pública; 20(6); 1682-1689","Cadernos de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000600027&lang=pt" 
"S0102-311X2004000600024-spa","Fatores de risco para transmissão do HIV em usuários de drogas de Porto Alegre, Rio Grande do Sul, Brasil","Pechansky, Flavio, Von Diemen, Lisia, Inciardi, James A., Surratt, Hilary, De Boni, Raquel","Cadernos de Saúde Pública; 20(6); 1651-1660","Cadernos de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000600024&lang=pt" 
"S0102-311X2004000600022-spa","Childhood anemia prevalence and associated factors in Salvador, Bahia, Brazil","Assis, Ana Marlúcia O., Barreto, Mauricio L., Gomes, Gecynalda Soares da Silva, Prado, Matildes da Silva, Santos, Nedja Silva dos, Santos, Leonor Maria Pacheco, Sampaio, Lílian Ramos, Ribeiro, Rita de Cássia, Oliveira, Lucivalda Pereira Magalhães de, Oliveira, Valterlinda Alves de","Cadernos de Saúde Pública; 20(6); 1633-1641","Cadernos de Saúde Pública","Inglês","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000600022&lang=pt" 
"S0102-311X2004000600021-spa","Prevalence of obesity in preschool children from five towns in São Paulo State, Brazil","Saldiva, Silvia Regina Dias Medici, Escuder, Maria Mercedes Loureiro, Venâncio, Sonia Isoyama, Benicio, Maria Helena D&#039;Aquino","Cadernos de Saúde Pública; 20(6); 1627-1632","Cadernos de Saúde Pública","Inglês","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000600021&lang=pt" 
"S0102-311X2004000600020-spa","Perfil de morbidade e de mortalidade de pacientes idosos hospitalizados","Amaral, Ana Claudia Santos, Coeli, Cláudia Medina, Costa, Maria do Carmo Esteves da, Cardoso, Vânia da Silva, Toledo, Ana Lúcia Araújo de, Fernandes, Carla Rodrigues","Cadernos de Saúde Pública; 20(6); 1617-1626","Cadernos de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000600020&lang=pt" 
