"S0103-17592004000400010-scl","Sistema de detecção automática de paroxismos epileptogênicos em sinais de eletroencefalograma","Argoud, Fernanda Isabel Marques, Azevedo, Fernando Mendes de, Marino Neto, José","Sba: Controle &amp; Automação Sociedade Brasileira de Automatica; 15(4); 467-475","Sba: Controle &amp; Automação Sociedade Brasileira de Automatica","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-17592004000400010&lang=pt" 
"S1677-04202004000300002-scl","Narrow band spectral indexes for chlorophyll determination in soybean canopies [Glycine max (L.) Merril]","Ferri, Clotilde Pinheiro, Formaggio, Antonio Roberto, Schiavinato, Marlene Aparecida","Brazilian Journal of Plant Physiology; 16(3); 131-136","Brazilian Journal of Plant Physiology","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-04202004000300002&lang=pt" 
"S1677-04202004000300008-scl","Photosynthetic performance in jack bean [Canavalia ensiformis (L.) D.C.] under drought and after rehydration","Zanella, Fábio, Watanabe, Tania Misae, Lima, Ana Lúcia da Silva, Schiavinato, Marlene Aparecida","Brazilian Journal of Plant Physiology; 16(3); 181-184","Brazilian Journal of Plant Physiology","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-04202004000300008&lang=pt" 
"S1677-04202004000300005-scl","Interactions between leaf water potential, stomatal conductance and abscisic acid content of orange trees submitted to drought stress","Gomes, Mara de Menezes de Assis, Lagôa, Ana Maria Magalhães Andrade, Medina, Camilo Lázaro, Machado, Eduardo Caruso, Machado, Marcos Antônio","Brazilian Journal of Plant Physiology; 16(3); 155-161","Brazilian Journal of Plant Physiology","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-04202004000300005&lang=pt" 
"S1676-24442004000600011-scl","Estudo preliminar do SISCOLO-Qualidade na rede de saúde pública de São Paulo","Maeda, Marina Yoshiê Sakamoto, di Loreto, Celso, Barreto, Elci, Cavaliere, Maria José, Utagawa, Maria Lucia, Sakai, Yuriko Ito, Corrêa, Romualdo Osório, Adura, Pekie Johanna Diaz, Marzola, Valéria de Oliveira","Jornal Brasileiro de Patologia e Medicina Laboratorial; 40(6); 425-429","Jornal Brasileiro de Patologia e Medicina Laboratorial","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442004000600011&lang=pt" 
"S1676-24442004000600003-scl","Diagnóstico clínico e laboratorial da deficiência isolada do hormônio do crescimento em crianças e adolescentes portadores da mutação no gene do receptor do hormônio liberador do hormônio de crescimento em Itabaianinha, Sergipe","Menezes, Carlos Alberto, Aragão, Valdinaldo, Rios-Santos, Fabrício, Aguiar-Oliveira, Manuel Hermínio","Jornal Brasileiro de Patologia e Medicina Laboratorial; 40(6); 371-378","Jornal Brasileiro de Patologia e Medicina Laboratorial","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442004000600003&lang=pt" 
"S1676-24442004000600009-scl","Estudo morfológico dos fibroadenomas da mama: uma análise comparativa entre grupos etários","Calado, Sandra Simon, Lima, Maria do Carmo Carvalho de Abreu e","Jornal Brasileiro de Patologia e Medicina Laboratorial; 40(6); 411-419","Jornal Brasileiro de Patologia e Medicina Laboratorial","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442004000600009&lang=pt" 
"S1676-24442004000600008-scl","Expressão imuno-histoquímica e valor prognóstico da proteína p53 no carcinoma de vesícula biliar: estudo de 60 casos","Rocha, Andréa Oxley da, Coutinho, Lígia Maria Barbosa, Leboute, Laís Dal Pino, Scholl, João Grigoletti","Jornal Brasileiro de Patologia e Medicina Laboratorial; 40(6); 403-410","Jornal Brasileiro de Patologia e Medicina Laboratorial","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442004000600008&lang=pt" 
"S1676-24442004000600010-scl","Carcinoma adenóide cístico: revisão da literatura e relato de caso clínico","Alves, Adriana Terezinha N. N., Soares, Flávia Dantas, Silva Junior, Arley, Medeiros, Ney, Milagres, Adrianna","Jornal Brasileiro de Patologia e Medicina Laboratorial; 40(6); 421-424","Jornal Brasileiro de Patologia e Medicina Laboratorial","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442004000600010&lang=pt" 
"S0100-204X2004001200003-scl","Pressão de aplicação com pulverizador de barra e eficiência de bioinseticidas fúngicos comerciais","Guimarães, Cesar de Oliveira, Correia, Antônia do Carmo Barcelos, Ferreira, Marcelo da Costa","Pesquisa Agropecuária Brasileira; 39(12); 1177-1182","Pesquisa Agropecuária Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2004001200003&lang=pt" 
"S0100-204X2004001200002-scl","Indicadores de produção de soja no Rio Grande do Sul comparados ao zoneamento agrícola","Melo, Ricardo Wanke de, Fontana, Denise Cybis, Berlato, Moacir Antonio","Pesquisa Agropecuária Brasileira; 39(12); 1167-1175","Pesquisa Agropecuária Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2004001200002&lang=pt" 
