"S0066-782X2004001600011-scl","Cardiologia baseada em evidência","Victor, Edgar Guimarães, Marco, André de","Arquivos Brasileiros de Cardiologia; 83(4); 355-356","Arquivos Brasileiros de Cardiologia","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2004001600011&lang=pt" 
"S0066-782X2004001600001-scl","Pesquisa básica na terapia celular: luxo ou necessidade?","Dohmann, Hans Fernando Rocha","Arquivos Brasileiros de Cardiologia; 83(4); 275-277","Arquivos Brasileiros de Cardiologia","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2004001600001&lang=pt" 
"S0066-782X2004001600002-scl","Tétrade de Fallot: qual o real benefício da correção operatória na idade adulta?","Atik, Edmar, Atik, Fernando Antibas","Arquivos Brasileiros de Cardiologia; 83(4); 278-279","Arquivos Brasileiros de Cardiologia","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2004001600002&lang=pt" 
"S0066-782X2004001600010-scl","Terapia de células-tronco no infarto agudo do miocárdio, através de perfusão coronariana retrógrada: uma nova técnica","Murad-Netto, Stans, Moura, Rogério, Romeo, Luiz José Martins, Manoel Neto, Antônio, Duarte, Neison, Barreto, Fernando, Jensen, André, Fernandez Viña, Roberto, Vraslovik, Francisco, Oberdan, Andrin, Benetti, Frederico, Saslavsky, Jorge, Fernandez Viña, Marcelo, Amino, José Geraldo","Arquivos Brasileiros de Cardiologia; 83(4); 349-351","Arquivos Brasileiros de Cardiologia","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2004001600010&lang=pt" 
"S0066-782X2004001600008-scl","A cirurgia de revascularização do miocárdio sem circulação extracorpórea minimiza o sangramento pós-operatório e a necessidade transfusional","Atik, Fernando Antibas, Miana, Leonardo Augusto, Jatene, Fábio B., Auler Júnior, José Otávio C., Oliveira, Sérgio Almeida de","Arquivos Brasileiros de Cardiologia; 83(4); 332-337","Arquivos Brasileiros de Cardiologia","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2004001600008&lang=pt" 
"S0066-782X2004001600009-scl","Miocardite aguda secundaria a feocromocitoma","Magalhães, Lucélia Cunha, Darze, Eduardo S., Ximenes, Antônio, Santana, Oto, Bastos, Jorge, Guimarães, Armênio","Arquivos Brasileiros de Cardiologia; 83(4); 343-345","Arquivos Brasileiros de Cardiologia","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2004001600009&lang=pt" 
"S0066-782X2004001600014-scl","Errata","","Arquivos Brasileiros de Cardiologia; 83(4); 364-364","Arquivos Brasileiros de Cardiologia","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2004001600014&lang=pt" 
"S0036-46652004000500017-scl","Los hongos de El Edén Quintana Roo: introducción a la micobiota tropical de México","Guzmán, Gastón","Revista do Instituto de Medicina Tropical de São Paulo; 46(5); 282-282","Revista do Instituto de Medicina Tropical de São Paulo","Espanhol","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652004000500017&lang=pt" 
"S0036-46652004000500016-scl","Zoonosis y enfermedades transmisibles comunes al hombre y a los animales","Periago, Mirta Roses","Revista do Instituto de Medicina Tropical de São Paulo; 46(5); 278-278","Revista do Instituto de Medicina Tropical de São Paulo","Espanhol","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652004000500016&lang=pt" 
"S0036-46652004000500015-scl","El VIH/SIDA en países de América Latina: los retos futuros","Abreu, Anabela Garcia, Noguer, Isabel, Cowgill, Karen","Revista do Instituto de Medicina Tropical de São Paulo; 46(5); 268-268","Revista do Instituto de Medicina Tropical de São Paulo","Espanhol","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652004000500015&lang=pt" 
"S0036-46652004000500014-scl","Vacunas: prevención de enfermedades y protección de la salud","Quadros, Ciro A. de","Revista do Instituto de Medicina Tropical de São Paulo; 46(5); 242-242","Revista do Instituto de Medicina Tropical de São Paulo","Espanhol","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652004000500014&lang=pt" 
"S0036-46652004000500010-scl","Murine (endemic) typhus in Brazil: case report and review","Silva, Luiz J., Papaiordanou, Priscila M.O.","Revista do Instituto de Medicina Tropical de São Paulo; 46(5); 283-285","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652004000500010&lang=pt" 
"S0036-46652004000500001-scl","Candidemia in a Brazilian tertiary care hospital: species distribution and antifungal susceptibility patterns","Antunes, Ana Graciela Ventura, Pasqualotto, Alessandro Comarú, Diaz, María Cristina, d&#039;Azevedo, Pedro Alves, Severo, Luiz Carlos","Revista do Instituto de Medicina Tropical de São Paulo; 46(5); 239-241","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652004000500001&lang=pt" 
"S0036-46652004000500008-scl","Detection of Mycobacterium leprae DNA for 36kDa protein in urine from leprosy patients: a preliminary report","Parkash, Om, Singh, Hari Bhan, Rai, Subha, Pandey, Archna, Katoch, Vishwa Mohan, Girdhar, Bhawneshwar Kumar","Revista do Instituto de Medicina Tropical de São Paulo; 46(5); 275-277","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652004000500008&lang=pt" 
"S0036-46652004000500004-scl","Comparative study of the topical effectiveness of the andiroba oil (Carapa guianensis) and DEET 50% as repellent for Aedes sp","Miot, Hélio Amante, Batistella, Rafaelle Fernandes, Batista, Khristiani de Almeida, Volpato, Dimas Eduardo Carneiro, Augusto, Leonardo Silveira Teixeira, Madeira, Newton Goulart, Haddad Jr., Vidal, Miot, Luciane Donida Bartoli","Revista do Instituto de Medicina Tropical de São Paulo; 46(5); 253-256","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652004000500004&lang=pt" 
"S0036-46652004000500009-scl","Paracoccidioidomycosis in organ transplant recipient: case report","Zavascki, Alexandre Prehn, Bienardt, João Carlos, Severo, Luiz Carlos","Revista do Instituto de Medicina Tropical de São Paulo; 46(5); 279-281","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652004000500009&lang=pt" 
"S0036-46652004000500007-scl","Sanitary conditions of a colony of urban feral cats (Felis catus Linnaeus, 1758) in a zoological garden of Rio de Janeiro, Brazil","Mendes-de-Almeida, Flavya, Faria, Maria Carolina Ferreira, Branco, Aline Serricella, Serrão, Maria Lucia, Souza, Aline Moreira, Almosny, Nádia, Charme, Márcia, Labarthe, Norma","Revista do Instituto de Medicina Tropical de São Paulo; 46(5); 269-274","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652004000500007&lang=pt" 
"S0036-46652004000500012-scl","Orbital tuberculosis diagnosed by immunohistochemistry: case reports","Oliveira, Bráulio F.T., Takay, Fernanda C., Shida, Tatiana M., Santo, Ruth M., Souza Jr., Abelardo C., Matayoshi, Suzana","Revista do Instituto de Medicina Tropical de São Paulo; 46(5); 291-294","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652004000500012&lang=pt" 
"S0066-782X2004001600003-scl","Homoenxerto aórtico criopreservado no tratamento cirúrgico das lesões da valva aórtica: resultados imediatos","Gerola, Luís Roberto, Araújo, Wesley, Kin, Hyong C., Silva, Gabriela E. F., Pereira Filho, Armindo, Vargas, Guilherme Flora, Buffolo, Enio","Arquivos Brasileiros de Cardiologia; 83(4); 280-283","Arquivos Brasileiros de Cardiologia","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2004001600003&lang=pt" 
"S0066-782X2004001600004-scl","O transplante em conjunto de células mioblásticas esqueléticas e mesenquimais (cocultivadas) na disfunção ventricular pós-infarto do miocárdio","Souza, Luiz Cesar Guarita, Carvalho, Katherine Athayde Teixeira de, Rebelatto, Carmen, Senegaglia, Alessandra, Furuta, Marcus, Miyague, Nelson, Hansen, Paula, Francisco, Julio C, Brofman, Paulo Roberto Slud","Arquivos Brasileiros de Cardiologia; 83(4); 288-293","Arquivos Brasileiros de Cardiologia","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2004001600004&lang=pt" 
"S0066-782X2004001600005-scl","A mobilidade do Septum primum não depende do diâmetro do forame oval em fetos normais","Zielinsky, Paulo, Sallum, Marcelo, Satler, Fabíola, Gus, Eduardo Ioschpe, Nicoloso, Luiz Henrique, Mânica, João Luiz, Piccoli Jr, Antônio Luiz","Arquivos Brasileiros de Cardiologia; 83(4); 300-303","Arquivos Brasileiros de Cardiologia","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2004001600005&lang=pt" 
"S0066-782X2004001600006-scl","Complicações da hipertensão arterial em homens e mulheres atendidos em um ambulatório de referência","Noblat, Antonio Carlos Beisl, Lopes, Marcelo Barreto, Lopes, Gildete Barreto, Lopes, Antonio Alberto","Arquivos Brasileiros de Cardiologia; 83(4); 308-313","Arquivos Brasileiros de Cardiologia","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2004001600006&lang=pt" 
"S0066-782X2004001600007-scl","Análise da função ventricular de pacientes com doença pulmonar obstrutiva crônica avançada pela ressonância magnética","Rocha, Nazareth de Novaes, Stelmach, Rafael, Cukier, Alberto, Parga, José Rodrigues, Ávila, Luiz Francisco, Caldas, Márcia, Buck, Paula, Mady, Charles","Arquivos Brasileiros de Cardiologia; 83(4); 320-325","Arquivos Brasileiros de Cardiologia","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2004001600007&lang=pt" 
"S0036-46652004000500002-scl","Enteroparasitic occurrence in fecal samples analyzed at the University of Western São Paulo-UNOESTE clinical laboratory, Presidente Prudente, São Paulo State, Brazil","Tashima, Nair Toshiko, Simões, Maria Jacira Silva","Revista do Instituto de Medicina Tropical de São Paulo; 46(5); 243-248","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652004000500002&lang=pt" 
"S0036-46652004000500003-scl","Dot-ELISA for the diagnosis of neurocysticercosis","Biswas, Rakhi, Parija, S.C., Narayan, S.K.","Revista do Instituto de Medicina Tropical de São Paulo; 46(5); 249-252","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652004000500003&lang=pt" 
"S0036-46652004000500011-scl","Envenomation by neotropical Opisthoglyphous colubrid Thamnodynastes cf. pallidus Linné, 1758 (Serpentes:Colubridae) in Venezuela","Diaz, Fresnel, Navarrete, Luis F., Pefaur, Jaime, Rodriguez-Acosta, Alexis","Revista do Instituto de Medicina Tropical de São Paulo; 46(5); 287-290","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652004000500011&lang=pt" 
"S0036-46652004000500013-scl","Erythema induratum of Bazin and renal tuberculosis: report of an association","Daher, Elizabeth De Francesco, Silva Júnior, Geraldo Bezerra da, Pinheiro, Hugo César Furtado, Oliveira, Tatiane Roseno de, Vilar, Maria do Livramento Leitão, Alcântara, Karlla Jordão de","Revista do Instituto de Medicina Tropical de São Paulo; 46(5); 295-298","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652004000500013&lang=pt" 
"S0036-46652004000500006-scl","Some ultrastructural superficial changes in house fly (Diptera: Muscidae) and blow fly (Diptera: Calliphoridae) larvae induced by eucalyptol oil","Sukontason, Kabkaew L., Sukontason, Kom, Boonchu, Noppawan, Piangjai, Somsak","Revista do Instituto de Medicina Tropical de São Paulo; 46(5); 263-267","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652004000500006&lang=pt" 
"S0036-46652004000500005-scl","Comparative morphometry and morphology of Anopheles aconitus Form B and C eggs under scanning electron microscope","Junkum, Anuluck, Jitpakdi, Atchariya, Komalamisra, Narumon, Jariyapan, Narissara, Somboon, Pradya, Bates, Paul A., Choochote, Wej","Revista do Instituto de Medicina Tropical de São Paulo; 46(5); 257-262","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652004000500005&lang=pt" 
"S0100-41582004000500014-scl","Cylindrocarpon destructans causador do &quot;pé-preto&quot; da videira no Rio Grande do Sul","Garrido, Lucas da R., Sônego, Olavo R., Urben, Arailde F.","Fitopatologia Brasileira; 29(5); 548-550","Fitopatologia Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582004000500014&lang=pt" 
"S0100-41582004000500019-scl","Variability of the anthracnose fungus Colletotrichum graminicola in sorghum genotype mixtures","Valério, Henrique M., Casela, Carlos R., Resende, Maria A., Santos, Fredolino G.","Fitopatologia Brasileira; 29(5); 567-569","Fitopatologia Brasileira","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582004000500019&lang=pt" 
"S0100-41582004000500018-scl","Dois novos sistemas de diagnose precoce da meleira do mamoeiro","Tavares, Eder T., Tatagiba, Joseli S., Ventura, José A., Souza Jr., Manoel T.","Fitopatologia Brasileira; 29(5); 563-566","Fitopatologia Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582004000500018&lang=pt" 
"S0100-41582004000500017-scl","Polyclonal antibodies to the coat protein of Apple stem grooving virus expressed in Escherichia coli: production and use in immunodiagnosis","Nickel, Osmar, Targon, Maria L.P.N., Fajardo, Thor V.M., Machado, Marcos A., Trivilin, Ana P.","Fitopatologia Brasileira; 29(5); 558-562","Fitopatologia Brasileira","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582004000500017&lang=pt" 
"S0100-41582004000500001-scl","Epidemiologia comparativa da pinta-preta do tomateiro sob quatro regimes de pulverização","Paul, Pierce A., Vale, Francisco X. R., Zambolim, Laércio, Fontes, Paulo Cézar R., Coelho, Reginaldo R., Macabeu, Antonio J.","Fitopatologia Brasileira; 29(5); 475-479","Fitopatologia Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582004000500001&lang=pt" 
"S0100-41582004000500016-scl","Efeito do óleo de Piper aduncum no controle em pós-colheita de Colletotricum musae em banana","Bastos, Cleber N., Albuquerque, Paulo Sérgio B.","Fitopatologia Brasileira; 29(5); 555-557","Fitopatologia Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582004000500016&lang=pt" 
"S0100-41582004000500003-scl","Controle da ferrugem do cafeeiro com base no valor de severidade","Garçon, Clévio L. P., Zambolim, Laércio, Mizubuti, Eduardo S. G., Vale, Francisco X. R. do, Costa, Hélcio","Fitopatologia Brasileira; 29(5); 486-491","Fitopatologia Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582004000500003&lang=pt" 
"S0100-41582004000500005-scl","Fungos da família Pucciniaceae causadores de ferrugem em plantas medicinais","Lima, Cristiano S., Souza, Paulo E. de, Botelho, Alex O.","Fitopatologia Brasileira; 29(5); 499-503","Fitopatologia Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582004000500005&lang=pt" 
"S0100-41582004000500015-scl","Patogenicidade de Pratylenchus brachyurus e P. coffeae em quiabeiro","Inomoto, Mário M., Silva, Rosangela A., Pimentel, João P.","Fitopatologia Brasileira; 29(5); 551-554","Fitopatologia Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582004000500015&lang=pt" 
"S0100-41582004000500013-scl","Distribuição e impacto da sigatoka-negra na bananicultura do estado do Acre","Cavalcante, Maria de Jesus B., Sá, Claudenor P. de, Gomes, Francisco C. da Rocha, Gondim, Tarcísio M. de Souza, Cordeiro, Zilton J. M., Hessel, Jorge L.","Fitopatologia Brasileira; 29(5); 544-547","Fitopatologia Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582004000500013&lang=pt" 
"S0100-41582004000500012-scl","Avaliação de meios de cultura no crescimento micelial e esporulação de Alternaria brasiliensis","Queiroz, Fátima M., Batista, Ulisses G., Brommnschenkel, Sérgio H.","Fitopatologia Brasileira; 29(5); 541-543","Fitopatologia Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582004000500012&lang=pt" 
"S0100-41582004000500011-scl","Cacau &quot;Jaca&quot; resistente a Ceratocystis fimbriata na região cacaueira da Bahia, Brasil","Silva, Stela Dalva V. M., Paim, Márcia Cristina, Castro, Wildson M.","Fitopatologia Brasileira; 29(5); 538-540","Fitopatologia Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582004000500011&lang=pt" 
"S0100-41582004000500010-scl","Resistência à mancha preta dos citros avaliada por curvas de progresso da doença","Spósito, Marcel B., Bassanezi, Renato B., Amorim, Lilian","Fitopatologia Brasileira; 29(5); 532-537","Fitopatologia Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582004000500010&lang=pt" 
"S0100-41582004000500022-scl","Detecção por DAS-ELISA do Apple chlorotic leaf spot virus em pétalas desidratadas de macieira mantidas em geladeira por 16 anos","Freitas-Astua, Juliana, Novaes, Quelmo S. de, Betti, Juarez A., Rezende, Jorge A.M., Kuniyuki, Hugo, Yuki, Valdir A.","Fitopatologia Brasileira; 29(5); 572-572","Fitopatologia Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582004000500022&lang=pt" 
"S0100-41582004000500023-scl","Sobrevivência em campo de Phytophthora infestans em hastes de batata no Paraná, Brasil","Nazareno, Nilceu R. X. de, Boschetto, Norma, Pinto, Josnei A. S.","Fitopatologia Brasileira; 29(5); 573-573","Fitopatologia Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582004000500023&lang=pt" 
"S0100-41582004000500021-scl","Registro do cultivo in vitro de Phyllachora torrendiella e Sphaerodothis acrocomie, agentes causais das lixas do coqueiro","Oliveira, Virgínia C. de, Leal, Edna C., Costa, Jefferson L. da S.","Fitopatologia Brasileira; 29(5); 571-571","Fitopatologia Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582004000500021&lang=pt" 
"S0100-41582004000500020-scl","Meloidogyne mayaguensis em Psidium guajava no Rio Grande do Norte","Torres, Gustavo R. C., Covello, Vitorina N., Sales Júnior, Rui, Pedrosa, Elvira M. R., Moura, Romero M.","Fitopatologia Brasileira; 29(5); 570-570","Fitopatologia Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582004000500020&lang=pt" 
