"S0213-12852004000400001-esp","A nuestros lectores","","Avances en Odontoestomatología; 20(4); 173-173","Avances en Odontoestomatología","Espanhol","2004","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-12852004000400001&lang=pt" 
"S1315-62682004000200006-ven","","","Frónesis; 11(2); 107-110","Frónesis","Espanhol","2004","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-62682004000200006&lang=pt" 
"S1315-62682004000200005-ven","Algunos métodos alternos de resolución de conflictos y su consagración en la Constitución de la República Bolivariana de Venezuela: El arbitraje y la mediación","Petzold Rodríguez, María","Frónesis; 11(2); 76-103","Frónesis","Espanhol","2004","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-62682004000200005&lang=pt" 
"S1315-62682004000200004-ven","La corrupción: ¿Un problema de sociedad y/o político?","Marín Boscán, Francisco Javier","Frónesis; 11(2); 58-75","Frónesis","Espanhol","2004","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-62682004000200004&lang=pt" 
"S1315-62682004000200003-ven","Historia del pensamiento histórico moderno","Parra Contreras, Reyber, Larez Rubio, José","Frónesis; 11(2); 34-57","Frónesis","Espanhol","2004","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-62682004000200003&lang=pt" 
"S1315-62682004000200002-ven","Principios contemporáneos del Derecho Internacional en la Globalización","Aguirre Andrade, Alix, Manasía Fernández, Nelly","Frónesis; 11(2); 9-33","Frónesis","Espanhol","2004","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-62682004000200002&lang=pt" 
"S1315-62682004000200001-ven","","Robles, Tatiana Stella","Frónesis; 11(2); 7-7","Frónesis","Espanhol","2004","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-62682004000200001&lang=pt" 
"S0036-36342004000400009-mex","El factor de crecimiento transformante beta como blanco terapéutico","Gálvez-Gastélum, Francisco Javier, Sandoval-Rodríguez, Ana Soledad, Armendáriz-Borunda, Juan","Salud Pública de México; 46(4); 341-350","Salud Pública de México","Espanhol","2004","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342004000400009&lang=pt" 
"S0036-36342004000400004-mex","Condicionantes institucionales que influyen en la utilización del examen clínico de mama","Poblano-Verástegui, Ofelia, Figueroa-Perea, Juan Guillermo, López-Carrillo, Lizbeth","Salud Pública de México; 46(4); 294-305","Salud Pública de México","Espanhol","2004","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342004000400004&lang=pt" 
"S0036-36342004000400006-mex","Costo de la atención materno infantil en el Estado de Morelos, México","Cahuana-Hurtado, Lucero, Sosa-Rubí, Sandra, Bertozzi, Stefano","Salud Pública de México; 46(4); 316-325","Salud Pública de México","Espanhol","2004","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342004000400006&lang=pt" 
"S0036-36342004000400007-mex","Las instituciones de salud y el autocuidado de los médicos","Arenas-Monreal, Luz, Hernández-Tezoquipa, Isabel, Valdez-Santiago, Rosario, Bonilla-Fernández, Pastor","Salud Pública de México; 46(4); 326-332","Salud Pública de México","Espanhol","2004","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342004000400007&lang=pt" 
"S0036-36342004000400008-mex","Evaluación de la nitazoxanida en dosis única y por tres días en parasitosis intestinal","Belkind-Valdovinos, Uri, Belkind-Gerson, Jaime, Sánchez-Francia, Domingo, Espinoza-Ruiz, Mónica Marcela, Lazcano-Ponce, Eduardo","Salud Pública de México; 46(4); 333-340","Salud Pública de México","Espanhol","2004","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342004000400008&lang=pt" 
"S0036-36342004000400003-mex","Diferencias en la salud de jornaleras y jornaleros agrícolas migrantes en Sinaloa, México","Palacios-Nava, Martha Edilia, Moreno-Tetlacuilo, Luz María Angela","Salud Pública de México; 46(4); 286-293","Salud Pública de México","Espanhol","2004","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342004000400003&lang=pt" 
