"S0034-72992003000600013-scl","Disfonia em professores do ensino municipal: prevalência e fatores de risco","Fuess, Vera L. R., Lorenz, Maria Cecília","Revista Brasileira de Otorrinolaringologia; 69(6); 807-812","Revista Brasileira de Otorrinolaringologia","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72992003000600013&lang=pt" 
"S0034-72992003000600016-scl","Freqüência de positividade em teste cutâneo para aeroalérgenos","Godinho, Ricardo, Lanza, Márcio, Godinho, Andréa, Rodriques, Anderson, Assiz, Tânia M.L.","Revista Brasileira de Otorrinolaringologia; 69(6); 824-828","Revista Brasileira de Otorrinolaringologia","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72992003000600016&lang=pt" 
"S1516-35982003000600022-scl","Componentes do peso vivo e órgãos viscerais de bezerros machos de origem leiteira ao nascimento, 50 e 110 dias de vida","Carvalho, Paulo Afonso, Bonnecarrère Sanchez, Luis Maria, Viégas, Julio, Velho, João Pedro, Jauris, Gilberto Cardoso, Rodrigues, Marcos Bittencourt","Revista Brasileira de Zootecnia; 32(6); 1469-1475","Revista Brasileira de Zootecnia","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982003000600022&lang=pt" 
"S1516-35982003000600014-scl","Desempenho de cordeiros das raças Bergamácia e Santa Inês, terminados em confinamento, recebendo dejetos de suínos como parte da dieta","Oliveira, Marcus Vinícius Morais de, Olalquiara Pérez, Juan Ramón, Garcia, Iraides Ferreira Furusho, Martins, Alessandra Rodrigues Vieira","Revista Brasileira de Zootecnia; 32(6); 1391-1396","Revista Brasileira de Zootecnia","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982003000600014&lang=pt" 
"S1516-35982003000600007-scl","Planos de nutrição para leitoas com alto potencial genético para deposição de carne magra dos 65 aos 105 kg","Kill, João Luís, Donzele, Juarez Lopes, Oliveira, Rita Flávia Miranda de, Ferreira, Aloízio Soares, Lopes, Darci Clementino, Silva, Francisco Carlos de Oliveira, Silva, Marcos Vinícius Gualberto Barbosa da","Revista Brasileira de Zootecnia; 32(6); 1330-1338","Revista Brasileira de Zootecnia","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982003000600007&lang=pt" 
"S1516-35982003000600030-scl","Desempenho e resposta metabólica de bezerros recebendo dietas suplementadas com cromo","Zanetti, Marcus Antonio, Salles, Márcia Saladini Vieira, Brisola, Marcelo Landim, César, Marcelo Cerqueira","Revista Brasileira de Zootecnia; 32(6); 1532-1535","Revista Brasileira de Zootecnia","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982003000600030&lang=pt" 
"S1516-35982003000600029-scl","Avaliação do consumo de silagens de sorgo tratadas com amônia anidra e, ou, sulfeto de sódio na alimentação de novilhas ¾ Indubrazil/Holandês","Pires, Aureliano José Vieira, Garcia, Rasmo, Souza, Alexandre Lima de, Silva, Fabiano Ferreira da, Veloso, Cristina Mattos, Cardoso, Gláucon Cezar, Oliveira, Tatiana Neres de, Silva, Polyana Albino","Revista Brasileira de Zootecnia; 32(6); 1525-1531","Revista Brasileira de Zootecnia","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982003000600029&lang=pt" 
"S0100-39842003000600004-scl","Estudo prospectivo de 100 casos de &quot;core&quot; biópsia dirigida por ultra-som e revisão da literatura","Melo, Ana Lúcia Kefalás Oliveira, Barra, Maria Fernanda Curi, Silva, Andreza Vargas da, Oliveira, Mariana Kefalás, Scandiuzzi, Délcio, Menezes, Antônio Carlos","Radiologia Brasileira; 36(6); 339-344","Radiologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842003000600004&lang=pt" 
"S0100-39842003000600005-scl","Aspectos radiográficos e ultra-sonográficos dos pacientes submetidos a alongamento ósseo pelo método de Ilizarov","Souza, Patrícia Martins e, Marchiori, Edson, Dinoá, Vanessa A., Knackfuss, Irocy G.","Radiologia Brasileira; 36(6); 345-352","Radiologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842003000600005&lang=pt" 
"S0100-39842003000600006-scl","Modelo de gerenciamento da manutenção de equipamentos de radiologia convencional","Couto, Nelson Fraga do, Ribeiro, Rildo Santos, Azevedo, Ana Cecília Pedrosa de, Carvalho, Antonio Carlos Pires","Radiologia Brasileira; 36(6); 353-361","Radiologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842003000600006&lang=pt" 
"S0100-39842003000600010-scl","Lesões expansivas do plexo coróide","Melo, Ernesto Lima Araújo, Garcia, Marcio Ricardo Taveira, Fernandes, Rodrigo Yacubian, Barros, Nélio Garcia de, Cerri, Giovanni Guido, Leite, Claudia da Costa","Radiologia Brasileira; 36(6); 379-384","Radiologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842003000600010&lang=pt" 
