"S1516-14982003000200009-scl","Futuro anterior","Costa-Moura, Fernanda","Ágora: Estudos em Teoria Psicanalítica; 6(2); 321-323","Ágora: Estudos em Teoria Psicanalítica","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14982003000200009&lang=pt" 
"S0100-41582003000600003-scl","Avaliação de danos causados por duas estirpes do Soybean mosaic virus em duas cultivares de soja","Silva, Marcia F., Almeida, Álvaro M. R., Arias, Carlos A. A.","Fitopatologia Brasileira; 28(6); 597-601","Fitopatologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000600003&lang=pt" 
"S0100-41582003000600016-scl","Patogenicidade de Alternaria cichorii sobre espécies da família Asteraceae no Brasil","Lima, Milton L. Paz, Reis, Ailton, Lopes, Carlos A.","Fitopatologia Brasileira; 28(6); 682-685","Fitopatologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000600016&lang=pt" 
"S0100-41582003000600014-scl","Germinação de conídios de Sphaerotheca pannosa obtidos de eucalipto","Silva, Maria D. D., Alfenas, Acelino C., Maffia, Luiz A., Zauza, Edival A. V.","Fitopatologia Brasileira; 28(6); 674-677","Fitopatologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000600014&lang=pt" 
"S0100-41582003000600015-scl","Comparação da seqüência de nucleotídeos do gene da proteína capsidial de estirpes severas e premunizantes do Papaya ringspot virus","Della Vecchia, Marilia G. S., Camargo, Luis E. A., Rezende, Jorge A. M.","Fitopatologia Brasileira; 28(6); 678-681","Fitopatologia Brasileira","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000600015&lang=pt" 
"S1516-14392003000400011-scl","X-ray scattering studies of the metastable ferroelectric phase in KDP induced by static electric field","Remédios, Claudio Marcio Rocha, Miranda, Marcus Aurélio Ribeiro, Sasaki, José Marcos, Mendes-Filho, Josué, Freire, Paulo de Tarso Cavalcante, Melo, Francisco Erivan de Abreu","Materials Research; 6(4); 493-495","Materials Research","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392003000400011&lang=pt" 
"S0100-41582003000600020-scl","Estromas negros de Hypoxylon spp. em toras de eucalipto como fator negativo da qualidade da madeira para celulose","Mafia, Reginaldo G., Alfenas, Acelino C., Zarpelon, Talyta G., Nascimento, Elisangela M. do","Fitopatologia Brasileira; 28(6); 689-689","Fitopatologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000600020&lang=pt" 
"S0100-41582003000600019-scl","Diferenciação sintomatológica de manchas foliares em Eucalyptus spp. causadas por patógenos fúngicos e bacterianos","Mafia, Reginaldo G., Alfenas, Acelino C.","Fitopatologia Brasileira; 28(6); 688-688","Fitopatologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000600019&lang=pt" 
"S0100-41582003000600018-scl","Avaliação de doenças foliares nos ensaios estadual e regional de trigo no Rio Grande do Sul","Soares, Rafael M., Castro, Ricardo L.","Fitopatologia Brasileira; 28(6); 687-687","Fitopatologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000600018&lang=pt" 
"S0100-41582003000600017-scl","Ocorrência da mancha-aquosa causada por Acidovorax avenae subsp. citrulli, em melão-pepino no Brasil","Oliveira, Idjane S. de, Sales Júnior, Rui, Mariano, Rosa L.R.","Fitopatologia Brasileira; 28(6); 686-686","Fitopatologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000600017&lang=pt" 
"S0100-41582003000600002-scl","Avaliação da resistência de isolinhas de feijoeiro a diferentes patótipos de Colletotrichum lindemuthianum, Uromyces appendiculatus e Phaeoisariopsis griseola","Ragagnin, Vilmar Antonio, Alzate-Marin, Ana Lília, Souza, Thiago Livio P. O., Arruda, Klever Márcio A., Moreira, Maurilio A., Barros, Everaldo G.","Fitopatologia Brasileira; 28(6); 591-596","Fitopatologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000600002&lang=pt" 
