"S1688-42212015000300004-ury","VIVENCIAS DE PERSONAS QUE OPTARON POR LA PARENTALIDAD ADOPTIVA","Palavecino, Carolina, Rodríguez, Pablo, Zicavo, Nelson","Ciencias Psicológicas; 9(2); 259-271","Ciencias Psicológicas","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-42212015000300004&lang=pt" 
"S1688-42212015000300010-ury","EL PENSAMIENTO PRECIENTIFICO SOBRE LA SALUD Y LA ENFERMEDAD","García, José E.","Ciencias Psicológicas; 9(2); 337-349","Ciencias Psicológicas","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-42212015000300010&lang=pt" 
"S1688-42212015000300009-ury","EL ROL DE LA FAMILIA EN LA CALIDAD DE VIDA Y LA AUTODETERMINACIÓN DE LAS PERSONAS CON TRASTORNO DEL ESPECTRO DEL AUTISMO","Baña Castro, Manoel","Ciencias Psicológicas; 9(2); 323-336","Ciencias Psicológicas","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-42212015000300009&lang=pt" 
"S1688-42212015000300012-ury","","","Ciencias Psicológicas; 9(2); 355-355","Ciencias Psicológicas","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-42212015000300012&lang=pt" 
"S1688-42212015000300001-ury","editorial","Daset, Lilian R.","Ciencias Psicológicas; 9(2); 1-2","Ciencias Psicológicas","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-42212015000300001&lang=pt" 
"S1688-42212015000300011-ury","IN MEMORIAM PROFESORA ÉLIDA TUANA","Daset, Lilian R.","Ciencias Psicológicas; 9(2); 353-354","Ciencias Psicológicas","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-42212015000300011&lang=pt" 
"S1688-42212015000300014-ury","Actividades 2016","","Ciencias Psicológicas; 9(2); 365-365","Ciencias Psicológicas","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-42212015000300014&lang=pt" 
"S1688-42212015000300013-ury","LA COLABORACIÓN ENTRE FAMILIAS Y ESCUELAS UNA GUÍA PARA DOCENTES","González Tornaría, María del Luján","Ciencias Psicológicas; 9(2); 359-360","Ciencias Psicológicas","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-42212015000300013&lang=pt" 
"S0718-22952015000300008-chl","Una figura de Nicanor Parra","Schopf, Demian","Revista chilena de literatura; (91); 121-127","Revista chilena de literatura","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22952015000300008&lang=pt" 
"S0718-22952015000300009-chl","Nicanor Parra en el corazón de Chile","Alonso, María Nieves","Revista chilena de literatura; (91); 129-135","Revista chilena de literatura","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22952015000300009&lang=pt" 
"S1994-37332015000200001-bol","","Gutiérrez Andrade, Osvaldo Walter","Revista Perspectivas; (36); 5-6","Revista Perspectivas","Espanhol","2015","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1994-37332015000200001&lang=pt" 
"S1994-37332015000200005-bol","Una mirada al desempleo en Tarija","Soto Montenegro, María Carolina","Revista Perspectivas; (36); 91-120","Revista Perspectivas","Espanhol","2015","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1994-37332015000200005&lang=pt" 
"S1994-37332015000200004-bol","Modelo de Incubación de Empresas: Una Propuesta","Alba Ortuño, Claudia","Revista Perspectivas; (36); 65-90","Revista Perspectivas","Espanhol","2015","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1994-37332015000200004&lang=pt" 
"S1994-37332015000200003-bol","Periodos regulatorios en Bolivia (Análisis causal para Electricidady Telecomunicaciones)","Espinoza Vásquez, Lourdes Marcela","Revista Perspectivas; (36); 35-64","Revista Perspectivas","Espanhol","2015","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1994-37332015000200003&lang=pt" 
"S1994-37332015000200002-bol","Las Finanzas Conductuales, el Alfabetismo Financiero y su Impacto en la Toma de Decisiones Financieras, el Bienestar Económico y la Felicidad","Garay Anaya, Gonzalo","Revista Perspectivas; (36); 7-34","Revista Perspectivas","Espanhol","2015","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1994-37332015000200002&lang=pt" 
"S1994-37332015000200006-bol","Valoración económica de la empresa Casa de funerales &quot;Celestial Ltda.&quot; para determinar su precio de venta","Fernández Álvarez, Marcelo Rodrigo","Revista Perspectivas; (36); 121-152","Revista Perspectivas","Espanhol","2015","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1994-37332015000200006&lang=pt" 
"S2224-78902015000300014-sza","The impact of the maintenance management system: A case study of the PetroSA GTL refinery","Mahlangu, B.P., Kruger, L.P.","South African Journal of Industrial Engineering; 26(3); 167-182","South African Journal of Industrial Engineering","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2224-78902015000300014&lang=pt" 
