"S0042-96862002000900008-spa","Rating maternal and neonatal health services in developing countries","Bulatao, Rodolfo A., Ross, John A.","Bulletin of the World Health Organization; 80(9); 721-727","Bulletin of the World Health Organization","Inglês","2002","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862002000900008&lang=pt" 
"S0042-96862002000900009-spa","Vaccination against hepatitis A virus may not be required for schoolchildren in northern India: results of a seroepidemiological survey","Batra, Yogesh, Bhatkal, Bharati, Ojha, Bandana, Kaur, Kuldeep, Saraya, Anoop, Panda, Subrat Kumar, Acharya, Subrat Kumar","Bulletin of the World Health Organization; 80(9); 728-731","Bulletin of the World Health Organization","Inglês","2002","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862002000900009&lang=pt" 
"S0042-96862002000900019-spa","Health aid as well as food aid needed in southern Africa","Hartl, Gregory","Bulletin of the World Health Organization; 80(9); 764-764","Bulletin of the World Health Organization","Inglês","2002","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862002000900019&lang=pt" 
"S0042-96862002000900020-spa","Childhood obesity control strategy under preparation","Williams, Rhys","Bulletin of the World Health Organization; 80(9); 764-764","Bulletin of the World Health Organization","Inglês","2002","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862002000900020&lang=pt" 
"S0042-96862002000900021-spa","Draft treaty on tobacco control released","Green, Helen","Bulletin of the World Health Organization; 80(9); 764-764","Bulletin of the World Health Organization","Inglês","2002","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862002000900021&lang=pt" 
"S0042-96862002000900022-spa","Study on the health implications of trade agreements published","","Bulletin of the World Health Organization; 80(9); 764-764","Bulletin of the World Health Organization","Inglês","2002","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862002000900022&lang=pt" 
"S0042-96862002000900023-spa","Guide to skin cancer prevention launched","","Bulletin of the World Health Organization; 80(9); 764-764","Bulletin of the World Health Organization","Inglês","2002","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862002000900023&lang=pt" 
"S0042-96862002000900014-spa","The role of food safety in child survival programmes","Käferstein, Fritz","Bulletin of the World Health Organization; 80(9); 759-759","Bulletin of the World Health Organization","Inglês","2002","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862002000900014&lang=pt" 
"S0042-96862002000900002-spa","Health and the World Conference on Sustainable Development","Brundtland, Gro Harlem","Bulletin of the World Health Organization; 80(9); 689-689","Bulletin of the World Health Organization","Inglês","2002","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862002000900002&lang=pt" 
"S0042-96862002000900015-spa","The missing link: neonatal care in rural communities","Krüger, Carsten","Bulletin of the World Health Organization; 80(9); 759-760","Bulletin of the World Health Organization","Inglês","2002","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862002000900015&lang=pt" 
"S0042-96862002000900016-spa","Health plans for Africa remain vague as G8 agrees to meet 10% of the need","Crabb, Charlene","Bulletin of the World Health Organization; 80(9); 761-761","Bulletin of the World Health Organization","Inglês","2002","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862002000900016&lang=pt" 
