"S0102-86502015001100756-scl","Remifentanil protects uterus against ischemia-reperfusion injury in rats","Atalay, Yunus Oktay, Aktas, Serap, Sahin, Sadik, Kucukodaci, Zafer, Ozakpinar, Ozlem Bingol","Acta Cirurgica Brasileira; 30(11); 756-761","Acta Cirurgica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502015001100756&lang=pt" 
"S0102-86502015001100727-scl","Whole-body vibration improves fracture healing and bone quality in rats with ovariectomy-induced osteoporosis","Butezloff, Mariana Maloste, Zamarioli, Ariane, Leoni, Graziela Bianchi, Sousa-Neto, Manoel Damião, Volpon, Jose Batista","Acta Cirurgica Brasileira; 30(11); 727-735","Acta Cirurgica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502015001100727&lang=pt" 
"S0102-86502015001100785-scl","Comparison between hemosiderin and Technetium-99 in sentinel lymph node biopsy in human breast cancer","Vasques, Paulo Henrique Diógenes, Alves, Mayara Maia, Aquino, Ranniere Gurgel Furtado de, Torres, Roberto Vitor Almeida, Bezerra, José Lucas Martins, Brasileiro, Luis Porto, Pinheiro, Luiz Gonzaga Porto","Acta Cirurgica Brasileira; 30(11); 785-790","Acta Cirurgica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502015001100785&lang=pt" 
"S0102-86502015001100778-scl","Rutin ameliorates methotrexate induced hepatic injury in rats","Erdogan, Esra, Ilgaz, Yasin, Gurgor, Pinar Naile, Oztas, Yesim, Topal, Turgut, Oztas, Emin","Acta Cirurgica Brasileira; 30(11); 778-784","Acta Cirurgica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502015001100778&lang=pt" 
"S0102-86502015001100762-scl","Effects of metoclopramide on the expression of metalloproteinases and interleukins in left colonic anastomoses. An experimental study","Silva, Silvana Marques e, Jerônimo, Márcio Sousa, Silva-Pereira, Ildinete da, Tavares, Aldo Henrique, Bocca, Anamélia Lorenzetti, Sousa, João Batista de","Acta Cirurgica Brasileira; 30(11); 762-769","Acta Cirurgica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502015001100762&lang=pt" 
"S0102-86502015001100749-scl","Mechanisms of the beneficial effect of sevoflurane in liver ischemia/reperfusion injury","Cavalcante, Fernanda Paula, Coelho, Ana Maria Mendonça, Machado, Marcel Cerqueira Cesar, Sampietre, Sandra Nassa, Patzina, Rosely Antunes, Diniz, Márcio Augusto, Chaib, Eleazar, D&#039;Albuquerque, Luiz Augusto Carneiro","Acta Cirurgica Brasileira; 30(11); 749-755","Acta Cirurgica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502015001100749&lang=pt" 
"S1516-14392015000700095-scl","Mechanical Behavior of Electrodeposited Bulk Nanocrystalline Fe-Ni Alloys","Matsui, Isao, Mori, Hiroki, Kawakatsu, Tomo, Takigawa, Yorinobu, Uesugi, Tokuteru, Higashi, Kenji","Materials Research; 18(); 95-100","Materials Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392015000700095&lang=pt" 
"S1516-14392015000700024-scl","Investigation on the Microstructure of Direct Laser Additive Manufactured Ti6Al4V Alloy","Han, Yuanfei, Lu, Weijie, Jarvis, Tom, Shurvinton, John, Wu, Xinhua","Materials Research; 18(); 24-28","Materials Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392015000700024&lang=pt" 
"S1516-14392015000700089-scl","The Formation Mechanism of Porosity for Spray-deposited 7075 Alloy","Cao, Fuyang, Li, Haichao, Ning, Zhiliang, Jia, Yandong, Gu, Xu, Yu, Lei, Liu, Zuyan, Sun, Jianfei","Materials Research; 18(); 89-94","Materials Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392015000700089&lang=pt" 
"S1516-14392015000700152-scl","Microstructural Evolution of Cu-10at%C Nanocomposite Powder During High Energy Mechanical Milling","Zeng, Wei, Zhou, DengShan, Zhang, Deliang, Li, Xiaoxia","Materials Research; 18(); 152-157","Materials Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392015000700152&lang=pt" 
"S1516-14392015000700078-scl","Pressure-induced Structures and Structural Evolution in Iron","Qi, Li, Feng, Shidong, Xu, Na, Ma, Mingzhen, Jing, Qin, Li, Gong, Liu, Riping","Materials Research; 18(); 78-82","Materials Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392015000700078&lang=pt" 
