"S0103-97332002000200021-scl","Subband structure of II-VI modulation-doped magnetic quantum wells","Freire, Henrique J. P., Egues, J. Carlos","Brazilian Journal of Physics; 32(2a); 327-330","Brazilian Journal of Physics","Inglês","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332002000200021&lang=pt" 
"S0103-97332002000200020-scl","Shot noise in the presence of spin-flip scattering","Brito, F.G., Egues, J.C.","Brazilian Journal of Physics; 32(2a); 324-326","Brazilian Journal of Physics","Inglês","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332002000200020&lang=pt" 
"S0103-97332002000200015-scl","Anomalous shift of the recombination energy in single asymmetric quantum wells","Dantas, N.O., Qu, Fanyao, Morais, P.C.","Brazilian Journal of Physics; 32(2a); 306-309","Brazilian Journal of Physics","Inglês","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332002000200015&lang=pt" 
"S0103-97332002000200013-scl","Electron-phonon interaction in electronic tunneling: from sequential rate equations to a coherent description","Torres, L.E.F. Foa, Pastawski, H.M., Makler, S. S.","Brazilian Journal of Physics; 32(2a); 300-302","Brazilian Journal of Physics","Inglês","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332002000200013&lang=pt" 
"S0103-97332002000200011-scl","Effect of the lead dimensionality over transport properties in quantum dots","Craco, L., Cuniberti, G.","Brazilian Journal of Physics; 32(2a); 293-295","Brazilian Journal of Physics","Inglês","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332002000200011&lang=pt" 
"S0103-97332002000200006-scl","nipi delta-doping superlattices for amplitude modulation","Tribuzy, C. V.-B., Landi, S. M., Pires, M. P., Butendeich, R., Souza, P. L., Bittencourt, A. C., Marques, G. E., Henriques, A. B.","Brazilian Journal of Physics; 32(2a); 269-274","Brazilian Journal of Physics","Inglês","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332002000200006&lang=pt" 
"S0103-97332002000200005-scl","Spin dynamics driven by the electron-hole exchange interaction in quantum wells","Maialle, M. Z.","Brazilian Journal of Physics; 32(2a); 266-268","Brazilian Journal of Physics","Inglês","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332002000200005&lang=pt" 
"S0103-97332002000200004-scl","Laser effects in semiconductor heterostructures within an extended dressed-atom approach","Brandi, H.S., Latgé, A., Oliveira, L.E.","Brazilian Journal of Physics; 32(2a); 262-265","Brazilian Journal of Physics","Inglês","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332002000200004&lang=pt" 
"S0103-97332002000200002-scl","Manipulating electrons in nanostructured semiconductors","Kotthaus, Jörg P.","Brazilian Journal of Physics; 32(2a); 257-258","Brazilian Journal of Physics","Inglês","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332002000200002&lang=pt" 
"S0103-97332002000200001-scl","Proceedings of the 10th Brazilian Workshop on Semiconductor Physics","Schulz, Peter A. B.","Brazilian Journal of Physics; 32(2a); 255-256","Brazilian Journal of Physics","Inglês","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332002000200001&lang=pt" 
"S0103-97332002000200030-scl","Study of dynamical dipole moment in an asymmetric double quantum well","Bohórquez, J., Camacho B., A. S.","Brazilian Journal of Physics; 32(2a); 356-358","Brazilian Journal of Physics","Inglês","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332002000200030&lang=pt" 
"S0103-97332002000200029-scl","Carrier dynamics investigated by time resolved optical spectroscopy","Luyo, Saúl J., Brasil, Maria S.P., Carvalho, Hugo B. de, Carvalho Jr., Wilson de, Bernussi, Ayrton A.","Brazilian Journal of Physics; 32(2a); 353-355","Brazilian Journal of Physics","Inglês","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332002000200029&lang=pt" 
"S0103-97332002000200003-scl","Semiconductor superlattices: artificial crystals with unique electronic and transport properties","Grahn, H. T.","Brazilian Journal of Physics; 32(2a); 259-261","Brazilian Journal of Physics","Inglês","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332002000200003&lang=pt" 
"S0103-97332002000200028-scl","Effective conductivity of two-dimensional heterostructures with non-screened potential","Vasko, F. T., Hai, G.-Q.","Brazilian Journal of Physics; 32(2a); 350-352","Brazilian Journal of Physics","Inglês","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332002000200028&lang=pt" 
"S0103-97332002000200027-scl","Landau levels in two and three-dimensional electron gases in a wide parabolic quantum well","Sergio, C.S., Gusev, G.M., Leite, J.R., Olshanetskii, E.B., Bykov, A.A., Moshegov, N.T., Bakarov, A.K., Toropov, A.I., Maude, D.K., Estibals, O., Portal, J.C.","Brazilian Journal of Physics; 32(2a); 347-349","Brazilian Journal of Physics","Inglês","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332002000200027&lang=pt" 
"S0103-97332002000200010-scl","Anomalous blueshift in vertically coupled InAs/GaAs quantum dots using InGaAs strain-reducing layers","Silva, M. J. da, Quivy, A. A.","Brazilian Journal of Physics; 32(2a); 290-292","Brazilian Journal of Physics","Inglês","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332002000200010&lang=pt" 
"S0103-97332002000200008-scl","Electron-acoustic phonon scattering rates in spherical quantum dots: contribution of the macroscopic deformation potential","Alcalde, A. M., Marques, G. E., Weber, G., Reinecke, T. L.","Brazilian Journal of Physics; 32(2a); 284-286","Brazilian Journal of Physics","Inglês","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332002000200008&lang=pt" 
"S0103-97332002000200009-scl","Influence of annealing on the optical and electrical properties of multilayered InAs/GaAs quantum dots","Chiquito, A. J., Pusep, Yu. A., Mergulhão, S., Gobato, Y. Galvão, Galzerani, J. C.","Brazilian Journal of Physics; 32(2a); 287-289","Brazilian Journal of Physics","Inglês","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332002000200009&lang=pt" 
"S0103-97332002000200017-scl","Optical studies of the correlation between interface disorder and the photoluminescence line shape in GaAs/InGaP quantum wells","Laureto, E., Meneses, E. A., Carvalho Jr., W., Bernussi, A. A., Ribeiro, E., Silva, E. C. F. da, Oliveira, J. B. B. de","Brazilian Journal of Physics; 32(2a); 314-317","Brazilian Journal of Physics","Inglês","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332002000200017&lang=pt" 
"S0103-97332002000200016-scl","Exciton trapping in a periodically modulated magnetic field","Freire, J.A.K., Freire, V.N., Farias, G.A., Peeters, F.M.","Brazilian Journal of Physics; 32(2a); 310-313","Brazilian Journal of Physics","Inglês","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332002000200016&lang=pt" 
"S0103-97332002000200014-scl","Zeeman effect in Cd1-xMn xTe parabolic and half-parabolic quantum wells","Cunha, J. F. R., Osório, F. A. P., Borges, A. N., Souza, M. A. R.","Brazilian Journal of Physics; 32(2a); 303-305","Brazilian Journal of Physics","Inglês","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332002000200014&lang=pt" 
"S0103-97332002000200018-scl","Electric-field effects on the band-edge states of GaAs/AlAs coupled quantum wells","Ribeiro, F.J., Capaz, R.B., Koiller, Belita","Brazilian Journal of Physics; 32(2a); 318-320","Brazilian Journal of Physics","Inglês","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332002000200018&lang=pt" 
"S0103-97332002000200019-scl","Resonant tunneling of polarized electrons through nonmagnetic III-V semiconductor multiple barriers","Araújo, C. Moysés, Silva, A. Ferreira da, Silva, E. A. de Andrada e","Brazilian Journal of Physics; 32(2a); 321-323","Brazilian Journal of Physics","Inglês","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332002000200019&lang=pt" 
"S0103-97332002000200022-scl","Transport and optical properties of resonant tunneling structures","Vercik, A., Gobato, Y. Galvão, Mendoza, M., Schulz, P.A.","Brazilian Journal of Physics; 32(2a); 331-333","Brazilian Journal of Physics","Inglês","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332002000200022&lang=pt" 
"S0103-97332002000200025-scl","Diffusive-like minibands in finite superlattices of disordered quantum wells","Rey-González, R.R., Machado, E., Schulz, P.A.","Brazilian Journal of Physics; 32(2a); 341-343","Brazilian Journal of Physics","Inglês","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332002000200025&lang=pt" 
"S0103-97332002000200036-scl","Pulsed laser crystallization of SiGe alloys on GaAs","Dondeo, F., Santos, P. V., Ramsteiner, M., Comedi, D., Pudenzi, M. A. A., Chambouleyron, I.","Brazilian Journal of Physics; 32(2a); 376-378","Brazilian Journal of Physics","Inglês","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332002000200036&lang=pt" 
"S0103-97332002000200040-scl","Ionizing radiation and hot carrier effects in SiC MOS devices","Vasconcelos, E. A. de, Silva Jr., E. F. da, Katsube, T., Yoshida, S.","Brazilian Journal of Physics; 32(2a); 389-391","Brazilian Journal of Physics","Inglês","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332002000200040&lang=pt" 
