"S0004-282X2015001100972-scl","Friedrich Nietzsche: the wandering and learned neuropath under Dionisius","Gomes, Marleide da Mota","Arquivos de Neuro-Psiquiatria; 73(11); 972-975","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001100972&lang=pt" 
"S0004-282X2015001100903-scl","Idiopathic very late-onset cerebellar ataxia: a Brazilian case series","Teive, Hélio A. G., Moscovich, Mariana, Moro, Adriana, Farah, Marina, Arruda, Walter O., Munhoz, Renato P.","Arquivos de Neuro-Psiquiatria; 73(11); 903-905","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001100903&lang=pt" 
"S0004-282X2015001100934-scl","Is the omega sign a reliable landmark for the neurosurgical team? An anatomical study about the central sulcus region","Rodrigues, Thiago, Rodrigues, Mariana, Paz, Daniel, Costa, Marcos Devanir, Santos, Bruno, Braga, Vinicius, Paiva Neto, Manoel de, Centeno, Ricardo, Cavalheiro, Sergio, Chaddad-Neto, Feres","Arquivos de Neuro-Psiquiatria; 73(11); 934-938","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001100934&lang=pt" 
"S0004-282X2015001100899-scl","Genetic predisposition to higher production of interleukin-6 through -174 G &gt; C polymorphism predicts global cognitive decline in oldest-old with cognitive impairment no dementia","Fraga, Vanessa G., Guimarães, Henrique C., Teixeira, Antônio L., Barbosa, Maira T., Mateo, Elvis C. C., Carvalho, Maria G., Caramelli, Paulo, Gomes, Karina B.","Arquivos de Neuro-Psiquiatria; 73(11); 899-902","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001100899&lang=pt" 
"S0100-879X2015001101055-scl","Influence of transcutaneous electrical stimulation on heterotopic ossification: an experimental study in Wistar rats","Zotz, T.G.G., Paula, J.B. de","Brazilian Journal of Medical and Biological Research; 48(11); 1055-1062","Brazilian Journal of Medical and Biological Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2015001101055&lang=pt" 
"S0100-879X2015001101023-scl","Long-term efficacy of a rural community-based integrated intervention for prevention and management of chronic obstructive pulmonary disease: a cluster randomized controlled trial in China&#039;s rural areas","Yuan, X., Tao, Y., Zhao, J.P., Liu, X.S., Xiong, W.N., Xie, J.G., Ni, W., Xu, Y.J., Liu, H.G.","Brazilian Journal of Medical and Biological Research; 48(11); 1023-1031","Brazilian Journal of Medical and Biological Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2015001101023&lang=pt" 
"S0100-879X2015001100973-scl","Specific alterations in plasma proteins during depressed, manic, and euthymic states of bipolar disorder","Song, Y.R., Wu, B., Yang, Y.T., Chen, J., Zhang, L.J., Zhang, Z.W., Shi, H.Y., Huang, C.L., Pan, J.X., Xie, P.","Brazilian Journal of Medical and Biological Research; 48(11); 973-982","Brazilian Journal of Medical and Biological Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2015001100973&lang=pt" 
"S0100-879X2015001101048-scl","Energy system contribution in a maximal incremental test: correlations with pacing and overall performance in a 10-km running trial","Damasceno, M.V., Pasqua, L.A., Lima-Silva, A.E., Bertuzzi, R.","Brazilian Journal of Medical and Biological Research; 48(11); 1048-1054","Brazilian Journal of Medical and Biological Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2015001101048&lang=pt" 
"S0100-879X2015001101010-scl","Time-course effects of aerobic exercise training on cardiovascular and renal parameters in 2K1C renovascular hypertensive rats","Maia, R.C.A., Sousa, L.E., Santos, R.A.S., Silva, M.E., Lima, W.G., Campagnole-Santos, M.J., Alzamora, A.C.","Brazilian Journal of Medical and Biological Research; 48(11); 1010-1022","Brazilian Journal of Medical and Biological Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2015001101010&lang=pt" 
"S0100-879X2015001101004-scl","Effect of estradiol and bisphenol A on human hepatoblastoma cell viability and telomerase activity","Xu, B.L., Zhao, Q.Z., Gao, X.Y., Hou, G.J.","Brazilian Journal of Medical and Biological Research; 48(11); 1004-1009","Brazilian Journal of Medical and Biological Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2015001101004&lang=pt" 
"S0100-879X2015001100996-scl","Intensity of swimming exercise influences aortic reactivity in rats","Brito, A.F., Silva, A.S., Souza, I.L.L., Pereira, J.C., Silva, B.A. da","Brazilian Journal of Medical and Biological Research; 48(11); 996-1003","Brazilian Journal of Medical and Biological Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2015001100996&lang=pt" 
