"S1519-69842016000400990-scl","Antiparasitic drugs: in vitro tests against nematophagous fungi","Ferreira, G. F., Freitas, T. M., Gonçalves, C. L., Mendes, J. F., Vieira, J. N., Villareal, J. P., Nascente, P. S.","Brazilian Journal of Biology; 76(4); 990-993","Brazilian Journal of Biology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842016000400990&lang=pt" 
"S2175-79682016000300081-scl","OS INTÉRPRETES E A FORMAÇÃO DO BRASIL: OS QUATRO PRIMEIROS SÉCULOS DE UMA HISTÓRIA ESQUECIDA","Silva-Reis, Dennys, Bagno, Marcos","Cadernos de Tradução; 36(3); 81-108","Cadernos de Tradução","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-79682016000300081&lang=pt" 
"S1519-69842016000400975-scl","Phenology, reproductive biology and growing degree days of the grapevine ‘Isabel’ (Vitis labrusca, Vitaceae) cultivated in northeastern Brazil","Nunes, N. A. S., Leite, A. V., Castro, C. C.","Brazilian Journal of Biology; 76(4); 975-982","Brazilian Journal of Biology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842016000400975&lang=pt" 
"S0103-37862016000300323-scl","A informação como potencializadora da autonomia e da integração social","FARIAS, Maria Giovanna Guedes","Transinformação; 28(3); 323-336","Transinformação","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862016000300323&lang=pt" 
"S0103-37862016000300349-scl","Altmetria: a métrica social a serviço de uma ciência mais democrática","VANTI, Nadia, SANZ-CASADO, Elias","Transinformação; 28(3); 349-358","Transinformação","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862016000300349&lang=pt" 
"S0103-37862016000300253-scl","Information literacy for inquiry-based learning","GASQUE, Kelley Cristine Gonçalves Dias","Transinformação; 28(3); 253-262","Transinformação","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862016000300253&lang=pt" 
"S0103-37862016000300263-scl","The importance of a differentiated representation of information for Contemporary Art: Use of fruition as a classification attribute","CATOIRA, Thais, AZEVEDO NETTO, Carlos Xavier de","Transinformação; 28(3); 263-274","Transinformação","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862016000300263&lang=pt" 
"S0103-37862016000300297-scl","A conservação dos documentos de arquivo: a atuação de autoadesivos nos documentos textuais em suporte papel","BRITO, Luciana Souza de, FANTINEL, Elisângela Gorete, RAMOS, Tauani Bisognin, GELESKY, Marcos Alexandre, VICENTI, Juliano Rosa de Menezes","Transinformação; 28(3); 297-308","Transinformação","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862016000300297&lang=pt" 
"S0103-37862016000300309-scl","Social network analysis as a strategy for monitoring the dissemination of information between hospitals","CUNHA, Francisco José Aragão Pedroza, RIBEIRO, Núbia Moura, MONTEIRO, Roberto Luiz Souza, PEREIRA, Hernane Borges de Barros","Transinformação; 28(3); 309-322","Transinformação","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862016000300309&lang=pt" 
"S0103-37862016000300287-scl","Herramienta auditora sobre el acceso y preservación de la información audiovisual televisiva","CALDERA-SERRANO, Jorge, FREIRE-ANDINO, Roberto Ovidio","Transinformação; 28(3); 287-296","Transinformação","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862016000300287&lang=pt" 
"S0103-37862016000300275-scl","Os Sistemas de Recomendação, Arquitetura da Informação e a Encontrabilidade da Informação","ALVAREZ, Edgar Bisset, SIRIANI, Allan Lincoln Rodrigues, VIDOTTI, Silvana Aparecida Borsetti Gregorio, CARVALHO, Angela Maria Grossi de","Transinformação; 28(3); 275-286","Transinformação","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862016000300275&lang=pt" 
"S0103-37862016000300337-scl","Análisis bibliométrico de las tesis doctorales sobre Internet en las universidades españolas (1996-2011)","DÍAZ-CAMPO, Jesús","Transinformação; 28(3); 337-348","Transinformação","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862016000300337&lang=pt" 
"S0103-37862016000300359-scl","ERRATA","","Transinformação; 28(3); 359-360","Transinformação","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862016000300359&lang=pt" 
"S1980-993X2016000401022-scl","[Artigo Retratado]:Pegada hídrica de indivíduos com diferentes hábitos alimentares","","Revista Ambiente &amp; Água; 11(4); 1022-1022","Revista Ambiente &amp; Água","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-993X2016000401022&lang=pt" 
"S1415-65552016000600001-scl","Editorial","Kimura, Herbert","Revista de Administração Contemporânea; 20(6); 1-3","Revista de Administração Contemporânea","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552016000600001&lang=pt" 
"S1983-21252016000401028-scl","IDENTIFICATION AND EFFECTS OF MIXED INFECTION OF  Potyvirus ISOLATES WITH  Cucumber mosaic virus IN CUCURBITS","BARBOSA, GRAZIELA DA SILVA, LIMA, JOSÉ ALBERSIO DE ARAÚJO, QUEIRÓZ, MANOEL ABILIO DE, DIAS, RITA DE CÁSSIA SOUZA, LIMA, CRISTIANO SOUZA","Revista Caatinga; 29(4); 1028-1035","Revista Caatinga","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252016000401028&lang=pt" 
"S1980-993X2016000400878-scl","Deposição de rejeitos de minério de ferro em reservatórios: uma aplicação do método GPR","Martini, Rachel Jardim, Caetano, Tathiana Rodrigues, Santos, Hersília de Andrade e, Aranha, Paulo Roberto Antunes","Revista Ambiente &amp; Água; 11(4); 878-890","Revista Ambiente &amp; Água","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-993X2016000400878&lang=pt" 
"S1983-21252016000400850-scl","MATTER ACCUMULATION AND PHOTOSYNTHETIC RESPONSES OF MACAW PALM TO CYCLICAL DROUGHT","MOTA, CLENILSO SEHNEN, CANO, MARCO ANTONIO OLIVA","Revista Caatinga; 29(4); 850-858","Revista Caatinga","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252016000400850&lang=pt" 
"S1983-21252016000400945-scl","GROWTH AND PRODUCTIVITY OF SUGARCANE VARIETIES UNDER VARIOUS IRRIGATION LEVELS","COSTA, CICERO TEIXEIRA SILVA, SAAD, JOÃO CARLOS CURY, SILVA JÚNIOR, HÉLIO MOREIRA DA","Revista Caatinga; 29(4); 945-955","Revista Caatinga","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252016000400945&lang=pt" 
"S1980-993X2016000400799-scl","Teor de nutrientes em folhas de milho fertilizado com vermicomposto de lodo de curtume e irrigado com água residuária doméstica","Malafaia, Guilherme, Araújo, Fernando Godinho de, Leandro, Wilson Mozena, Rodrigues, Aline Sueli de Lima","Revista Ambiente &amp; Água; 11(4); 799-809","Revista Ambiente &amp; Água","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-993X2016000400799&lang=pt" 
"S1983-21252016000401021-scl","INHIBITION OF PATHOGENS BY SPOROGENIC BACTERIA ISOLATED FROM HONEY OF Melipona sp. (APIDAE: APINAE: MELIPONINI)","SILVA, KELY DAMIANA NOVAES DA, BARBOSA, RENAN DO NASCIMENTO, OLIVEIRA, PEDRO DE ASSIS DE, CAVALCANTE, MARCELO CASIMIRO, MELO, HÉLIO FERNANDES DE","Revista Caatinga; 29(4); 1021-1027","Revista Caatinga","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252016000401021&lang=pt" 
"S1980-993X2016000400929-scl","Impactos do uso do solo nos recursos hídricos da bacia de contribuição do Lago dos Manacás, Minas Gerais, Brasil","Rocha, Cézar Henrique Barra, Pereira, Bruna Helena Coelho, Silva, André Felipe Rocha da, Oliveira, Márcio de, Casquin, Antoine Philippe, Figueiredo, Marinna Reis de","Revista Ambiente &amp; Água; 11(4); 929-942","Revista Ambiente &amp; Água","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-993X2016000400929&lang=pt" 
"S1983-21252016000400996-scl","SUNFLOWER MEAL AND EXOGENOUS ENZYMES IN INITIAL DIETS FOR BROILERS","OLIVEIRA, TACIANA MARIA MORAES DE, NUNES, RICARDO VIANNA, EYNG, CINTHIA, BERWANGER, EVELINE, BAYERLE, DOUGLAS FERNANDO","Revista Caatinga; 29(4); 996-1005","Revista Caatinga","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252016000400996&lang=pt" 
"S1983-21252016000400892-scl","EDAPHIC ATTRIBUTES OF A CROP-LIVESTOCK INTEGRATION SYSTEM IN THE CERRADO BIOME","BEUTLER, SIDINEI JULIO, PEREIRA, MARCOS GERVASIO, LOSS, ARCÂNGELO, PERIN, ADRIANO, SILVA, CRISTIANE FIGUEIRA DA","Revista Caatinga; 29(4); 892-900","Revista Caatinga","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252016000400892&lang=pt" 
"S1983-21252016000400935-scl","IRRIGATION WITH SALINE WATER AND NITROGEN IN PRODUCTION COMPONENTS AND YIELD OF SUNFLOWER","SANTOS, JOÃO BATISTA DOS, GUEDES FILHO, DOROTEU HONÓRIO, GHEYI, HANS RAJ, LIMA, GEOVANI SOARES DE, CAVALCANTE, LOURIVAL FERREIRA","Revista Caatinga; 29(4); 935-944","Revista Caatinga","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252016000400935&lang=pt" 
"S1983-21252016000400956-scl","EFFECTIVE PRECIPTATION, SOIL LOSS AND PLANT COVER SYSTEMS IN THE CAATINGA BIOME, BRAZIL","PALÁCIO, HELBA ARAÚJO DE QUEIROZ, RIBEIRO FILHO, JACQUES CARVALHO, SANTOS, JÚLIO CÉSAR NEVES DOS, ANDRADE, EUNICE MAIA DE, BRASIL, JOSÉ BANDEIRA","Revista Caatinga; 29(4); 956-965","Revista Caatinga","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252016000400956&lang=pt" 
"S1980-993X2016000401006-scl","Erosividade da chuva em Rondon do Pará, PA, Brasil de 1999 a 2015 e projetada para 2035","Rosa, Amanda Gama, Sousa, Adriano Marlisom Leão de, Costa, Jamer Andrade da, Souza, Everaldo Barreiros de","Revista Ambiente &amp; Água; 11(4); 1006-1021","Revista Ambiente &amp; Água","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-993X2016000401006&lang=pt" 
"S1980-993X2016000400819-scl","Toxicidade ambiental de efluentes advindo de diferentes laboratórios de uma farmácia magistral","Pinto, Luciano Henrique, Cardozo, Gilberto, Soares, Julia Carolina, Erzinger, Gilmar Sidnei","Revista Ambiente &amp; Água; 11(4); 819-832","Revista Ambiente &amp; Água","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-993X2016000400819&lang=pt" 
