"S1012-25082002000100001-ven","Presentación","","Cuadernos del Cendes; 19(49); -1","Cuadernos del Cendes","Espanhol","2002","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1012-25082002000100001&lang=pt" 
"S1135-76062002000100010-esp","","Sepúlveda Gª de la Torre, Mª A.","Cuadernos de Medicina Forense; (27); 79-85","Cuadernos de Medicina Forense","Espanhol","2002","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-76062002000100010&lang=pt" 
"S1135-76062002000100005-esp","Histopatología cardíaca en los traumatismos torácicos cerrados","Torres Sánchez, C., Gómez Zapata, M., Pérez Cárceles, M.D., Osuna Carrillo de Albornoz, E., Luna Maldonado, A.","Cuadernos de Medicina Forense; (27); 53-59","Cuadernos de Medicina Forense","Espanhol","2002","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-76062002000100005&lang=pt" 
"S1135-76062002000100004-esp","Muerte por explosión: cuestiones y sistemática médico-forenses","Carnicero Giménez de Azcárate, M.A., Baigorri Soler, Mª C.","Cuadernos de Medicina Forense; (27); 39-52","Cuadernos de Medicina Forense","Espanhol","2002","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-76062002000100004&lang=pt" 
"S1135-76062002000100006-esp","Neuropatía hemorrágica tóxica aguda y fallo multiorgánico tras intoxicación por anticoagulantes, disolventes, AINES y antihistamínicos: A propósito de un caso fatal","Garfia, A., Salguero, M., Martínez, M.C., Molina, M., Botet, F.C.","Cuadernos de Medicina Forense; (27); 61-70","Cuadernos de Medicina Forense","Espanhol","2002","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-76062002000100006&lang=pt" 
"S1135-76062002000100001-esp","La autopsia en casos de mala praxis","Verdú Pascual, F.A.","Cuadernos de Medicina Forense; (27); 5-10","Cuadernos de Medicina Forense","Espanhol","2002","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-76062002000100001&lang=pt" 
"S1135-76062002000100002-esp","La pericia médico-legal en los casos de responsabilidad médica","Romero Palanco, J.L.","Cuadernos de Medicina Forense; (27); 11-28","Cuadernos de Medicina Forense","Espanhol","2002","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-76062002000100002&lang=pt" 
"S1135-76062002000100003-esp","El secreto médico y el consentimiento informado en los informes periciales","Lachica López, E.","Cuadernos de Medicina Forense; (27); 29-37","Cuadernos de Medicina Forense","Espanhol","2002","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-76062002000100003&lang=pt" 
"S1135-76062002000100011-esp","","Lucena Romero, Joaquín","Cuadernos de Medicina Forense; (27); 87-92","Cuadernos de Medicina Forense","Espanhol","2002","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-76062002000100011&lang=pt" 
"S1135-76062002000100007-esp","","Galnares Ysern, Alfonso","Cuadernos de Medicina Forense; (27); 71-71","Cuadernos de Medicina Forense","Espanhol","2002","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-76062002000100007&lang=pt" 
"S1135-76062002000100008-esp","","","Cuadernos de Medicina Forense; (27); 72-73","Cuadernos de Medicina Forense","Espanhol","2002","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-76062002000100008&lang=pt" 
"S1135-76062002000100012-esp","DE NAPOLEÓN Y DE LA INTERPRETACIÓN DE LAS LEYES: Un primer acercamiento al tema de la inviolabilidad del domicilio","Vázquez López, José Enrique","Cuadernos de Medicina Forense; (27); 93-95","Cuadernos de Medicina Forense","Espanhol","2002","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-76062002000100012&lang=pt" 
"S1135-76062002000100009-esp","Evaluación médico-legal de las prótesis intracardíacas en la autopsia: I. Marcapasos","Garfia, A., Repetto, F.","Cuadernos de Medicina Forense; (27); 74-78","Cuadernos de Medicina Forense","Espanhol","2002","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-76062002000100009&lang=pt" 
